"Palavra";"frequency.sim";"top";"frequency.nao";"top_nao";"destaque_top";"diff";"destaque";"top_sim";"top_nao1";"TopSim";"TopNao"
"momento";40;50;5;194;TRUE;144;TRUE;-0,040530450840198;0,0978111951983299;-0,040530450840198;0,0978111951983299
"srs";40;51;13;76;TRUE;25;FALSE;-0,0401310149665549;-0,0272866649269311;-0,0401310149665549;-0,0272866649269311
"casa";39;52;27;33;TRUE;-19;FALSE;-0,0397315790929119;-0,0728731732776618;-0,0397315790929119;-0,0728731732776618
"rio";39;53;2;531;TRUE;478;TRUE;-0,0393321432192688;0,455082202505219;-0,0393321432192688;0,455082202505219
"neste";37;54;12;80;TRUE;26;FALSE;-0,0389327073456257;-0,0230460594989562;-0,0389327073456257;-0,0230460594989562
"minas";36;55;4;234;TRUE;179;TRUE;-0,0385332714719826;0,140217249478079;-0,0385332714719826;0,140217249478079
"mas";35;56;23;40;TRUE;-16;FALSE;-0,0381338355983396;-0,0654521137787056;-0,0381338355983396;-0,0654521137787056
"paulo";35;57;2;498;TRUE;441;TRUE;-0,0377343997246965;0,420097207724426;-0,0377343997246965;0,420097207724426
"responsabilidade";35;58;15;64;TRUE;6;FALSE;-0,0373349638510534;-0,0400084812108559;-0,0373349638510534;-0,0400084812108559
"sras";35;59;9;106;TRUE;47;FALSE;-0,0369355279774104;0,00451787578288101;-0,0369355279774104;0,00451787578288101
"está";34;60;29;31;TRUE;-29;FALSE;-0,0365360921037673;-0,0749934759916493;-0,0365360921037673;-0,0749934759916493
"como";33;61;21;43;TRUE;-18;FALSE;-0,0361366562301242;-0,0622716597077244;-0,0361366562301242;-0,0622716597077244
"constituição";33;62;39;21;TRUE;-41;FALSE;-0,0357372203564812;-0,0855949895615866;-0,0357372203564812;-0,0855949895615866
"grande";33;63;5;189;TRUE;126;TRUE;-0,0353377844828381;0,0925104384133612;-0,0353377844828381;0,0925104384133612
"homenagem";32;64;28;32;TRUE;-32;FALSE;-0,034938348609195;-0,0739333246346555;-0,034938348609195;-0,0739333246346555
"também";32;65;8;122;TRUE;57;FALSE;-0,0345389127355519;0,0214802974947808;-0,0345389127355519;0,0214802974947808
"dizer";31;66;16;58;TRUE;-8;FALSE;-0,0341394768619089;-0,0463693893528184;-0,0341394768619089;-0,0463693893528184
"favor";31;67;5;188;TRUE;121;TRUE;-0,0337400409882658;0,0914502870563674;-0,0337400409882658;0,0914502870563674
"gerais";31;68;3;294;TRUE;226;TRUE;-0,0333406051146227;0,203826330897704;-0,0333406051146227;0,203826330897704
"nação";31;69;3;307;TRUE;238;TRUE;-0,0329411692409797;0,217608298538622;-0,0329411692409797;0,217608298538622
"nos";30;70;10;96;TRUE;26;FALSE;-0,0325417333673366;-0,00608363778705636;-0,0325417333673366;-0,00608363778705636
"estão";29;71;20;49;TRUE;-22;FALSE;-0,0321422974936935;-0,055910751565762;-0,0321422974936935;-0,055910751565762
"anos";28;72;2;365;TRUE;293;TRUE;-0,0317428616200504;0,279097077244259;-0,0317428616200504;0,279097077244259
"melhor";28;73;4;233;TRUE;160;TRUE;-0,0313434257464074;0,139157098121086;-0,0313434257464074;0,139157098121086
"milhões";28;74;10;95;TRUE;21;FALSE;-0,0309439898727643;-0,0071437891440501;-0,0309439898727643;-0,0071437891440501
"brasileira";27;75;12;78;TRUE;3;FALSE;-0,0305445539991212;-0,0251663622129436;-0,0305445539991212;-0,0251663622129436
"ruas";27;76;19;53;TRUE;-23;FALSE;-0,0301451181254782;-0,0516701461377871;-0,0301451181254782;-0,0516701461377871
"deputado";26;77;14;67;TRUE;-10;FALSE;-0,0297456822518351;-0,0368280271398747;-0,0297456822518351;-0,0368280271398747
"fora";26;78;6;152;TRUE;74;FALSE;-0,029346246378192;0,0532848382045929;-0,029346246378192;0,0532848382045929
"isso";26;79;31;26;TRUE;-53;FALSE;-0,028946810504549;-0,0802942327766179;-0,028946810504549;-0,0802942327766179
"muito";26;80;6;160;TRUE;80;FALSE;-0,0285473746309059;0,0617660490605428;-0,0285473746309059;0,0617660490605428
"eleitores";25;81;1;861;TRUE;780;TRUE;-0,0281479387572628;0,804932150313152;-0,0281479387572628;0,804932150313152
"nesta";25;82;11;87;TRUE;5;FALSE;-0,0277485028836197;-0,015625;-0,0277485028836197;-0,015625
"nossa";25;83;13;73;TRUE;-10;FALSE;-0,0273490670099767;-0,0304671189979123;-0,0273490670099767;-0,0304671189979123
"pelas";25;84;6;161;TRUE;77;FALSE;-0,0269496311363336;0,0628262004175365;-0,0269496311363336;0,0628262004175365
"tem";25;85;20;51;TRUE;-34;FALSE;-0,0265501952626905;-0,0537904488517745;-0,0265501952626905;-0,0537904488517745
"vida";25;86;13;77;TRUE;-9;FALSE;-0,0261507593890475;-0,0262265135699374;-0,0261507593890475;-0,0262265135699374
"federal";24;87;8;112;TRUE;25;FALSE;-0,0257513235154044;0,0108787839248434;-0,0257513235154044;0,0108787839248434
"política";24;88;12;81;TRUE;-7;FALSE;-0,0253518876417613;-0,0219859081419624;-0,0253518876417613;-0,0219859081419624
"processo";23;89;24;39;TRUE;-50;FALSE;-0,0249524517681183;-0,0665122651356994;-0,0249524517681183;-0,0665122651356994
"querido";23;90;5;201;TRUE;111;TRUE;-0,0245530158944752;0,105232254697286;-0,0245530158944752;0,105232254697286
"sem";23;91;13;75;TRUE;-16;FALSE;-0,0241535800208321;-0,0283468162839248;-0,0241535800208321;-0,0283468162839248
"esta";22;92;21;44;TRUE;-48;FALSE;-0,023754144147189;-0,0612115083507307;-0,023754144147189;-0,0612115083507307
"porque";22;94;16;59;TRUE;-35;FALSE;-0,0229552723999029;-0,0453092379958246;-0,0229552723999029;-0,0453092379958246
"votar";22;95;11;89;TRUE;-6;FALSE;-0,0225558365262598;-0,0135046972860125;-0,0225558365262598;-0,0135046972860125
"janeiro";21;96;1;1045;TRUE;949;TRUE;-0,0221564006526168;1;-0,0221564006526168;1
"vai";21;97;15;66;TRUE;-31;FALSE;-0,0217569647789737;-0,0378881784968685;-0,0217569647789737;-0,0378881784968685
"fazer";20;98;8;111;TRUE;13;FALSE;-0,0213575289053306;0,00981863256784969;-0,0213575289053306;0,00981863256784969
"fim";20;99;2;434;TRUE;335;TRUE;-0,0209580930316876;0,352247520876827;-0,0209580930316876;0,352247520876827
"população";20;100;11;88;TRUE;-12;FALSE;-0,0205586571580445;-0,0145648486430063;-0,0205586571580445;-0,0145648486430063
"ser";20;102;15;65;TRUE;-37;FALSE;-0,0197597854107583;-0,0389483298538622;-0,0197597854107583;-0,0389483298538622
"crime";19;104;30;27;TRUE;-77;FALSE;-0,0189609136634722;-0,0792340814196242;-0,0189609136634722;-0,0792340814196242
"deste";19;105;13;68;TRUE;-37;FALSE;-0,0185614777898291;-0,035767875782881;-0,0185614777898291;-0,035767875782881
"sou";19;109;21;47;TRUE;-62;FALSE;-0,0169637342952569;-0,0580310542797495;-0,0169637342952569;-0,0580310542797495
"ter";17;120;10;98;TRUE;-22;FALSE;-0,0125699396851831;-0,00396333507306889;-0,0125699396851831;-0,00396333507306889
"foi";16;123;11;86;TRUE;-37;FALSE;-0,0113716320642539;-0,0166851513569937;-0,0113716320642539;-0,0166851513569937
"sua";16;125;17;56;TRUE;-69;FALSE;-0,0105727603169677;-0,0484896920668058;-0,0105727603169677;-0,0484896920668058
"defesa";15;127;46;18;TRUE;-109;FALSE;-0,00977388856968158;-0,0887754436325678;-0,00977388856968158;-0,0887754436325678
"esse";15;129;24;37;TRUE;-92;FALSE;-0,00897501682239544;-0,0686325678496868;-0,00897501682239544;-0,0686325678496868
"democracia";14;134;95;5;TRUE;-129;TRUE;-0,00697783745418009;-0,102557411273486;-0,00697783745418009;-0,102557411273486
"primeiro";14;139;10;97;TRUE;-42;FALSE;-0,00498065808596474;-0,00502348643006263;-0,00498065808596474;-0,00502348643006263
"bahia";13;148;10;90;TRUE;-58;FALSE;-0,00138573522317711;-0,0124445459290188;-0,00138573522317711;-0,0124445459290188
"eduardo";12;161;24;36;TRUE;-125;TRUE;0,0038069311341828;-0,0696927192066806;0,0038069311341828;-0,0696927192066806
"nas";11;180;24;38;TRUE;-142;TRUE;0,0113962127334011;-0,0675724164926931;0,0113962127334011;-0,0675724164926931
"história";10;192;13;69;TRUE;-123;TRUE;0,016189443217118;-0,0347077244258873;0,016189443217118;-0,0347077244258873
"mulher";9;222;13;72;TRUE;-150;TRUE;0,0281725194264101;-0,0315272703549061;0,0281725194264101;-0,0315272703549061
"votos";9;234;12;84;TRUE;-150;TRUE;0,0329657499101269;-0,0188054540709812;0,0329657499101269;-0,0188054540709812
"cunha";8;242;30;28;TRUE;-214;TRUE;0,0361612368992715;-0,0781739300626305;0,0361612368992715;-0,0781739300626305
"golpe";8;247;86;8;TRUE;-239;TRUE;0,0381584162674868;-0,0993769572025052;0,0381584162674868;-0,0993769572025052
"luta";8;252;18;55;TRUE;-197;TRUE;0,0401555956357022;-0,0495498434237996;0,0401555956357022;-0,0495498434237996
"presidenta";8;259;21;46;TRUE;-213;TRUE;0,0429516467512037;-0,0590912056367432;0,0429516467512037;-0,0590912056367432
