"Palavra";"frequency.sim";"top";"frequency.nao";"top_nao";"destaque_top";"diff";"destaque"
"presidente sr presidente";37;6;7;6;TRUE;0;FALSE
"sr presidente sr";31;7;6;12;TRUE;5;FALSE
"presidente sras srs";27;9;6;10;TRUE;1;FALSE
"sr presidente sras";27;10;6;13;TRUE;3;FALSE
"impeachment sr presidente";25;11;3;41;TRUE;30;FALSE
"sras srs deputados";25;12;6;11;TRUE;-1;FALSE
"sr presidente voto";18;14;7;7;TRUE;-7;FALSE
"brasil sr presidente";12;16;1;490;TRUE;474;TRUE
"povo brasileiro voto";12;17;4;26;TRUE;9;FALSE
"sr presidente nome";12;18;2;134;TRUE;116;FALSE
"sr presidente respeito";11;20;2;136;TRUE;116;FALSE
"impeachment presidente dilma";9;24;1;2029;TRUE;2005;TRUE
"sras srs parlamentares";7;28;1;3496;TRUE;3468;TRUE
"presidente dilma rousseff";6;32;1;2950;TRUE;2918;TRUE
"sr presidente brasil";6;33;1;3500;TRUE;3467;TRUE
"sr presidente quero";6;34;2;135;TRUE;101;FALSE
"portanto voto é";5;40;1;2826;TRUE;2786;TRUE
"presidente voto é";5;42;4;27;TRUE;-15;FALSE
"sr presidente srs";5;44;3;51;TRUE;7;FALSE
"hoje é dia";4;62;1;1924;TRUE;1862;TRUE
"presidente srs deputados";4;68;3;46;TRUE;-22;FALSE
"sr presidente é";4;74;1;3510;TRUE;3436;TRUE
"sr presidente estado";4;76;1;3511;TRUE;3435;TRUE
"sr presidente povo";4;77;1;3522;TRUE;3445;TRUE
"brasileiro voto é";3;84;1;455;TRUE;371;FALSE
"estado democrático direito";3;94;5;18;TRUE;-76;FALSE
"sr presidente homenagem";3;133;3;50;TRUE;-83;FALSE
"deste país voto";2;188;3;33;TRUE;-155;FALSE
"dilma cometeu crime";2;191;4;25;TRUE;-166;FALSE
"país voto é";2;260;3;42;TRUE;-218;FALSE
"respeito constituição brasileira";2;305;3;47;TRUE;-258;FALSE
"voto sr presidente";2;361;20;1;TRUE;-360;TRUE
"colegas deputadas deputados";1;1784;2;56;TRUE;-1728;TRUE
"democracia voto é";1;2332;5;16;TRUE;-2316;TRUE
"deputado eduardo cunha";1;2364;5;17;TRUE;-2347;TRUE
"homenagem povo brasileiro";1;4377;2;97;TRUE;-4280;TRUE
"presidente dilma cometeu";1;6909;3;44;TRUE;-6865;TRUE
"sr presidente defesa";1;8389;4;28;TRUE;-8361;TRUE
"supremo tribunal federal";1;8538;5;19;TRUE;-8519;TRUE
"temer eduardo cunha";1;8586;3;52;TRUE;-8534;TRUE
"voto é contra";1;9190;4;30;TRUE;-9160;TRUE
