Deputados
"José Carlos Araújo"
"Sandro Alex"
"Fausto Pinato"
"Arnaldo Faria de Sá"
"Cacá Leão"
"Erivelton Santana"
"Fausto Pinato"
"Mauro Lopes"
"Paulo Azi"
"Paulo Pereira da Silva"
"Ricardo Barros"
"Washington Reis"
"José Carlos Araújo"
"Leo de Brito"
"Sérgio Brito"
"Valmir Prascidelli"
"Vinicius Gurgel"
"Wellington Roberto"
"Zé Geraldo"
"Betinho Gomes"
"Júlio Delgado"
"Nelson Marchezan Junior"
"Sandro Alex"
"Marcos Rogério"
