"id_dep","nome","uf","partido","clust"
160643,"Dr. Jorge Silva","ES","pros","2"
178994,"Dulce Miranda","TO","pmdb","2"
73447,"Edinho Araújo","SP","pmdb","2"
73793,"Edinho Bez","SC","pmdb","2"
141417,"Edio Lopes","RR","pmdb","2"
160578,"Edmar Arruda","PR","psc","2"
141421,"Eduardo da Fonte","PE","pp","2"
74075,"Elcione Barbalho","PA","pmdb","2"
160640,"Eros Biondini","MG","ptb","2"
178930,"Evandro Roman","PR","psd","2"
178904,"Ezequiel Fonseca","MT","pp","2"
141428,"Fábio Faria","RN","psd","2"
178969,"Fábio Mitidieri","SE","psd","2"
141427,"Fábio Ramalho","MG","pv","2"
171623,"Fabio Reis","SE","pmdb","2"
190149,"Fabricio Oliveira","SC","psb","2"
66828,"Fausto Pinato","SP","prb","2"
141430,"Felipe Bornier","RJ","psd","2"
160666,"Félix Mendonça Júnior","BA","pdt","2"
163831,"Fernando Jordão","RJ","pmdb","2"
92699,"Fernando Monteiro","PE","pp","2"
160676,"Fernando Torres","BA","psd","2"
160598,"Flávia Morais","GO","pdt","2"
141434,"Flaviano Melo","AC","pmdb","2"
178907,"Francisco Chapadinha","PA","psd","2"
160677,"Francisco Floriano","RJ","pr","2"
74374,"Geraldo Resende","MS","pmdb","2"
74383,"Giacobo","PR","pr","2"
160673,"Giovani Cherini","RS","pdt","2"
74558,"Givaldo Carimbão","AL","pros","2"
129618,"Gorete Pereira","CE","pr","2"
178980,"Goulart","SP","psd","2"
160667,"Guilherme Mussi","SP","pp","2"
178981,"Herculano Passos","SP","psd","2"
73772,"Hermes Parcianello","PR","pmdb","2"
160596,"Heuler Cruvinel","GO","psd","2"
178884,"Hildo Rocha","MA","pmdb","2"
178959,"Hiran Gonçalves","RR","pmn","2"
141450,"Hugo Leal","RJ","pros","2"
160674,"Hugo Motta","PB","pmdb","2"
141389,"Indio da Costa","RJ","psd","2"
67138,"Iracema Portella","PI","pp","2"
81232,"Irajá Abreu","TO","psd","2"
74665,"Jaime Martins","MG","psd","2"
73926,"Janete Capiberibe","AP","psb","2"
178839,"Jéssica Sales","AC","pmdb","2"
160531,"Jhonatan de Jesus","RR","prb","2"
160573,"João Arruda","PR","pmdb","2"
141458,"João Carlos Bacelar","BA","pr","2"
112437,"João Marcelo Souza","MA","pmdb","2"
178910,"Joaquim Passarinho","PA","psd","2"
178971,"Jony Marcos","SE","prb","2"
160572,"Jorge Côrte Real","PE","ptb","2"
160509,"Jorginho Mello","SC","pr","2"
74140,"José Carlos Araújo","BA","psd","2"
131966,"José Fogaça","RS","pmdb","2"
160619,"José Nunes","BA","psd","2"
74079,"José Priante","PA","pmdb","2"
73714,"José Reinaldo","MA","psb","2"
74554,"José Rocha","BA","pr","2"
114941,"Josi Nunes","TO","pmdb","2"
74351,"Josué Bengtson","PA","ptb","2"
73666,"Jovair Arantes","GO","ptb","2"
178851,"Jozi  Araújo","AP","ptb","2"
74317,"Júlio Cesar","PI","psd","2"
74253,"Julio Lopes","RJ","pp","2"
178885,"Junior Marreca","MA","pen","2"
178886,"Juscelino Filho","MA","pmb","2"
178918,"Kaio Maniçoba","PE","phs","2"
141478,"Laerte Bessa","DF","pr","2"
178894,"Laudivio Carvalho","MG","pmdb","2"
141480,"Lázaro Botelho","TO","pp","2"
141562,"Lelo Coimbra","ES","pmdb","2"
74254,"Leonardo Picciani","RJ","pmdb","2"
141482,"Leonardo Quintão","MG","pmdb","2"
74299,"Leônidas Cristino","CE","pros","2"
74585,"Lincoln Portela","MG","pr","2"
141483,"Lindomar Garçon","RO","pmdb","2"
178954,"Lucio Mosquini","RO","pmdb","2"
141484,"Lúcio Vale","PA","pr","2"
94931,"Lucio Vieira Lima","BA","pmdb","2"
160510,"Luis Tibé","MG","ptdob","2"
141485,"Luiz Carlos Busato","RS","ptb","2"
178802,"Luiz Carlos Ramos","RJ","pmb","2"
178955,"Luiz Cláudio","RO","pr","2"
141487,"Luiz Fernando Faria","MG","pp","2"
178982,"Luiz Lauro Filho","SP","psb","2"
162332,"Luiz Nishimori","PR","pr","2"
178867,"Macedo","CE","pmb","2"
166402,"Magda Mofatto","GO","pr","2"
151965,"Mainha","PI","solidaried","2"
