"","nome","partido","uf","dim1","dim2"
"31","Altineu Côrtes","pr","RJ",-0.202957306357859,-0.244516383691518
"32","Aluisio Mendes","psdc","MA",-0.419636238647027,-0.143015877429529
"33","Ana Perugini","pt","SP",-0.618845560109568,0.308023053288645
"34","Anderson Ferreira","pr","PE",-0.227969414933413,-0.265073811505626
"35","André Abdon","prb","AP",-0.365423274449164,-0.171034848602916
"36","André Figueiredo","pdt","CE",-0.188143701973647,0.0941043689152618
"37","André Fufuca","pen","MA",-0.118906019864948,-0.318775269602098
"38","Andre Moura","psc","SE",0.0903252601856159,-0.147313768065273
"39","Andres Sanchez","pt","SP",-0.657654478190017,0.206517720339753
"40","Angelim","pt","AC",-0.661906077187947,0.34375443614461
"41","Aníbal Gomes","pmdb","CE",-0.155399276210775,-0.236904742253235
"42","Antonio Balhmann","pros","CE",-0.142376106082257,-0.0970621796658313
"43","Antonio Brito","ptb","BA",-0.106132219424809,-0.173998411080829
"44","Antonio Bulhões","prb","SP",-0.371039829145021,-0.212285770161256
"45","Antonio Carlos Mendes Thame","psdb","SP",0.2568648415896,0.0209403545042772
"46","Antonio Imbassahy","psdb","BA",0.586386554722664,-0.0107730028319251
"47","Antônio Jácome","pmn","RN",0.229720316579873,0.148885383815292
"48","Ariosto Holanda","pros","CE",-0.0886215501870071,-0.020153616479657
"49","Ariosto Holanda","psb","CE",-0.000106939837952041,-0.00238680557299903
"50","Arlindo Chinaglia","pt","SP",-0.604124547925705,0.236554064571928
"51","Arnaldo Faria de Sá","ptb","SP",0.518549949927296,0.243241292540335
"52","Arnaldo Jordy","pps","PA",0.225345103528421,0.472345567231737
"53","Arnon Bezerra","ptb","CE",-0.203707990438277,-0.326934610037929
"54","Arthur Lira","pp","AL",-0.10541484296959,-0.356593262913783
"55","Arthur Oliveira Maia","s.part.","BA",0.414462553142662,-0.00324700213632895
"56","Arthur Virgílio Bisneto","psdb","AM",0.769820725992637,0.0775473084476429
"57","Assis Carvalho","pt","PI",-0.497641569787294,0.138396138611452
"58","Assis do Couto","pt","PR",-0.484719105744603,0.160433857121751
"59","Átila Lins","psd","AM",-0.114842945013456,-0.348669087363524
"60","Átila Lira","psb","PI",-0.0617787661428374,0.0457658047238839
"61","Augusto Carvalho","s.part.","DF",0.636238765551705,0.485348843820147
"62","Augusto Coutinho","dem","PE",-0.000106939837952041,-0.00238680557299903
"63","Augusto Coutinho","solidaried","PE",0.649958650588967,0.0231306363032405
"64","Aureo","solidaried","RJ",0.549108986261604,0.0855058025854625
"65","Bacelar","ptn","BA",-0.481227487673145,0.215809815103279
"66","Baleia Rossi","pmdb","SP",-0.122013372995504,-0.304963644847423
"67","Bebeto","psb","BA",0.0532473823300736,0.430363690610843
"68","Benedita da Silva","pt","RJ",-0.620605048108439,0.228958335610445
"69","Benito Gama","ptb","BA",0.40258667413537,-0.11033169529109
"70","Benjamin Maranhão","solidaried","PB",0.623304204339442,0.0801779141338945
"71","Betinho Gomes","psdb","PE",0.665030528578465,0.118897901976653
"72","Beto Faro","pt","PA",-0.724939197252121,0.264604919627341
"73","Beto Mansur","pp","SP",0.000250640245200134,0.00559407556171649
"74","Beto Mansur","prb","SP",-0.0962054723117321,-0.285268172170498
"75","Beto Rosado","pp","RN",0.00757697139245866,-0.190998598407252
"76","Beto Salame","pros","PA",-0.326580839315617,0.0495834760778429
"77","Bilac Pinto","pr","MG",-0.206213961786368,-0.261818742605309
"78","Bohn Gass","pt","RS",-0.674632315145173,0.371691873641869
"79","Bonifácio de Andrada","psdb","MG",0.361657725375432,-0.119247813575976
"80","Bruna Furlan","psdb","SP",0.495868115327691,-0.0441593351080026
"81","Brunny","ptc","MG",-0.291377017438599,-0.0237529333319548
"82","Bruno Araújo","psdb","PE",0.594061203090822,-0.0334361322846049
"83","Bruno Covas","psdb","SP",0.609623465162101,0.074687505069312
"84","Cabo Daciolo","s.part.","RJ",0.166360433163432,0.732569256599956
"85","Cabo Sabino","pr","CE",-0.0917084310833979,-0.0282960903271631
"86","Cabuçu Borges","pmdb","AP",-0.127990411959351,-0.377420964406687
"87","Cacá Leão","pp","BA",-0.202680957399899,-0.379032867837939
"88","Caetano","pt","BA",-0.575081247109654,0.260260189472893
"89","Caio Narcio","psdb","MG",0.626209877205576,0.00501277808448423
"90","Capitão Augusto","pr","SP",-0.306525224607204,-0.215381817629154
"91","Carlos Andrade","phs","RR",0.00669777684963578,-0.263323833963156
"92","Carlos Bezerra","pmdb","MT",-0.293113394581763,-0.195283883775975
"93","Carlos Eduardo Cadoca","pcdob","PE",-0.531223857894585,0.392865313145575
"94","Carlos Eduardo Cadoca","psc","PE",-0.000106939837952041,-0.00238680557299903
"95","Carlos Gomes","prb","RS",-0.219498112890943,-0.252065100261641
"96","Carlos Henrique Gaguim","pmdb","TO",-0.206602062814946,-0.442907322537316
"97","Carlos Manato","solidaried","ES",0.652877148790347,-0.0465192874129568
"98","Carlos Marun","pmdb","MS",-0.107585025848973,-0.336524840802435
"99","Carlos Melles","dem","MG",0.480069130739091,-0.0756526345097936
"100","Carlos Sampaio","psdb","SP",0.22956576344561,0.000559584290691447
"101","Carlos Zarattini","pt","SP",-0.622717804445262,0.214445269554204
"102","Carmen Zanotto","pps","SC",0.613062960127356,0.49413002302138
"103","Célio Silveira","psdb","GO",0.712152231261012,-0.000350945874410078
"104","Celso Jacob","pmdb","RJ",-0.25382121344139,-0.427391092370222
"105","Celso Maldaner","pmdb","SC",-0.193167117605765,-0.259337382752019
"106","Celso Pansera","pmdb","RJ",-0.140294178604533,-0.178170680183768
"107","Celso Russomanno","prb","SP",-0.246477701678952,-0.156044680778568
"108","César Halum","prb","TO",-0.0760364550847713,-0.23375999256303
"109","César Messias","psb","AC",0.223270396173465,0.151358929458942
"110","Cesar Souza","psd","SC",-0.0616482384977793,-0.111836683225675
"111","Chico Alencar","psol","RJ",0.0385547101356873,1.02824815932695
"112","Chico D Angelo","pt","RJ",-0.630492518578783,0.302235315615737
"113","Chico Lopes","pcdob","CE",-0.55272526201997,0.462775365777274
"114","Christiane de Souza Yared","ptn","PR",-0.11222129024353,0.335276689251319
"115","Cícero Almeida","prtb","AL",-0.00916933780736754,-0.1322911211543
"116","Cícero Almeida","psd","AL",-0.00104496389141547,-0.00186485031738411
"117","Clarissa Garotinho","pr","RJ",0.139477681106396,0.276584717700763
"118","Claudio Cajado","dem","BA",0.285323369322159,-0.126669881445797
"119","Cleber Verde","prb","MA",-0.292095185896977,-0.10055902891222
"120","Conceição Sampaio","pp","AM",-0.0179745767884953,0.0234474746021458
"121","Covatti Filho","pp","RS",0.586990350971685,0.028575613007635
"122","Cristiane Brasil","ptb","RJ",0.387280111204014,-0.0397422425209415
"123","Dagoberto","pdt","MS",-0.166692820660127,0.0469062258462509
"124","Damião Feliciano","pdt","PB",-0.184335330253066,0.172191599371791
"125","Dâmina Pereira","pmn","MG",0.092665551428081,-0.159845610911616
"126","Daniel Almeida","pcdob","BA",-0.592261378283604,0.505423809786796
"127","Daniel Coelho","psdb","PE",0.741227533715573,0.199704584901109
"128","Daniel Vilela","pmdb","GO",-0.235696437397793,-0.321067008458345
