Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2015,1117,REQ,24/3/2015,18:38,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 8122/2014,,5477,Luiza Erundina,PSB       ,SP,Sim            ,74784,GOV.,Sim            
2015,1117,REQ,24/3/2015,18:38,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 8122/2014,,5477,Roberto Alves,PRB       ,SP,Sim            ,152610,-,-
2015,1117,REQ,24/3/2015,18:38,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 8122/2014,,5477,Osmar Serraglio,PMDB      ,PR,Sim            ,73463,-,-
2015,1117,REQ,24/3/2015,18:38,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 8122/2014,,5477,Cacá Leão,PP        ,BA,Sim            ,93083,-,-
2015,1117,REQ,24/3/2015,18:38,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 8122/2014,,5477,Chico D Angelo,PT        ,RJ,Sim            ,141439,-,-
2015,1117,REQ,24/3/2015,18:38,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 8122/2014,,5477,Hélio Leite,DEM       ,PA,Não            ,178909,-,-
2015,1117,REQ,24/3/2015,18:38,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 8122/2014,,5477,Maria do Rosário,PT        ,RS,Sim            ,74398,-,-
2015,1117,REQ,24/3/2015,18:38,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 8122/2014,,5477,Odorico Monteiro,PT        ,CE,Sim            ,178868,-,-
2015,1117,REQ,24/3/2015,18:38,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 8122/2014,,5477,Carlos Gomes,PRB       ,RS,Não            ,178962,-,-
2015,1117,REQ,24/3/2015,18:38,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 8122/2014,,5477,Wolney Queiroz,PDT       ,PE,Sim            ,74439,-,-
2015,1117,REQ,24/3/2015,18:38,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 8122/2014,,5477,João Rodrigues,PSD       ,SC,Sim            ,160571,-,-
2015,1117,REQ,24/3/2015,18:38,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 8122/2014,,5477,Fabiano Horta,PT        ,RJ,Sim            ,146829,-,-
2015,1117,REQ,24/3/2015,18:38,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 8122/2014,,5477,Rubens Pereira Júnior,PCdoB     ,MA,Sim            ,178887,-,-
2015,1117,REQ,24/3/2015,18:38,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 8122/2014,,5477,Jozi Rocha,PTB       ,AP,Sim            ,178851,-,-
2015,1117,REQ,24/3/2015,18:38,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 8122/2014,,5477,Roney Nemer,PMDB      ,DF,Sim            ,178870,-,-
2015,1117,REQ,24/3/2015,18:38,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 8122/2014,,5477,Dulce Miranda,PMDB      ,TO,Sim            ,178994,-,-
2015,1117,REQ,24/3/2015,18:38,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 8122/2014,,5477,Adelmo Carneiro Leão,PT        ,MG,Sim            ,178890,-,-
