Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Jarbas Vasconcelos,PMDB      ,PE,Não            ,131943,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Irmão Lazaro,PSC       ,BA,Não            ,178855,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Elcione Barbalho,PMDB      ,PA,Sim            ,74075,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Alan Rick,PRB       ,AC,Sim            ,178836,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Odelmo Leão,PP        ,MG,Não            ,74752,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Felipe Maia,DEM       ,RN,Não            ,141429,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,João Marcelo,PMDB      ,MA,Sim            ,112437,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Vanderlei Macris,PSDB      ,SP,Não            ,141553,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Remídio Monai,PR        ,RR,Sim            ,178960,-,-
2014,7924,PL,10/3/2015,20:58,REQUERIMENTO DE RETIRADA DE PAUTA,Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.,5464,Roberto Góes,PDT       ,AP,Sim            ,178995,-,-
