Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Fabiano Horta,PT        ,RJ,Sim            ,146829,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Rubens Pereira Júnior,PCdoB     ,MA,Sim            ,178887,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Ricardo Tripoli,PSDB      ,SP,Sim            ,141472,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Dr. Jorge Silva,PROS      ,ES,Sim            ,160643,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Roney Nemer,PMDB      ,DF,Sim            ,178870,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Dulce Miranda,PMDB      ,TO,Sim            ,178994,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Adelmo Carneiro Leão,PT        ,MG,Sim            ,178890,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Eduardo Bolsonaro,PSC       ,SP,Sim            ,92346,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Luiz Couto,PT        ,PB,Sim            ,74041,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Arthur Lira,PP        ,AL,Sim            ,160541,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Irmão Lazaro,PSC       ,BA,Sim            ,178855,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Alan Rick,PRB       ,AC,Sim            ,178836,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Odelmo Leão,PP        ,MG,Sim            ,74752,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Marcos Soares,PR        ,RJ,Sim            ,178943,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Alessandro Molon,PT        ,RJ,Sim            ,160511,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Felipe Maia,DEM       ,RN,Sim            ,141429,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,João Marcelo Souza,PMDB      ,MA,Sim            ,112437,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Vanderlei Macris,PSDB      ,SP,Sim            ,141553,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Remídio Monai,PR        ,RR,Sim            ,178960,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Aliel Machado,PCdoB     ,PR,Sim            ,178927,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Francisco Chapadinha,PSD       ,PA,Sim            ,178907,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Fausto Pinato,PRB       ,SP,Sim            ,66828,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Leonardo Picciani,PMDB      ,RJ,Sim            ,74254,-,-
