Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Odelmo Leão,PP        ,MG,Sim            ,74752,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Alessandro Molon,PT        ,RJ,Não            ,160511,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Remídio Monai,PR        ,RR,Sim            ,178960,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Aliel Machado,PCdoB     ,PR,Não            ,178927,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Fausto Pinato,PRB       ,SP,Não            ,66828,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Leonardo Picciani,PMDB      ,RJ,Sim            ,74254,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Sérgio Moraes,PTB       ,RS,Sim            ,141542,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Jhonatan de Jesus,PRB       ,RR,Não            ,160531,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Hugo Motta,PMDB      ,PB,Sim            ,160674,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Daniel Almeida,PCdoB     ,BA,Não            ,74060,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Esperidião Amin,PP        ,SC,Sim            ,160649,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Enio Verri,PT        ,PR,Não            ,132504,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Fábio Faria,PSD       ,RN,Sim            ,141428,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Delegado Waldir,PSDB      ,GO,Sim            ,164359,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Helder Salomão,PT        ,ES,Não            ,178873,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Nelson Marquezelli,PTB       ,SP,Abstenção      ,73553,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,José Reinaldo,PSB       ,MA,Sim            ,73714,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Valmir Prascidelli,PT        ,SP,Não            ,113247,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Janete Capiberibe,PSB       ,AP,Não            ,73926,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Assis Carvalho,PT        ,PI,Não            ,159237,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Miguel Haddad,PSDB      ,SP,Sim            ,178984,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Cleber Verde,PRB       ,MA,Não            ,141408,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Carlos Andrade,PHS       ,RR,Sim            ,178958,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Paulo Foletto,PSB       ,ES,Não            ,160517,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Nilton Capixaba,PTB       ,RO,Sim            ,74359,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Fabio Garcia,PSB       ,MT,Sim            ,178905,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Rogério Marinho,PSDB      ,RN,Sim            ,141535,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Mário Heringer,PDT       ,MG,Sim            ,74158,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Jaime Martins,PSD       ,MG,Sim            ,74665,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Alice Portugal,PCdoB     ,BA,Não            ,74057,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Marcos Rogério,PDT       ,RO,Sim            ,167722,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Alberto Fraga,DEM       ,DF,Não            ,73579,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Celso Pansera,PMDB      ,RJ,Sim            ,72912,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Samuel Moreira,PSDB      ,SP,Sim            ,178990,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Ricardo Izar,PSD       ,SP,Sim            ,160655,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Andres Sanchez,PT        ,SP,Não            ,178974,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Laudivio Carvalho,PMDB      ,MG,Sim            ,178894,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Caetano,PT        ,BA,Não            ,178853,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Arnaldo Faria de Sá,PTB       ,SP,Sim            ,73434,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Ronaldo Fonseca,PROS      ,DF,Sim            ,160637,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Shéridan,PSDB      ,RR,Sim            ,178961,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Cesar Souza,PSD       ,SC,Sim            ,73720,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Flavinho,PSB       ,SP,Sim            ,178978,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Reginaldo Lopes,PT        ,MG,Não            ,74161,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Vicentinho,PT        ,SP,Não            ,74283,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Aníbal Gomes,PMDB      ,CE,Sim            ,74212,-,-
2000,2505,PL,23/4/2015,13:45,DVS PSDB - EMENDA Nº 6,Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.,5507,Delegado Éder Mauro,PSD       ,PA,Sim            ,178908,-,-
