Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2013,358,PEC,6/5/2014,23:47,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,Aprovado  em primeiro turno  o Substitutivo adotado pela Comissão Especial à Proposta de Emenda à Constituição nº 358 de 2013  ressalvados os destaques. Sim: 384; não: 06; total: 390.  
,5249,Chico Alencar,PSOL      ,RJ,Sim            ,74171,GOV.,Sim            
2013,358,PEC,16/12/2014,19:22,DVS DEM -  ART. 198 DA CF CONST.ART 1º  § 10 DO ART 166  ART. 1º  2º  3º E 4º,Mantido o texto destacado. Sim: 349; não: 59; abstenção: 3; total: 411.,5421,Chico Alencar,PSOL      ,RJ,Não            ,74171,GOV.,Sim            
2013,358,PEC,16/12/2014,20:37,DVS - PCdoB - SUPRIMA-SE O ART. 3º DO SUBSTITUTIVO,Mantido o texto. Sim: 354; não: 30; abstenção: 4; total: 388.,5422,Chico Alencar,PSOL      ,RJ,Não            ,74171,GOV.,Sim            
2013,358,PEC,10/2/2015,20:07,PROPOSTA DE EMENDA À CONSTITUIÇÃO - 2º TURNO,Aprovada  em segundo turno  a Proposta de Emenda à Constituição nº 358 de 2013  ressalvado o destaque. Sim: 452; não: 18; abstenção: 01; total: 471.  ,5444,Renzo Braz,PP        ,MG,Sim            ,160654,GOV.,Sim            
