Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2012,177,PLP,24/2/2015,18:43,SUBSTITUTIVO DA CFT,Aprovado o Substitutivo adotado pela Comissão de Finanças e Tributação ao Projeto de Lei Complementar nº 177 de 2012. Sim: 442; não: 22; abstenção: 02; total: 466.
,5450,Luiza Erundina,PSB       ,SP,Sim            ,74784,GOV.,Liberado       
2012,177,PLP,24/2/2015,18:43,SUBSTITUTIVO DA CFT,Aprovado o Substitutivo adotado pela Comissão de Finanças e Tributação ao Projeto de Lei Complementar nº 177 de 2012. Sim: 442; não: 22; abstenção: 02; total: 466.
,5450,Roberto Alves,PRB       ,SP,Sim            ,152610,-,-
2012,177,PLP,24/2/2015,18:43,SUBSTITUTIVO DA CFT,Aprovado o Substitutivo adotado pela Comissão de Finanças e Tributação ao Projeto de Lei Complementar nº 177 de 2012. Sim: 442; não: 22; abstenção: 02; total: 466.
,5450,Lázaro Botelho,PP        ,TO,Sim            ,141480,-,-
2012,177,PLP,24/2/2015,18:43,SUBSTITUTIVO DA CFT,Aprovado o Substitutivo adotado pela Comissão de Finanças e Tributação ao Projeto de Lei Complementar nº 177 de 2012. Sim: 442; não: 22; abstenção: 02; total: 466.
,5450,Erivelton Santana,PSC       ,BA,Sim            ,99654,-,-
2012,177,PLP,24/2/2015,18:43,SUBSTITUTIVO DA CFT,Aprovado o Substitutivo adotado pela Comissão de Finanças e Tributação ao Projeto de Lei Complementar nº 177 de 2012. Sim: 442; não: 22; abstenção: 02; total: 466.
,5450,Bruno Araújo,PSDB      ,PE,Sim            ,141394,-,-
2012,177,PLP,24/2/2015,18:43,SUBSTITUTIVO DA CFT,Aprovado o Substitutivo adotado pela Comissão de Finanças e Tributação ao Projeto de Lei Complementar nº 177 de 2012. Sim: 442; não: 22; abstenção: 02; total: 466.
,5450,Capitão Fábio Abreu,PTB       ,PI,Sim            ,178924,-,-
2012,177,PLP,24/2/2015,18:43,SUBSTITUTIVO DA CFT,Aprovado o Substitutivo adotado pela Comissão de Finanças e Tributação ao Projeto de Lei Complementar nº 177 de 2012. Sim: 442; não: 22; abstenção: 02; total: 466.
,5450,Cacá Leão,PP        ,BA,Sim            ,93083,-,-
2012,177,PLP,24/2/2015,18:43,SUBSTITUTIVO DA CFT,Aprovado o Substitutivo adotado pela Comissão de Finanças e Tributação ao Projeto de Lei Complementar nº 177 de 2012. Sim: 442; não: 22; abstenção: 02; total: 466.
,5450,Dimas Fabiano,PP        ,MG,Sim            ,160599,-,-
