Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2004,4330,PL,8/4/2015,16:57,REQ. PARA VOTAÇÃO NOMINAL DO REQ. DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 79; não: 196; total: 275.,5493,Beto Mansur,PRB       ,SP,Não            ,73437,Minoria,Não            
2004,4330,PL,8/4/2015,20:49,SUBEMENDA SUBSTITUTIVA,Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania às Emendas de Plenário e ao Projeto de Lei nº 4.330 de 2004  ressalvados os destaques. Sim: 324; não: 137; abstenção: 2; total: 463.,5494,Beto Mansur,PRB       ,SP,Sim            ,73437,GOV.,Não            
2004,4330,PL,14/4/2015,17:41,DVS - PSDB - EXPR. "ÀS EMPRESAS PÚBLICAS  ÀS SOCIED. DE ECONOMIA MISTA...,Suprimido o texto. Sim: 47; não: 360; abstenção: 4; total: 411.,5499,Onyx Lorenzoni,DEM       ,RS,Sim            ,74399,GOV.,Liberado       
2004,4330,PL,22/4/2015,19:27,EMENDA AGLUTINATIVA Nº 15,,5505,Beto Mansur,PRB       ,SP,Sim            ,73437,GOV.,Não            
