Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Roberto Góes,PDT       ,AP,Não            ,178995,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Danilo Cabral,PSB       ,PE,Não            ,160528,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Aliel Machado,PCdoB     ,PR,Sim            ,178927,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Francisco Chapadinha,PSD       ,PA,Não            ,178907,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Leonardo Picciani,PMDB      ,RJ,Não            ,74254,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Hugo Motta,PMDB      ,PB,Não            ,160674,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Daniel Almeida,PCdoB     ,BA,Obstrução      ,74060,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Esperidião Amin,PP        ,SC,Não            ,160649,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Cristiane Brasil,PTB       ,RJ,Não            ,93472,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Enio Verri,PT        ,PR,Obstrução      ,132504,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Delegado Waldir,PSDB      ,GO,Não            ,164359,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,José Reinaldo,PSB       ,MA,Não            ,73714,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Ricardo Barros,PP        ,PR,Não            ,73788,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Janete Capiberibe,PSB       ,AP,Obstrução      ,73926,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Assis Carvalho,PT        ,PI,Obstrução      ,159237,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Miguel Haddad,PSDB      ,SP,Não            ,178984,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Jovair Arantes,PTB       ,GO,Não            ,73666,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Rodrigo de Castro,PSDB      ,MG,Não            ,141531,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Carlos Andrade,PHS       ,RR,Não            ,178958,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Paulo Foletto,PSB       ,ES,Não            ,160517,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Fabio Garcia,PSB       ,MT,Não            ,178905,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Rejane Dias,PT        ,PI,Obstrução      ,178925,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,João Campos,PSDB      ,GO,Não            ,74366,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Rodrigo Maia,DEM       ,RJ,Não            ,74693,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Aureo,Solidaried,RJ,Não            ,160512,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Alice Portugal,PCdoB     ,BA,Obstrução      ,74057,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Alberto Fraga,DEM       ,DF,Não            ,73579,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Celso Pansera,PMDB      ,RJ,Não            ,72912,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Marinaldo Rosendo,PSB       ,PE,Sim            ,178919,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Samuel Moreira,PSDB      ,SP,Não            ,178990,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Jerônimo Goergen,PP        ,RS,Não            ,160570,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Ricardo Izar,PSD       ,SP,Não            ,160655,-,-
