Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Odelmo Leão,PP        ,MG,Sim            ,74752,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Marcos Soares,PR        ,RJ,Sim            ,178943,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Alessandro Molon,PT        ,RJ,Não            ,160511,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Felipe Maia,DEM       ,RN,Sim            ,141429,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,João Marcelo Souza,PMDB      ,MA,Sim            ,112437,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Vanderlei Macris,PSDB      ,SP,Sim            ,141553,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Remídio Monai,PR        ,RR,Sim            ,178960,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Francisco Chapadinha,PSD       ,PA,Sim            ,178907,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Fausto Pinato,PRB       ,SP,Sim            ,66828,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Leonardo Picciani,PMDB      ,RJ,Sim            ,74254,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Daniel Almeida,PCdoB     ,BA,Sim            ,74060,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Esperidião Amin,PP        ,SC,Sim            ,160649,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Cristiane Brasil,PTB       ,RJ,Sim            ,93472,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Enio Verri,PT        ,PR,Sim            ,132504,-,-
