Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Luiz Carlos Hauly,PSDB      ,PR,Sim            ,73778,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Luiz Couto,PT        ,PB,Sim            ,74041,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Afonso Florence,PT        ,BA,Sim            ,160508,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Hugo Leal,PROS      ,RJ,Sim            ,141450,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Arthur Lira,PP        ,AL,Sim            ,160541,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Irmão Lazaro,PSC       ,BA,Sim            ,178855,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Elcione Barbalho,PMDB      ,PA,Sim            ,74075,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Alan Rick,PRB       ,AC,Sim            ,178836,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Odelmo Leão,PP        ,MG,Sim            ,74752,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Alessandro Molon,PT        ,RJ,Sim            ,160511,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Felipe Maia,DEM       ,RN,Sim            ,141429,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,João Marcelo Souza,PMDB      ,MA,Sim            ,112437,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Vanderlei Macris,PSDB      ,SP,Sim            ,141553,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Remídio Monai,PR        ,RR,Sim            ,178960,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Aliel Machado,PCdoB     ,PR,Sim            ,178927,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Fausto Pinato,PRB       ,SP,Sim            ,66828,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Leonardo Picciani,PMDB      ,RJ,Sim            ,74254,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Sérgio Moraes,PTB       ,RS,Sim            ,141542,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Jhonatan de Jesus,PRB       ,RR,Sim            ,160531,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Vicente Candido,PT        ,SP,Sim            ,160622,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Daniel Almeida,PCdoB     ,BA,Sim            ,74060,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Cristiane Brasil,PTB       ,RJ,Sim            ,93472,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Enio Verri,PT        ,PR,Sim            ,132504,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Fábio Faria,PSD       ,RN,Sim            ,141428,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Delegado Waldir,PSDB      ,GO,Sim            ,164359,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Helder Salomão,PT        ,ES,Sim            ,178873,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Nelson Marquezelli,PTB       ,SP,Abstenção      ,73553,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,José Reinaldo,PSB       ,MA,Sim            ,73714,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Ricardo Barros,PP        ,PR,Sim            ,73788,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Miguel Haddad,PSDB      ,SP,Sim            ,178984,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Rodrigo de Castro,PSDB      ,MG,Sim            ,141531,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Márcio Marinho,PRB       ,BA,Sim            ,150418,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Carlos Andrade,PHS       ,RR,Sim            ,178958,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Paulo Foletto,PSB       ,ES,Sim            ,160517,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Nilton Capixaba,PTB       ,RO,Sim            ,74359,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Fabio Garcia,PSB       ,MT,Sim            ,178905,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,João Campos,PSDB      ,GO,Sim            ,74366,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Leonardo Quintão,PMDB      ,MG,Sim            ,141482,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Mário Heringer,PDT       ,MG,Sim            ,74158,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Jaime Martins,PSD       ,MG,Sim            ,74665,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Alice Portugal,PCdoB     ,BA,Sim            ,74057,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Marcos Rogério,PDT       ,RO,Sim            ,167722,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Alberto Fraga,DEM       ,DF,Sim            ,73579,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Celso Pansera,PMDB      ,RJ,Sim            ,72912,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Wladimir Costa,Solidaried,PA,Sim            ,73930,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,José Mentor,PT        ,SP,Sim            ,74275,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Marinaldo Rosendo,PSB       ,PE,Sim            ,178919,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Samuel Moreira,PSDB      ,SP,Sim            ,178990,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Jerônimo Goergen,PP        ,RS,Sim            ,160570,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Ricardo Izar,PSD       ,SP,Sim            ,160655,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Andres Sanchez,PT        ,SP,Sim            ,178974,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Max Filho,PSDB      ,ES,Sim            ,178827,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Laudivio Carvalho,PMDB      ,MG,Sim            ,178894,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Caetano,PT        ,BA,Sim            ,178853,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Arnaldo Faria de Sá,PTB       ,SP,Sim            ,73434,-,-
