Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2015,1118,REQ,24/3/2015,18:56,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7885/2014,,5477,Luiza Erundina,PSB       ,SP,Não            ,74784,GOV.,Não            
2015,1118,REQ,24/3/2015,18:56,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7885/2014,,5477,Roberto Alves,PRB       ,SP,Sim            ,152610,-,-
2015,1118,REQ,24/3/2015,18:56,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7885/2014,,5477,Osmar Serraglio,PMDB      ,PR,Sim            ,73463,-,-
2015,1118,REQ,24/3/2015,18:56,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7885/2014,,5477,Bruno Araújo,PSDB      ,PE,Sim            ,141394,-,-
2015,1118,REQ,24/3/2015,18:56,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7885/2014,,5477,Cacá Leão,PP        ,BA,Sim            ,93083,-,-
2015,1118,REQ,24/3/2015,18:56,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7885/2014,,5477,Chico D Angelo,PT        ,RJ,Não            ,141439,-,-
2015,1118,REQ,24/3/2015,18:56,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7885/2014,,5477,Hélio Leite,DEM       ,PA,Sim            ,178909,-,-
2015,1118,REQ,24/3/2015,18:56,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7885/2014,,5477,Carlos Gomes,PRB       ,RS,Sim            ,178962,-,-
2015,1118,REQ,24/3/2015,18:56,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7885/2014,,5477,Wolney Queiroz,PDT       ,PE,Sim            ,74439,-,-
2015,1118,REQ,24/3/2015,18:56,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7885/2014,,5477,João Rodrigues,PSD       ,SC,Sim            ,160571,-,-
2015,1118,REQ,24/3/2015,18:56,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7885/2014,,5477,Fabiano Horta,PT        ,RJ,Não            ,146829,-,-
2015,1118,REQ,24/3/2015,18:56,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7885/2014,,5477,Rubens Pereira Júnior,PCdoB     ,MA,Não            ,178887,-,-
2015,1118,REQ,24/3/2015,18:56,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7885/2014,,5477,Jozi Rocha,PTB       ,AP,Sim            ,178851,-,-
2015,1118,REQ,24/3/2015,18:56,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7885/2014,,5477,Roney Nemer,PMDB      ,DF,Não            ,178870,-,-
