Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2015,13,PLP,16/4/2015,17:12,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 13 de 2015. Sim: 377; não: 10; total: 387.,5502,Luiza Erundina,PSB       ,SP,Sim            ,74784,GOV.,Sim            
2015,13,PLP,16/4/2015,17:12,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 13 de 2015. Sim: 377; não: 10; total: 387.,5502,Lázaro Botelho,PP        ,TO,Sim            ,141480,-,-
2015,13,PLP,16/4/2015,17:12,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 13 de 2015. Sim: 377; não: 10; total: 387.,5502,Erivelton Santana,PSC       ,BA,Sim            ,99654,-,-
2015,13,PLP,16/4/2015,17:12,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 13 de 2015. Sim: 377; não: 10; total: 387.,5502,Osmar Serraglio,PMDB      ,PR,Sim            ,73463,-,-
2015,13,PLP,16/4/2015,17:12,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 13 de 2015. Sim: 377; não: 10; total: 387.,5502,Cacá Leão,PP        ,BA,Sim            ,93083,-,-
2015,13,PLP,16/4/2015,17:12,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 13 de 2015. Sim: 377; não: 10; total: 387.,5502,Dimas Fabiano,PP        ,MG,Sim            ,160599,-,-
2015,13,PLP,16/4/2015,17:12,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 13 de 2015. Sim: 377; não: 10; total: 387.,5502,Chico D Angelo,PT        ,RJ,Sim            ,141439,-,-
2015,13,PLP,16/4/2015,17:12,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 13 de 2015. Sim: 377; não: 10; total: 387.,5502,Hélio Leite,DEM       ,PA,Sim            ,178909,-,-
2015,13,PLP,16/4/2015,17:12,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 13 de 2015. Sim: 377; não: 10; total: 387.,5502,Odorico Monteiro,PT        ,CE,Sim            ,178868,-,-
2015,13,PLP,16/4/2015,17:12,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 13 de 2015. Sim: 377; não: 10; total: 387.,5502,Wolney Queiroz,PDT       ,PE,Sim            ,74439,-,-
2015,13,PLP,16/4/2015,17:12,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 13 de 2015. Sim: 377; não: 10; total: 387.,5502,João Rodrigues,PSD       ,SC,Sim            ,160571,-,-
2015,13,PLP,16/4/2015,17:12,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 13 de 2015. Sim: 377; não: 10; total: 387.,5502,Rubens Pereira Júnior,PCdoB     ,MA,Sim            ,178887,-,-
2015,13,PLP,16/4/2015,17:12,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 13 de 2015. Sim: 377; não: 10; total: 387.,5502,Jozi Rocha,PTB       ,AP,Sim            ,178851,-,-
2015,13,PLP,16/4/2015,17:12,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 13 de 2015. Sim: 377; não: 10; total: 387.,5502,Dr. Jorge Silva,PROS      ,ES,Sim            ,160643,-,-
2015,13,PLP,16/4/2015,17:12,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 13 de 2015. Sim: 377; não: 10; total: 387.,5502,Roney Nemer,PMDB      ,DF,Sim            ,178870,-,-
2015,13,PLP,16/4/2015,17:12,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 13 de 2015. Sim: 377; não: 10; total: 387.,5502,Dulce Miranda,PMDB      ,TO,Sim            ,178994,-,-
2015,13,PLP,16/4/2015,17:12,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 13 de 2015. Sim: 377; não: 10; total: 387.,5502,Décio Lima,PT        ,SC,Sim            ,141413,-,-
2015,13,PLP,16/4/2015,17:12,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 13 de 2015. Sim: 377; não: 10; total: 387.,5502,Adelmo Carneiro Leão,PT        ,MG,Sim            ,178890,-,-
2015,13,PLP,16/4/2015,17:12,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 13 de 2015. Sim: 377; não: 10; total: 387.,5502,Eduardo Bolsonaro,PSC       ,SP,Não            ,92346,-,-
2015,13,PLP,16/4/2015,17:12,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 13 de 2015. Sim: 377; não: 10; total: 387.,5502,Luiz Carlos Hauly,PSDB      ,PR,Sim            ,73778,-,-
2015,13,PLP,16/4/2015,17:12,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 13 de 2015. Sim: 377; não: 10; total: 387.,5502,Luiz Couto,PT        ,PB,Sim            ,74041,-,-
