Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Capitão Fábio Abreu,PTB       ,PI,Sim            ,178924,Minoria,Liberado       
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Hélio Leite,DEM       ,PA,Abstenção      ,178909,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Wolney Queiroz,PDT       ,PE,Não            ,74439,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Roberto Góes,PDT       ,AP,Obstrução      ,178995,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Esperidião Amin,PP        ,SC,Sim            ,160649,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Fabio Garcia,PSB       ,MT,Obstrução      ,178905,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Jaime Martins,PSD       ,MG,Não            ,74665,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Alberto Fraga,DEM       ,DF,Sim            ,73579,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,José Mentor,PT        ,SP,Obstrução      ,74275,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Flavinho,PSB       ,SP,Não            ,178978,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Vicentinho,PT        ,SP,Não            ,74283,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Edmar Arruda,PSC       ,PR,Não            ,160578,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Luiz Carlos Ramos,PSDC      ,RJ,Não            ,178802,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Eduardo Cunha,PMDB      ,RJ,Art. 17        ,74173,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Angelim,PT        ,AC,Não            ,178837,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Expedito Netto,Solidaried,RO,Sim            ,178953,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Ságuas Moraes,PT        ,MT,Obstrução      ,160630,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Aluisio Mendes,PSDC      ,MA,Não            ,178881,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Cabuçu Borges,PMDB      ,AP,Obstrução      ,105112,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Ronaldo Lessa,PDT       ,AL,Não            ,178845,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Marcelo Belinati,PP        ,PR,Não            ,178932,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Carlos Marun,PMDB      ,MS,Não            ,178900,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Roberto Balestra,PP        ,GO,Sim            ,73674,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Edmilson Rodrigues,PSOL      ,PA,Não            ,134812,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Baleia Rossi,PMDB      ,SP,Não            ,178975,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Adilton Sachetti,PSB       ,MT,Obstrução      ,178903,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Carmen Zanotto,PPS       ,SC,Não            ,164360,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Zé Carlos,PT        ,MA,Não            ,178889,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Valtenir Pereira,PROS      ,MT,Obstrução      ,141552,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Chico Alencar,PSOL      ,RJ,Não            ,74171,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Hildo Rocha,PMDB      ,MA,Obstrução      ,178884,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Marcelo Castro,PMDB      ,PI,Não            ,74460,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Ivan Valente,PSOL      ,SP,Não            ,73531,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Professora Dorinha Seabra Rezende,DEM       ,TO,Obstrução      ,160639,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Miro Teixeira,PROS      ,RJ,Não            ,74862,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Pedro Chaves,PMDB      ,GO,Não            ,74812,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Júlio Cesar,PSD       ,PI,Obstrução      ,74317,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,César Messias,PSB       ,AC,Não            ,178838,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Moroni Torgan,DEM       ,CE,Sim            ,74457,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Ronaldo Nogueira,PTB       ,RS,Obstrução      ,163321,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Lucas Vergilio,Solidaried,GO,Sim            ,178879,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Hissa Abrahão,PPS       ,AM,Não            ,178849,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Tereza Cristina,PSB       ,MS,Não            ,178901,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Ezequiel Fonseca,PP        ,MT,Sim            ,178904,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Wilson Filho,PTB       ,PB,Obstrução      ,160636,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Cabo Daciolo,PSOL      ,RJ,Não            ,178938,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,André Fufuca,PEN       ,MA,Não            ,178882,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Renata Abreu,PTN       ,SP,Sim            ,178989,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Marx Beltrão,PMDB      ,AL,Obstrução      ,178843,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Pedro Vilela,PSDB      ,AL,Obstrução      ,178844,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Arolde de Oliveira,PSD       ,RJ,Obstrução      ,74833,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Wadson Ribeiro,PCdoB     ,MG,Não            ,137853,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Augusto Coutinho,Solidaried,PE,Obstrução      ,160665,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Carlos Eduardo Cadoca,PCdoB     ,PE,Não            ,74474,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Delegado Edson Moreira,PTN       ,MG,Não            ,178893,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Raquel Muniz,PSC       ,MG,Não            ,178998,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Jose Stédile,PSB       ,RS,Obstrução      ,160607,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Pastor Eurico,PSB       ,PE,Sim            ,160642,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Weverton Rocha,PDT       ,MA,Obstrução      ,167493,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Tadeu Alencar,PSB       ,PE,Não            ,178922,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Marcos Rotta,PMDB      ,AM,Obstrução      ,178850,-,-
2013,1410,PDC,5/2/2015,12:22,REQUERIMENTO DE RETIRADA DE PAUTA,,5438,Augusto Carvalho,Solidaried,DF,Sim            ,73655,-,-
