Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Marcos Soares,PR        ,RJ,Sim            ,178943,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Alessandro Molon,PT        ,RJ,Não            ,160511,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Felipe Maia,DEM       ,RN,Sim            ,141429,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,João Marcelo Souza,PMDB      ,MA,Não            ,112437,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Vanderlei Macris,PSDB      ,SP,Sim            ,141553,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Aliel Machado,PCdoB     ,PR,Não            ,178927,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Francisco Chapadinha,PSD       ,PA,Sim            ,178907,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Fausto Pinato,PRB       ,SP,Abstenção      ,66828,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Jhonatan de Jesus,PRB       ,RR,Sim            ,160531,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Vicente Candido,PT        ,SP,Não            ,160622,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Daniel Almeida,PCdoB     ,BA,Não            ,74060,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Esperidião Amin,PP        ,SC,Sim            ,160649,-,-
