partido,nome_votacao,orientacao_partido
psdb,Maioridade 1,sim
prb,Maioridade 1,sim
podemos,Maioridade 1,sim
pmn,Maioridade 1,sim
prp,Maioridade 1,sim
psdc,Maioridade 1,sim
prtb,Maioridade 1,sim
ptc,Maioridade 1,sim
psl,Maioridade 1,sim
avante,Maioridade 1,sim
psd,Maioridade 1,sim
pr,Maioridade 1,sim
psb,Maioridade 1,não
dem,Maioridade 1,sim
pdt,Maioridade 1,não
solidaried,Maioridade 1,sim
pcdob,Maioridade 1,não
pros,Maioridade 1,não
pps,Maioridade 1,não
pv,Maioridade 1,não
psol,Maioridade 1,não
mdb,Maioridade 2,sim
progressistas,Maioridade 2,sim
ptb,Maioridade 2,sim
psc,Maioridade 2,sim
phs,Maioridade 2,sim
patriotas,Maioridade 2,sim
pt,Maioridade 2,não
psdb,Maioridade 2,sim
prb,Maioridade 2,sim
podemos,Maioridade 2,sim
pmn,Maioridade 2,sim
prp,Maioridade 2,sim
psdc,Maioridade 2,sim
prtb,Maioridade 2,sim
ptc,Maioridade 2,sim
psl,Maioridade 2,sim
avante,Maioridade 2,sim
psd,Maioridade 2,sim
pr,Maioridade 2,sim
psb,Maioridade 2,não
dem,Maioridade 2,sim
pdt,Maioridade 2,não
solidaried,Maioridade 2,sim
pcdob,Maioridade 2,não
pros,Maioridade 2,não
pps,Maioridade 2,não
pv,Maioridade 2,não
psol,Maioridade 2,obstrução
mdb,Distritao,sim
progressistas,Distritao,sim
ptb,Distritao,sim
psc,Distritao,sim
phs,Distritao,sim
patriotas,Distritao,sim
pt,Distritao,não
psdb,Distritao,liberado
prb,Distritao,não
podemos,Distritao,não
pmn,Distritao,não
prp,Distritao,não
psdc,Distritao,não
prtb,Distritao,não
ptc,Distritao,não
psl,Distritao,não
avante,Distritao,não
psd,Distritao,liberado
pr,Distritao,não
psb,Distritao,não
dem,Distritao,sim
pdt,Distritao,não
solidaried,Distritao,sim
pcdob,Distritao,sim
pros,Distritao,liberado
pps,Distritao,não
pv,Distritao,não
psol,Distritao,não
mdb,Financiamento privado para partidos e candidatos,sim
progressistas,Financiamento privado para partidos e candidatos,sim
ptb,Financiamento privado para partidos e candidatos,sim
psc,Financiamento privado para partidos e candidatos,sim
phs,Financiamento privado para partidos e candidatos,sim
patriotas,Financiamento privado para partidos e candidatos,sim
pt,Financiamento privado para partidos e candidatos,não
psdb,Financiamento privado para partidos e candidatos,sim
prb,Financiamento privado para partidos e candidatos,não
podemos,Financiamento privado para partidos e candidatos,não
pmn,Financiamento privado para partidos e candidatos,não
prp,Financiamento privado para partidos e candidatos,não
psdc,Financiamento privado para partidos e candidatos,não
prtb,Financiamento privado para partidos e candidatos,não
ptc,Financiamento privado para partidos e candidatos,não
psl,Financiamento privado para partidos e candidatos,não
avante,Financiamento privado para partidos e candidatos,não
psd,Financiamento privado para partidos e candidatos,sim
pr,Financiamento privado para partidos e candidatos,sim
psb,Financiamento privado para partidos e candidatos,liberado
dem,Financiamento privado para partidos e candidatos,sim
pdt,Financiamento privado para partidos e candidatos,não
solidaried,Financiamento privado para partidos e candidatos,sim
pcdob,Financiamento privado para partidos e candidatos,não
pros,Financiamento privado para partidos e candidatos,liberado
pps,Financiamento privado para partidos e candidatos,não
pv,Financiamento privado para partidos e candidatos,não
psol,Financiamento privado para partidos e candidatos,não
mdb,Voto Facultativo,liberado
progressistas,Voto Facultativo,liberado
ptb,Voto Facultativo,liberado
psc,Voto Facultativo,liberado
phs,Voto Facultativo,liberado
patriotas,Voto Facultativo,liberado
pt,Voto Facultativo,não
psdb,Voto Facultativo,não
prb,Voto Facultativo,não
podemos,Voto Facultativo,não
pmn,Voto Facultativo,não
prp,Voto Facultativo,não
psdc,Voto Facultativo,não
prtb,Voto Facultativo,não
ptc,Voto Facultativo,não
psl,Voto Facultativo,não
avante,Voto Facultativo,não
psd,Voto Facultativo,não
pr,Voto Facultativo,não
psb,Voto Facultativo,não
dem,Voto Facultativo,sim
pdt,Voto Facultativo,não
solidaried,Voto Facultativo,não
pcdob,Voto Facultativo,não
pros,Voto Facultativo,não
pps,Voto Facultativo,sim
pv,Voto Facultativo,sim
psol,Voto Facultativo,não
mdb,Financiamento privado para partidos,sim
progressistas,Financiamento privado para partidos,sim
ptb,Financiamento privado para partidos,sim
psc,Financiamento privado para partidos,sim
phs,Financiamento privado para partidos,sim
patriotas,Financiamento privado para partidos,sim
pt,Financiamento privado para partidos,não
psdb,Financiamento privado para partidos,sim
prb,Financiamento privado para partidos,sim
podemos,Financiamento privado para partidos,sim
pmn,Financiamento privado para partidos,sim
prp,Financiamento privado para partidos,sim
psdc,Financiamento privado para partidos,sim
prtb,Financiamento privado para partidos,sim
ptc,Financiamento privado para partidos,sim
psl,Financiamento privado para partidos,sim
avante,Financiamento privado para partidos,sim
psd,Financiamento privado para partidos,sim
pr,Financiamento privado para partidos,sim
psb,Financiamento privado para partidos,liberado
dem,Financiamento privado para partidos,sim
pdt,Financiamento privado para partidos,não
solidaried,Financiamento privado para partidos,sim
pcdob,Financiamento privado para partidos,não
pros,Financiamento privado para partidos,sim
pps,Financiamento privado para partidos,não
pv,Financiamento privado para partidos,sim
psol,Financiamento privado para partidos,obstrução
mdb,Reeleição,sim
progressistas,Reeleição,sim
ptb,Reeleição,sim
psc,Reeleição,sim
phs,Reeleição,sim
patriotas,Reeleição,sim
pt,Reeleição,sim
psdb,Reeleição,sim
prb,Reeleição,sim
podemos,Reeleição,sim
pmn,Reeleição,sim
prp,Reeleição,sim
psdc,Reeleição,sim
prtb,Reeleição,sim
ptc,Reeleição,sim
psl,Reeleição,sim
avante,Reeleição,sim
psd,Reeleição,sim
pr,Reeleição,sim
psb,Reeleição,sim
dem,Reeleição,sim
pdt,Reeleição,sim
solidaried,Reeleição,sim
pcdob,Reeleição,sim
pros,Reeleição,sim
pps,Reeleição,sim
pv,Reeleição,sim
psol,Reeleição,sim
mdb,Tempo Mandato,liberado
progressistas,Tempo Mandato,liberado
ptb,Tempo Mandato,liberado
psc,Tempo Mandato,liberado
phs,Tempo Mandato,liberado
patriotas,Tempo Mandato,liberado
pt,Tempo Mandato,sim
psdb,Tempo Mandato,sim
prb,Tempo Mandato,não
podemos,Tempo Mandato,não
pmn,Tempo Mandato,não
prp,Tempo Mandato,não
psdc,Tempo Mandato,não
prtb,Tempo Mandato,não
ptc,Tempo Mandato,não
psl,Tempo Mandato,não
avante,Tempo Mandato,não
psd,Tempo Mandato,sim
pr,Tempo Mandato,sim
psb,Tempo Mandato,sim
dem,Tempo Mandato,não
pdt,Tempo Mandato,sim
solidaried,Tempo Mandato,sim
pcdob,Tempo Mandato,não
pros,Tempo Mandato,sim
pps,Tempo Mandato,não
pv,Tempo Mandato,liberado
psol,Tempo Mandato,sim
mdb,Coincidência reeleição,liberado
progressistas,Coincidência reeleição,liberado
ptb,Coincidência reeleição,liberado
psc,Coincidência reeleição,liberado
phs,Coincidência reeleição,liberado
patriotas,Coincidência reeleição,liberado
pt,Coincidência reeleição,não
psdb,Coincidência reeleição,não
prb,Coincidência reeleição,não
podemos,Coincidência reeleição,não
pmn,Coincidência reeleição,não
prp,Coincidência reeleição,não
psdc,Coincidência reeleição,não
prtb,Coincidência reeleição,não
ptc,Coincidência reeleição,não
psl,Coincidência reeleição,não
avante,Coincidência reeleição,não
psd,Coincidência reeleição,liberado
pr,Coincidência reeleição,sim
psb,Coincidência reeleição,sim
dem,Coincidência reeleição,liberado
pdt,Coincidência reeleição,liberado
solidaried,Coincidência reeleição,sim
pcdob,Coincidência reeleição,não
pros,Coincidência reeleição,sim
pps,Coincidência reeleição,não
pv,Coincidência reeleição,liberado
psol,Coincidência reeleição,não
mdb,Cota para mulheres legislativo,liberado
progressistas,Cota para mulheres legislativo,liberado
ptb,Cota para mulheres legislativo,liberado
psc,Cota para mulheres legislativo,liberado
phs,Cota para mulheres legislativo,liberado
patriotas,Cota para mulheres legislativo,liberado
pt,Cota para mulheres legislativo,sim
psdb,Cota para mulheres legislativo,liberado
prb,Cota para mulheres legislativo,liberado
podemos,Cota para mulheres legislativo,liberado
pmn,Cota para mulheres legislativo,liberado
