id_dep,nome,partido,uf,Cobrança de cursos em universidades públicas,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Infaticídio indígena,Lei trabalhista,Maioridade 1,Maioridade 2,Pensão,Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Terceirização total 2017,Terrorismo,Transgênico,Tributação serviços de internet,Voto Facultativo,Voto impresso,Impeachment,Prosseguimento da denúncia contra Temer,Prosseguimento da 2ª denúncia contra Temer
178987,Orlando Silva,pcdob,SP,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1
160641,Professora Marcivania,pcdob,AP,0,0,1,0,0,0,0,0,0,0,-1,1,-1,1,0,0,1,0,1,0,1,0,1,1
178887,Rubens Pereira Júnior,pcdob,MA,0,0,-1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,-1,0,1,1
137853,Wadson Ribeiro,pcdob,MG,0,0,1,1,0,0,0,-1,0,0,1,1,1,0,0,-1,1,0,0,0,1,-1,-1,-1
178835,Afonso Motta,pdt,RS,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1
133439,André Figueiredo,pdt,CE,-1,-1,1,0,0,0,1,0,0,0,0,1,0,-1,1,0,1,-1,-1,-1,1,-1,1,1
74103,Ariosto Holanda,pdt,CE,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1
74378,Assis do Couto,pdt,PR,1,1,1,0,0,0,-2,0,0,0,1,1,-1,1,0,0,1,0,0,0,1,0,1,1
74474,Carlos Eduardo Cadoca,pdt,PE,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,-1,-1,-1,-1
141411,Dagoberto Nogueira,pdt,MS,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1
74467,Damião Feliciano,pdt,PB,0,-1,1,0,0,0,1,-1,0,0,0,1,0,-1,0,0,1,0,1,-1,1,0,1,1
185500,Deoclides Macedo,pdt,MA,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1
191923,Flavio Nogueira,pdt,PI,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
160598,Flávia Morais,pdt,GO,-1,-1,1,0,0,0,1,0,0,0,0,1,0,-1,1,0,1,1,-1,-1,1,1,1,1
160666,Félix Mendonça Júnior,pdt,BA,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1
178849,Hissa Abrahão,pdt,AM,1,0,1,0,0,0,-1,0,0,0,-1,1,0,0,1,0,1,1,1,1,1,1,1,-1
141474,Julião Amin Castro,pdt,MA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1
74299,Leônidas Cristino,pdt,CE,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1
74158,Mário Heringer,pdt,MG,1,1,1,-1,-1,-1,1,-1,0,0,0,-1,0,1,1,0,1,1,-1,0,1,1,-1,-1
73486,Pompeo de Mattos,pdt,RS,1,0,1,0,0,0,1,0,0,0,0,1,0,1,-1,0,1,1,-1,0,1,-2,1,1
178995,Roberto Góes,pdt,AP,0,1,1,0,1,0,1,-1,0,0,0,0,0,1,1,-1,1,0,0,0,1,0,0,-1
178845,Ronaldo Lessa,pdt,AL,0,1,1,0,-1,-1,-2,0,0,0,0,-1,0,1,-1,-1,1,0,0,1,1,0,1,1
191684,Rosângela Curado,pdt,MA,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
178874,Sergio Vidigal,pdt,ES,1,-2,1,0,0,0,1,0,0,0,0,1,0,-2,1,0,1,0,-1,-2,1,1,1,1
177282,Subtenente Gonzaga,pdt,MG,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,-1,0,0,1,1,1,1
167493,Weverton Rocha,pdt,MA,-1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,-1,0,1,0,1,1
74439,Wolney Queiroz,pdt,PE,0,1,-1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,-1,0,1,0,1,1
99654,Erivelton Santana,patriotas,BA,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,-1,0,1,1,0,1,1,0,-1
178885,Junior Marreca,patriotas,MA,1,1,-1,1,1,1,0,1,1,1,0,-1,-1,1,1,1,1,-1,-1,1,-1,0,0,0
160631,Walney Rocha,patriotas,RJ,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,-1,0,0
178958,Carlos Andrade,phs,RR,-1,0,0,1,1,1,-1,0,1,1,1,-1,0,1,1,-1,1,1,1,0,-1,1,1,1
178929,Diego Garcia,phs,PR,-1,0,0,1,1,0,1,-1,0,0,1,1,0,1,0,-1,1,1,1,0,1,1,1,1
160643,Dr. Jorge Silva,phs,ES,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
74558,Givaldo Carimbão,phs,AL,-1,0,0,0,1,1,-1,0,0,0,1,1,1,1,1,0,1,1,-1,-1,1,0,1,1
146788,Marcelo Aro,phs,MG,-1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,-1,1,-1,-1,0,1,1,0,0
76287,Marcelo Matos,phs,RJ,0,1,1,0,0,0,1,1,-2,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1
160642,Pastor Eurico,phs,PE,-1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1
160518,Weliton Prado,pmb,MG,0,-2,-2,-2,-2,-2,1,0,1,1,0,-2,0,-2,0,0,1,0,1,-2,-2,1,1,1
160582,Alberto Filho,mdb,MA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,0,1,1,-1,-1
160559,Alceu Moreira,mdb,RS,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0
178833,Alexandre Serfiotis,mdb,RJ,0,0,-1,0,1,1,1,1,1,1,1,1,0,0,1,-1,0,0,1,0,1,1,-1,0
178937,Altineu Côrtes,mdb,RJ,1,1,-1,0,-1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,0,1,1,0,0
195143,André Amaral,mdb,PB,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0
74212,Aníbal Gomes,mdb,CE,1,-1,0,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,-1,0,0
178975,Baleia Rossi,mdb,SP,1,1,1,1,1,0,-1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,0,0
105112,Cabuçu Borges,mdb,AP,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,-1,1,-1,1,0,0
141401,Carlos Bezerra,mdb,MT,1,1,1,0,1,1,-1,1,0,0,1,1,1,1,-1,1,1,1,1,0,1,1,0,0
178900,Carlos Marun,mdb,MS,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,0,0,1,1,0,0
73568,Celso Jacob,mdb,RJ,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-2,1,1,1,-1,1,-1,0,0
141405,Celso Maldaner,mdb,SC,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,0,0
72912,Celso Pansera,mdb,RJ,-1,1,1,1,1,1,-1,0,0,0,1,0,1,0,1,0,1,-1,-1,1,-1,0,1,1
178841,Cícero Almeida,mdb,AL,1,1,1,1,1,0,1,0,1,1,0,1,0,1,-1,1,1,1,1,0,1,1,0,1
144523,Daniel Vilela,mdb,GO,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,0,0
73891,Darcísio Perondi,mdb,RS,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0
178994,Dulce Miranda,mdb,TO,1,1,1,1,1,1,1,-1,0,1,1,1,1,1,1,-1,1,1,1,0,1,1,0,0
73447,Edinho Araújo,mdb,SP,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
73793,Edinho Bez,mdb,SC,1,-1,0,1,1,-2,1,-1,1,1,-2,1,1,1,1,-1,1,1,0,1,1,-1,-1,-1
74173,Eduardo Cunha,mdb,RJ,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,1,-1,-1
74075,Elcione Barbalho,mdb,PA,1,-1,1,1,0,0,-1,1,0,0,1,1,1,-1,1,-1,-1,-1,1,-1,-1,0,0,0
171623,Fabio Reis,mdb,SE,1,1,0,1,1,1,1,-1,1,1,1,1,0,1,1,0,1,1,-1,1,1,1,0,-1
163831,Fernando Jordão,mdb,RJ,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,-1,-1
141434,Flaviano Melo,mdb,AC,-1,0,-1,1,1,1,1,1,1,1,1,1,1,0,1,1,-1,1,-1,0,-1,1,0,0
141427,Fábio Ramalho,mdb,MG,1,1,-1,1,1,1,0,1,0,0,-1,1,1,1,1,1,1,0,1,0,1,1,0,0
73772,Hermes Parcianello,mdb,PR,1,1,1,1,1,1,1,-1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0
178884,Hildo Rocha,mdb,MA,1,1,1,1,1,1,1,1,1,1,-1,1,1,0,1,1,1,1,0,1,0,1,0,0
160674,Hugo Motta,mdb,PB,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,-1,0,-1,1,0,0
131943,Jarbas Vasconcelos,mdb,PE,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,-1,1,1,1,1,1,1,1
194262,Jones Martins,mdb,RS,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0
114941,Josi Nunes,mdb,TO,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,-1
131966,José Fogaça,mdb,RS,1,0,-1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0
74079,José Priante,mdb,PA,-1,0,1,1,-1,-1,1,1,-1,-1,1,-1,1,1,-1,1,1,-1,-1,0,-1,1,0,0
160573,João Arruda,mdb,PR,0,0,0,1,1,0,0,1,0,0,-1,1,0,1,0,-1,1,1,-1,1,1,1,0,0
112437,João Marcelo Souza,mdb,MA,1,-1,-1,1,1,1,-2,1,0,0,1,1,1,-1,1,1,1,1,1,-1,-1,0,0,0
178839,Jéssica Sales,mdb,AC,1,1,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,-1,0,-1,1,-1,0,-1,1,0,0
178918,Kaio Maniçoba,mdb,PE,1,0,0,1,1,1,1,1,0,1,-1,1,0,1,1,-1,1,1,1,0,1,1,-1,-1
74856,Laura Carneiro,mdb,RJ,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1
141562,Lelo Coimbra,mdb,ES,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,-1,0,1,1,1,0,0
74254,Leonardo Picciani,mdb,RJ,-1,1,1,1,1,1,1,-1,1,1,1,1,1,0,1,-1,1,1,-1,1,-1,0,0,0
141482,Leonardo Quintão,mdb,MG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,0,1,1,0,0
178954,Lucio Mosquini,mdb,RO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,1,1,-1,1,1,1,0,0
94931,Lucio Vieira Lima,mdb,BA,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,1,0,0
141490,Manoel Junior,mdb,PB,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,-1,-1
74460,Marcelo Castro,mdb,PI,-1,1,-1,0,0,0,1,1,1,-2,1,1,1,1,1,-1,1,1,-1,0,-1,0,-1,-1
178942,Marco Antônio Cabral,mdb,RJ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0,0
178850,Marcos Rotta,mdb,AM,1,1,1,1,1,1,1,-1,1,1,0,1,0,1,1,-1,1,1,-1,1,1,1,-1,-1
74177,Marinha Raupp,mdb,RO,-1,1,1,0,1,0,1,1,0,0,1,1,-1,1,0,1,1,-1,-1,0,1,1,0,0
181315,Marquinho Mendes,mdb,RJ,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,-1,-1,-1
178843,Marx Beltrão,mdb,AL,1,1,-1,1,1,1,1,-1,1,1,0,0,1,1,1,-1,1,1,-1,1,1,1,0,0
74749,Mauro Lopes,mdb,MG,1,-1,0,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,-1,1,1,0,0
141507,Mauro Mariani,mdb,SC,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,0,1,1,1,1,1,0,1
124411,Mauro Pereira,mdb,RS,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0
178997,Moses Rodrigues,mdb,CE,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0
178896,Newton Cardoso Jr,mdb,MG,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,0,1,1,0,0,1,0,0
73463,Osmar Serraglio,mdb,PR,1,1,-1,1,1,1,1,-1,1,1,-1,1,-1,1,1,-1,1,1,1,-1,-1,1,-1,0
73692,Osmar Terra,mdb,RS,-1,1,1,-1,-1,-1,1,-1,0,0,1,-1,1,-1,0,-1,1,-1,1,0,1,1,0,-1
74812,Pedro Chaves,mdb,GO,-1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,0,1,1,0,0
122158,Pedro Paulo,mdb,RJ,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0,0
141532,Rocha Loures,mdb,PR,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
178897,Rodrigo Pacheco,mdb,MG,1,-1,0,1,1,0,1,1,-1,-1,1,1,1,-1,1,1,1,1,1,-1,1,1,-2,-2
160651,Rogério Peninha Mendonça,mdb,SC,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0
160515,Ronaldo Benedet,mdb,SC,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,0,0
74762,Saraiva Felipe,mdb,MG,1,1,1,-1,1,-1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0
178933,Sergio Souza,mdb,PR,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-1,1,0,0
160612,Sergio Zveiter,mdb,RJ,-1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,1,1,-1,-1,-1,0,1,1,1,1
74765,Silas Brasileiro,mdb,MG,1,1,0,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,1,1,1,-1,-1,-1
178911,Simone Morgado,mdb,PA,1,1,1,0,0,0,1,0,0,0,1,1,1,1,-1,0,1,1,1,0,1,0,0,0
178946,Soraya Santos,mdb,RJ,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,1,1,0,0
74010,Valdir Colatto,mdb,SC,1,0,1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,1,0,1,1,0,1,1,0,0
141552,Valtenir Pereira,mdb,MT,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,-1,1,0,1,0,-1,-1
178913,Veneziano Vital do Rêgo,mdb,PB,0,1,1,1,1,1,-1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
178869,Vitor Valim,mdb,CE,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,-1,1,-1,1,1,1,1,1,1
178952,Walter Alves,mdb,RN,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0
160620,Washington Reis,mdb,RJ,1,-1,1,1,-1,1,-1,-1,0,0,1,-1,1,-1,1,-1,1,1,-1,-1,1,1,-1,-1
193066,Wilson Beserra,mdb,RJ,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
191945,Zé Augusto Nalin,mdb,RJ,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0
178864,Adail Carneiro,progressistas,CE,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,-1,-1
136811,Afonso Hamm,progressistas,RS,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1
160527,Aguinaldo Ribeiro,progressistas,PB,1,1,0,1,1,1,0,1,-1,-1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
178831,André Abdon,progressistas,AP,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0
178882,André Fufuca,progressistas,MA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,0,0,1,1,0,0
160541,Arthur Lira,progressistas,AL,1,-1,0,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,0,-1,-1,1,0,0
178948,Beto Rosado,progressistas,RN,1,1,0,0,1,1,-1,1,1,1,-1,1,0,1,1,-1,1,1,1,0,1,1,0,0
178906,Beto Salame,progressistas,PA,-1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,-2,0,0
93083,Cacá Leão,progressistas,BA,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-2,0,0
178848,Conceição Sampaio,progressistas,AM,0,1,1,1,1,0,-2,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1
178963,Covatti Filho,progressistas,RS,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-1,0,1,0,0,1,1,0,0
73768,Dilceu Sperafico,progressistas,PR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
