id,idLegislatura,nome,siglaPartido,siglaUf,uri,uriPartido,urlFoto
160561,55,MISSIONÁRIO JOSÉ OLIMPIO,dem,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/160561,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,http://www.camara.leg.br/internet/deputado/bandep/160561.jpg
195278,55,MOISÉS DINIZ,pcdob,AC,https://dadosabertos.camara.leg.br/api/v2/deputados/195278,https://dadosabertos.camara.leg.br/api/v2/partidos/36779,http://www.camara.leg.br/internet/deputado/bandep/195278.jpg
74457,55,MORONI TORGAN,dem,CE,https://dadosabertos.camara.leg.br/api/v2/deputados/74457,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,http://www.camara.leg.br/internet/deputado/bandep/74457.jpg
66179,55,NORMA AYUB,dem,ES,https://dadosabertos.camara.leg.br/api/v2/deputados/66179,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,http://www.camara.leg.br/internet/deputado/bandep/66179.jpg
74399,55,ONYX LORENZONI,dem,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/74399,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,http://www.camara.leg.br/internet/deputado/bandep/74399.jpg
180545,55,OSMAR BERTOLDI,dem,PR,https://dadosabertos.camara.leg.br/api/v2/deputados/180545,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,http://www.camara.leg.br/internet/deputado/bandep/180545.jpg
74095,55,PAUDERNEY AVELINO,dem,AM,https://dadosabertos.camara.leg.br/api/v2/deputados/74095,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,http://www.camara.leg.br/internet/deputado/bandep/74095.jpg
178860,55,PAULO AZI,dem,BA,https://dadosabertos.camara.leg.br/api/v2/deputados/178860,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,http://www.camara.leg.br/internet/deputado/bandep/178860.jpg
160639,55,PROFESSORA DORINHA SEABRA REZENDE,dem,TO,https://dadosabertos.camara.leg.br/api/v2/deputados/160639,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,http://www.camara.leg.br/internet/deputado/bandep/160639.jpg
74693,55,RODRIGO MAIA,dem,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/74693,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,http://www.camara.leg.br/internet/deputado/bandep/74693.jpg
178947,55,SÓSTENES CAVALCANTE,dem,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/178947,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,http://www.camara.leg.br/internet/deputado/bandep/178947.jpg
195866,55,VAIDON OLIVEIRA,pros,CE,https://dadosabertos.camara.leg.br/api/v2/deputados/195866,https://dadosabertos.camara.leg.br/api/v2/partidos/36763,http://www.camara.leg.br/internet/deputado/bandep/195866.jpg
178835,55,AFONSO MOTTA,pdt,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/178835,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,http://www.camara.leg.br/internet/deputado/bandep/178835.jpg
133439,55,ANDRÉ FIGUEIREDO,pdt,CE,https://dadosabertos.camara.leg.br/api/v2/deputados/133439,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,http://www.camara.leg.br/internet/deputado/bandep/133439.jpg
74103,55,ARIOSTO HOLANDA,pdt,CE,https://dadosabertos.camara.leg.br/api/v2/deputados/74103,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,http://www.camara.leg.br/internet/deputado/bandep/74103.jpg
74378,55,ASSIS DO COUTO,pdt,PR,https://dadosabertos.camara.leg.br/api/v2/deputados/74378,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,http://www.camara.leg.br/internet/deputado/bandep/74378.jpg
74474,55,CARLOS EDUARDO CADOCA,pdt,PE,https://dadosabertos.camara.leg.br/api/v2/deputados/74474,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,http://www.camara.leg.br/internet/deputado/bandep/74474.jpg
141411,55,DAGOBERTO NOGUEIRA,pdt,MS,https://dadosabertos.camara.leg.br/api/v2/deputados/141411,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,http://www.camara.leg.br/internet/deputado/bandep/141411.jpg
74467,55,DAMIÃO FELICIANO,pdt,PB,https://dadosabertos.camara.leg.br/api/v2/deputados/74467,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,http://www.camara.leg.br/internet/deputado/bandep/74467.jpg
185500,55,DEOCLIDES MACEDO,pdt,MA,https://dadosabertos.camara.leg.br/api/v2/deputados/185500,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,http://www.camara.leg.br/internet/deputado/bandep/185500.jpg
160666,55,FÉLIX MENDONÇA JÚNIOR,pdt,BA,https://dadosabertos.camara.leg.br/api/v2/deputados/160666,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,http://www.camara.leg.br/internet/deputado/bandep/160666.jpg
