id_dep,nome,voto
73584,Antonio Carlos Mendes Thame,sim
160552,Danrlei de Deus Hinterholz,sim
178964,Heitor Schuch,sim
73482,Henrique Fontana,sim
178965,Joao Derly,sim
160565,Mara Gabrilli,sim
160641,Professora Marcivania,sim
160602,Arnaldo Jordy,sim
134812,Edmilson Rodrigues,sim
178910,Joaquim Passarinho,sim
178928,Christiane de Souza Yared,sim
160646,Delegado Francischini,sim
178929,Diego Garcia,sim
195278,Moises Diniz,sim
178986,Nilto Tatto,sim
178987,Orlando Silva,sim
160673,Giovani Cherini,não votou
178961,Sheridan,não votou
178852,Marcos Reategui,não votou
178931,Luciano Ducci,não votou
73463,Osmar Serraglio,não votou
73786,Reinhold Stephanes,não votou
164359,Delegado Waldir,não votou
178870,Roney Nemer,não votou
137070,Vicentinho Junior,não votou
74270,Gilberto Nascimento,não votou
74216,Raimundo Gomes de Matos,não votou
178833,Alexandre Serfiotis,não votou
196357,Dejorge Patricio,não votou
74460,Marcelo Castro,não votou
74655,Eduardo Barbosa,não votou
178861,Ronaldo Carletto,não votou
160636,Wilson Filho,não votou
178917,Joao Fernando Coutinho,não votou
178844,Pedro Vilela,não votou
160545,Alexandre Leite,abstenção
178897,Rodrigo Pacheco,abstenção
180545,Osmar Bertoldi,não
178995,Roberto Goes,não
74050,Mauricio Quintella Lessa,não
178843,Marx Beltrao,não
178841,Cicero Almeida,não
160541,Arthur Lira,não
171623,Fabio Reis,não
160543,Andre Moura,não
178923,Zeca Cavalcanti,não
5830733,Sebastião Oliveira,não
178920,Ricardo Teobaldo,não
74428,Mendonca Filho,não
178919,Marinaldo Rosendo,não
74478,Luciano Bivar,não
160572,Jorge Corte Real,não
92699,Fernando Monteiro,não
141431,Fernando Coelho Filho,não
141421,Eduardo da Fonte,não
141394,Bruno Araujo,não
160665,Augusto Coutinho,não
178914,Adalberto Cavalcanti,não
141536,Romulo Gouveia,não
160674,Hugo Motta,não
141422,Efraim Filho,não
74040,Benjamin Maranhao,não
195143,Andre Amaral,não
160527,Aguinaldo Ribeiro,não
141529,Roberto Britto,não
178860,Paulo Azi,não
193982,Pastor Luciano Braga,não
178858,Mario Negromonte Jr.,não
150418,Marcio Marinho,não
94931,Lucio Vieira Lima,não
74554,Jose Rocha,não
74140,Jose Carlos Araujo,não
74553,Jose Carlos Aleluia,não
141458,Joao Carlos Bacelar,não
99654,Erivelton Santana,não
178854,Elmar Nascimento,não
74537,Claudio Cajado,não
93083,Caca Leao,não
74535,Benito Gama,não
160600,Arthur Oliveira Maia,não
160530,Antonio Imbassahy,não
160632,Ze Silva,não
160611,Toninho Pinheiro,não
178898,Tenente Lucio,não
74762,Saraiva Felipe,não
141531,Rodrigo de Castro,não
160654,Renzo Braz,não
171620,Renato Andrade,não
178998,Raquel Muniz,não
141516,Paulo Abi-Ackel,não
178896,Newton Cardoso Jr,não
178895,Misael Varella,não
74749,Mauro Lopes,não
159238,Marcus Pestana,não
141500,Marcos Montes,não
146788,Marcelo Aro,não
141487,Luiz Fernando Faria,não
160510,Luis Tibe,não
141482,Leonardo Quintao,não
74665,Jaime Martins,não
186775,Franklin Lima,não
141427,Fabio Ramalho,não
160758,Domingos Savio,não
160599,Dimas Fabiano,não
160588,Diego Andrade,não
178893,Delegado Edson Moreira,não
178892,Damina Pereira,não
74651,Carlos Melles,não
178891,Caio Narcio,não
178999,Brunny,não
141513,Bilac Pinto,não
141372,Aelton Freitas,não
133374,Ademir Camilo,não
178952,Walter Alves,não
141535,Rogerio Marinho,não
141429,Felipe Maia,não
141428,Fabio Faria,não
178948,Beto Rosado,não
74319,Paes Landim,não
151965,Maia Filho,não
74317,Julio Cesar,não
67138,Iracema Portella,não
97707,Heraclito Fortes,não
74459,Atila Lira,não
74235,Marcus Vicente,não
141562,Lelo Coimbra,não
191945,Ze Augusto Nalin,não
160631,Walney Rocha,não
178946,Soraya Santos,não
73424,Simao Sessim,não
178945,Rosangela Gomes,não
178944,Roberto Sales,não
122158,Pedro Paulo,não
74017,Paulo Feijo,não
178943,Marcos Soares,não
178942,Marco Antonio Cabral,não
195826,Marcelo Delaroli,não
74254,Leonardo Picciani,não
74253,Julio Lopes,não
160677,Francisco Floriano,não
178941,Ezequiel Teixeira,não
93472,Cristiane Brasil,não
73568,Celso Jacob,não
160512,Aureo,não
178937,Altineu Cortes,não
178936,Alexandre Valle,não
195866,Vaidon Oliveira,não
141517,Paulo Henrique Lustosa,não
178997,Moses Rodrigues,não
178867,Macedo,não
129618,Gorete Pereira,não
160669,Genecias Noronha,não
143632,Domingos Neto,não
74212,Anibal Gomes,não
178888,Victor Mendes,não
74210,Sarney Filho,não
74449,Pedro Fernandes,não
178886,Juscelino Filho,não
178885,Junior Marreca,não
73714,Jose Reinaldo,não
112437,Joao Marcelo Souza,não
178884,Hildo Rocha,não
141408,Cleber Verde,não
178882,Andre Fufuca,não
178881,Aluisio Mendes,não
141560,Walter Ihoshi,não
141555,Vinicius Carvalho,não
160653,Roberto de Lucena,não
152610,Roberto Alves,não
160655,Ricardo Izar,não
141518,Paulo Pereira da Silva,não
132056,Paulo Maluf,não
160558,Paulo Freire,não
160561,Missionario Jose Olimpio,não
74787,Milton Monti,não
178985,Miguel Lombardi,não
178983,Marcio Alvino,não
118594,Marcelo Squassoni,não
160660,Marcelo Aguiar,não
73535,Jorge Tadeu Mudalen,não
178981,Herculano Passos,não
160667,Guilherme Mussi,não
178980,Goulart,não
66828,Fausto Pinato,não
178828,Evandro Gussi,não
160532,Eli Correa Filho,não
178830,Dr. Sinval Malheiros,não
73441,Celso Russomanno,não
160589,Bruna Furlan,não
73437,Beto Mansur,não
178975,Baleia Rossi,não
141383,Antonio Bulhoes,não
5830923,Rogerio Silva,não
148134,Professor Victorio Galli,não
166401,Nilson Leitao,não
178905,Fabio Garcia,não
178904,Ezequiel Fonseca,não
141401,Carlos Bezerra,não
178903,Adilton Sachetti,não
160639,Professora Dorinha Seabra Rezende,não
141480,Lazaro Botelho,não
114941,Josi Nunes,não
178994,Dulce Miranda,não
178993,Carlos Henrique Gaguim,não
178839,Jessica Sales,não
141434,Flaviano Melo,não
160637,Ronaldo Fonseca,não
160426,Rogerio Rosso,não
141478,Laerte Bessa,não
4931,Izalci Lucas,não
73579,Alberto Fraga,não
160617,Thiago Peixoto,não
73674,Roberto Balestra,não
74812,Pedro Chaves,não
166402,Magda Mofatto,não
178879,Lucas Vergilio,não
73666,Jovair Arantes,não
160596,Heuler Cruvinel,não
178878,Giuseppe Vecci,não
144523,Daniel Vilela,não
178876,Celio Silveira,não
178875,Alexandre Baldy,não
74359,Nilton Capixaba,não
74177,Marinha Raupp,não
178955,Luiz Claudio,não
178954,Lucio Mosquini,não
141483,Lindomar Garcon,não
74356,Silas Camara,não
141522,Sabino Castelo Branco,não
74095,Pauderney Avelino,não
74090,Atila Lins,não
178847,Arthur Virgilio Bisneto,não
178846,Alfredo Nascimento,não
178901,Tereza Cristina,não
74374,Geraldo Resende,não
181316,Elizeu Dionizio,não
178900,Carlos Marun,não
178934,Toninho Wandscheer,não
74385,Takayama,não
178933,Sergio Souza,não
160566,Nelson Padovani,não
73781,Nelson Meurer,não
162332,Luiz Nishimori,não
73778,Luiz Carlos Hauly,não
160573,Joao Arruda,não
74383,Giacobo,não
178930,Evandro Roman,não
160578,Edmar Arruda,não
73768,Dilceu Sperafico,não
141454,Alfredo Kaefer,não
73458,Alex Canziani,não
73930,Wladimir Costa,não
178911,Simone Morgado,não
74352,Nilson Pinto,não
141484,Lucio Vale,não
67312,Julia Marinho,não
74351,Josue Bengtson,não
74079,Jose Priante,não
178907,Francisco Chapadinha,não
178908,Delegado Eder Mauro,não
160591,Vinicius Gurgel,não
178851,Jozi  Araujo,não
105112,Cabucu Borges,não
