id_dep,deputado,partido,uf,voto
178930,Evandro Roman,psd,PR,sim
178953,Expedito Netto,solidaried,RO,sim
178941,Ezequiel Teixeira,solidaried,RJ,sim
141428,Fábio Faria,psd,RN,sim
178905,Fabio Garcia,psb,MT,sim
178969,Fábio Mitidieri,psd,SE,não
141427,Fábio Ramalho,pv,MG,sim
171623,Fabio Reis,pmdb,SE,sim
178877,Fábio Sousa,psdb,GO,sim
66828,Fausto Pinato,prb,SP,sim
141430,Felipe Bornier,psd,RJ,sim
141429,Felipe Maia,dem,RN,sim
141431,Fernando Coelho Filho,psb,PE,sim
160646,Fernando Francischini,solidaried,PR,sim
163831,Fernando Jordão,pmdb,RJ,sim
160676,Fernando Torres,psd,BA,não
160598,Flávia Morais,pdt,GO,sim
141434,Flaviano Melo,pmdb,AC,sim
178978,Flavinho,psb,SP,sim
178907,Francisco Chapadinha,psd,PA,sim
160677,Francisco Floriano,pr,RJ,sim
129037,Gabriel Guimarães,pt,MG,não
160669,Genecias Noronha,solidaried,CE,sim
178966,Geovania de Sá,psdb,SC,sim
74374,Geraldo Resende,pmdb,MS,sim
74383,Giacobo,pr,PR,sim
74270,Gilberto Nascimento,psc,SP,sim
160673,Giovani Cherini,pdt,RS,sim
178878,Giuseppe Vecci,psdb,GO,sim
74558,Givaldo Carimbão,pros,AL,não
178872,Givaldo Vieira,pt,ES,não
152605,Glauber Braga,psol,RJ,não
74419,Gonzaga Patriota,psb,PE,sim
129618,Gorete Pereira,pr,CE,abstenção
178980,Goulart,psd,SP,sim
160667,Guilherme Mussi,pp,SP,sim
178964,Heitor Schuch,psb,RS,sim
178873,Helder Salomão,pt,ES,não
178909,Hélio Leite,dem,PA,sim
73482,Henrique Fontana,pt,RS,não
97707,Heráclito Fortes,psb,PI,sim
178981,Herculano Passos,psd,SP,sim
73772,Hermes Parcianello,pmdb,PR,sim
160596,Heuler Cruvinel,psd,GO,sim
178884,Hildo Rocha,pmdb,MA,sim
178849,Hissa Abrahão,pps,AM,sim
141450,Hugo Leal,pros,RJ,sim
160674,Hugo Motta,pmdb,PB,sim
141389,Indio da Costa,psd,RJ,sim
67138,Iracema Portella,pp,PI,sim
81232,Irajá Abreu,psd,TO,não
178855,Irmão Lazaro,psc,BA,sim
73531,Ivan Valente,psol,SP,não
4931,Izalci,psdb,DF,sim
74665,Jaime Martins,psd,MG,sim
74847,Jair Bolsonaro,pp,RJ,sim
74848,Jandira Feghali,pcdob,RJ,não
73926,Janete Capiberibe,psb,AP,não
131943,Jarbas Vasconcelos,pmdb,PE,sim
160672,Jean Wyllys,psol,RJ,não
74273,Jefferson Campos,psd,SP,sim
160570,Jerônimo Goergen,pp,RS,sim
178839,Jéssica Sales,pmdb,AC,sim
178842,JHC,psb,AL,sim
160531,Jhonatan de Jesus,prb,RR,sim
160573,João Arruda,pmdb,PR,sim
74366,João Campos,psdb,GO,sim
141458,João Carlos Bacelar,pr,BA,não
74445,João Castelo,psdb,MA,sim
178970,João Daniel,pt,SE,não
178965,João Derly,rede,RS,sim
178917,João Fernando Coutinho,psb,PE,sim
178856,João Gualberto,psdb,BA,sim
112437,João Marcelo Souza,pmdb,MA,não
178988,João Paulo Papa,psdb,SP,sim
160571,João Rodrigues,psd,SC,sim
178910,Joaquim Passarinho,psd,PA,sim
141503,Jô Moraes,pcdob,MG,não
178971,Jony Marcos,prb,SE,sim
74388,Jorge Boeira,pp,SC,sim
160572,Jorge Côrte Real,ptb,PE,sim
178857,Jorge Solla,pt,BA,não
73535,Jorge Tadeu Mudalen,dem,SP,sim
160509,Jorginho Mello,pr,SC,sim
141464,José Airton Cirilo,pt,CE,não
74553,José Carlos Aleluia,dem,BA,sim
74140,José Carlos Araújo,psd,BA,não
141470,José Guimarães,pt,CE,não
74275,José Mentor,pt,SP,não
160619,José Nunes,psd,BA,não
74395,José Otávio Germano,pp,RS,sim
74079,José Priante,pmdb,PA,sim
73714,José Reinaldo,psb,MA,sim
74554,José Rocha,pr,BA,não
160607,Jose Stédile,psb,RS,sim
114941,Josi Nunes,pmdb,TO,sim
74351,Josué Bengtson,ptb,PA,sim
73666,Jovair Arantes,ptb,GO,sim
178851,Jozi Araújo,ptb,AP,não
67312,Júlia Marinho,psc,PA,sim
74317,Júlio Cesar,psd,PI,sim
73586,Júlio Delgado,psb,MG,sim
74253,Julio Lopes,pp,RJ,sim
178885,Junior Marreca,pen,MA,não
178886,Juscelino Filho,prp,MA,sim
74570,Jutahy Junior,psdb,BA,sim
160659,Keiko Ota,psb,SP,sim
151208,Laercio Oliveira,solidaried,SE,sim
141478,Laerte Bessa,pr,DF,sim
178894,Laudivio Carvalho,pmdb,MG,sim
141480,Lázaro Botelho,pp,TO,sim
178832,Leandre,pv,PR,sim
141562,Lelo Coimbra,pmdb,ES,sim
178825,Leo de Brito,pt,AC,não
74156,Leonardo Monteiro,pt,MG,não
74254,Leonardo Picciani,pmdb,RJ,não
141482,Leonardo Quintão,pmdb,MG,sim
74299,Leônidas Cristino,pros,CE,não
160663,Leopoldo Meyer,psb,PR,sim
74585,Lincoln Portela,pr,MG,sim
178879,Lucas Vergilio,solidaried,GO,sim
160628,Luciana Santos,pcdob,PE,não
178931,Luciano Ducci,psb,PR,sim
178954,Lucio Mosquini,pmdb,RO,sim
141484,Lúcio Vale,pr,PA,não
94931,Lucio Vieira Lima,pmdb,BA,sim
73483,Luis Carlos Heinze,pp,RS,sim
160510,Luis Tibé,ptdob,MG,sim
74784,Luiza Erundina,psb,SP,não
141485,Luiz Carlos Busato,ptb,RS,sim
73778,Luiz Carlos Hauly,psdb,PR,sim
178802,Luiz Carlos Ramos,psdc,RJ,sim
178955,Luiz Cláudio,pr,RO,sim
74041,Luiz Couto,pt,PB,não
141487,Luiz Fernando Faria,pp,MG,sim
178866,Luizianne Lins,pt,CE,não
178982,Luiz Lauro Filho,psb,SP,sim
162332,Luiz Nishimori,pr,PR,sim
74688,Luiz Sérgio,pt,RJ,não
178867,Macedo,psl,CE,não
166402,Magda Mofatto,pr,GO,sim
178826,Major Olimpio,pdt,SP,sim
160633,Mandetta,dem,MS,sim
141490,Manoel Junior,pmdb,PB,sim
160565,Mara Gabrilli,psdb,SP,sim
179000,Marcelo Álvaro Antônio,prp,MG,sim
146788,Marcelo Aro,phs,MG,sim
178932,Marcelo Belinati,pp,PR,sim
74460,Marcelo Castro,pmdb,PI,não
76287,Marcelo Matos,pdt,RJ,sim
118594,Marcelo Squassoni,prb,SP,sim
178983,Marcio Alvino,pr,SP,sim
150418,Márcio Marinho,prb,BA,sim
133373,Marco Maia,pt,RS,não
160535,Marcon,pt,RS,não
178880,Marcos Abrão,pps,GO,sim
141500,Marcos Montes,psd,MG,sim
178852,Marcos Reategui,psc,AP,sim
167722,Marcos Rogério,pdt,RO,sim
178850,Marcos Rotta,pmdb,AM,sim
178943,Marcos Soares,pr,RJ,sim
160536,Marco Tebaldi,psdb,SC,sim
159238,Marcus Pestana,psdb,MG,sim
74235,Marcus Vicente,pp,ES,sim
171619,Margarida Salomão,pt,MG,não
74398,Maria do Rosário,pt,RS,não
64960,Maria Helena,psb,RR,sim
178956,Mariana Carvalho,psdb,RO,sim
178919,Marinaldo Rosendo,psb,PE,sim
74177,Marinha Raupp,pmdb,RO,sim
74158,Mário Heringer,pdt,MG,sim
178843,Marx Beltrão,pmdb,AL,sim
74050,Maurício Quintella Lessa,pr,AL,sim
74749,Mauro Lopes,pmdb,MG,sim
141507,Mauro Mariani,pmdb,SC,sim
124411,Mauro Pereira,pmdb,RS,sim
178827,Max Filho,psdb,ES,sim
178984,Miguel Haddad,psdb,SP,sim
178985,Miguel Lombardi,pr,SP,sim
74787,Milton Monti,pr,SP,sim
74862,Miro Teixeira,rede,RJ,sim
178895,Misael Varella,dem,MG,sim
160561,Missionário José Olimpio,pp,SP,sim
178859,Moema Gramacho,pt,BA,não
