nome,voto,id_dep
Miguel Lombardi,sim,178985
Milton Monti,sim,74787
Missionário José Olimpio,sim,160561
Nelson Marquezelli,sim,73553
Nilto Tatto,não,178986
Orlando Silva,não,178987
Paulo Maluf,sim,132056
Paulo Pereira da Silva,sim,141518
Paulo Teixeira,não,141488
Pollyana Gama,não,195997
Pr. Marco Feliciano,sim,160601
Renata Abreu,não,178989
Ricardo Izar,sim,160655
Ricardo Tripoli,não,141472
Roberto Alves,sim,152610
Roberto de Lucena,sim,160653
Roberto Freire,não,73805
Sérgio Reis,não,178991
Silvio Torres,não,73560
Tiririca,não,160976
Valmir Prascidelli,não,113247
Vanderlei Macris,não,141553
Vicente Candido,não,160622
Vicentinho,não,74283
Vinicius Carvalho,sim,141555
Vitor Lippi,não,178992
Walter Ihoshi,sim,141560
Aluisio Mendes,sim,178881
André Fufuca,sim,178882
Cleber Verde,sim,141408
Eliziane Gama,não,178883
Hildo Rocha,sim,178884
João Marcelo Souza,sim,112437
José Reinaldo,sim,73714
Julião Amin,não,141474
Junior Marreca,sim,178885
Juscelino Filho,sim,178886
Pedro Fernandes,sim,74449
Rubens Pereira Júnior,não,178887
Sarney Filho,sim,74210
Victor Mendes,sim,178888
Waldir Maranhão,não,141558
Weverton Rocha,não,167493
Zé Carlos,não,178889
André Figueiredo,não,133439
Aníbal Gomes,sim,74212
Ariosto Holanda,não,74103
Cabo Sabino,não,178865
Chico Lopes,não,141440
Danilo Forte,sim,62881
Domingos Neto,sim,143632
Genecias Noronha,sim,160669
Gorete Pereira,sim,129618
José Airton Cirilo,não,141464
José Guimarães,não,141470
Leônidas Cristino,não,74299
Luizianne Lins,não,178866
Macedo,sim,178867
Moses Rodrigues,sim,178997
Odorico Monteiro,não,178868
Raimundo Gomes de Matos,sim,74216
Ronaldo Martins,sim,122466
Vaidon Oliveira,sim,195866
Vicente Arruda,não,74308
Vitor Valim,não,178869
Alessandro Molon,não,160511
Alexandre Serfiotis,sim,178833
Alexandre Valle,sim,178936
Altineu Côrtes,sim,178937
Arolde de Oliveira,não,74833
Aureo,sim,160512
Benedita da Silva,não,73701
Cabo Daciolo,não,178938
Celso Jacob,sim,73568
Celso Pansera,não,72912
Chico Alencar,não,74171
Chico D´Angelo,não,141439
Cristiane Brasil,sim,93472
Dejorge Patrício,sim,196357
Deley,não,74172
Felipe Bornier,não,141430
Francisco Floriano,sim,160677
Glauber Braga,não,152605
Hugo Leal,não,141450
Jair Bolsonaro,não,74847
Jandira Feghali,não,74848
Jean Wyllys,não,160672
Julio Lopes,sim,74253
Laura Carneiro,não,74856
Leonardo Picciani,sim,74254
Luiz Carlos Ramos,não,178802
Luiz Sérgio,não,74688
Marcelo Delaroli,sim,195826
Marcelo Matos,não,76287
Marco Antônio Cabral,sim,178942
Miro Teixeira,não,74862
Otavio Leite,não,141515
Paulo Feijó,sim,74017
Pedro Paulo,sim,122158
Roberto Sales,sim,178944
Rosangela Gomes,sim,178945
Sergio Zveiter,não,160612
Simão Sessim,sim,73424
Soraya Santos,sim,178946
Sóstenes Cavalcante,não,178947
Wadih Damous,não,189593
Walney Rocha,sim,160631
Zé Augusto Nalin,sim,191945
Carlos Manato,não,74163
Dr. Jorge Silva,não,160643
Evair Vieira de Melo,não,178871
Givaldo Vieira,não,178872
Helder Salomão,não,178873
Lelo Coimbra,sim,141562
Marcus Vicente,sim,74235
Norma Ayub,não,66179
Paulo Foletto,não,160517
Sergio Vidigal,não,178874
Assis Carvalho,não,159237
Átila Lira,sim,74459
Capitão Fábio Abreu,não,178924
Heráclito Fortes,sim,97707
Iracema Portella,sim,67138
Júlio Cesar,sim,74317
Paes Landim,sim,74319
Rodrigo Martins,não,178926
Silas Freire,não,187008
Antônio Jácome,não,178950
Beto Rosado,sim,178948
Fábio Faria,sim,141428
Felipe Maia,sim,141429
Rafael Motta,não,178951
Rogério Marinho,sim,141535
Walter Alves,sim,178952
Zenaide Maia,não,178949
Adelmo Carneiro Leão,não,178890
Ademir Camilo,sim,133374
Aelton Freitas,sim,141372
Bilac Pinto,sim,141513
Bonifácio de Andrada,sim,74650
Brunny,sim,178999
Caio Narcio,sim,178891
Carlos Melles,sim,74651
Dâmina Pereira,sim,178892
Delegado Edson Moreira,sim,178893
Diego Andrade,sim,160588
Dimas Fabiano,sim,160599
Domingos Sávio,sim,160758
Eduardo Barbosa,não,74655
Eros Biondini,não,160640
Fábio Ramalho,sim,141427
Franklin Lima,sim,186775
Gabriel Guimarães,não,129037
George Hilton,não,141441
Jaime Martins,não,74665
Jô Moraes,não,141503
Júlio Delgado,não,73586
Laudivio Carvalho,não,178894
Leonardo Monteiro,não,74156
Leonardo Quintão,sim,141482
Lincoln Portela,não,74585
Luis Tibé,sim,160510
Luiz Fernando Faria,sim,141487
Marcelo Álvaro Antônio,não,179000
Marcelo Aro,sim,146788
Marcos Montes,sim,141500
Marcus Pestana,sim,159238
Margarida Salomão,não,171619
Mauro Lopes,sim,74749
Misael Varella,sim,178895
Newton Cardoso Jr,sim,178896
Padre João,não,160556
Patrus Ananias,não,74160
Paulo Abi-Ackel,sim,141516
Raquel Muniz,sim,178998
Reginaldo Lopes,não,74161
Renato Andrade,sim,171620
Renzo Braz,sim,160654
Rodrigo de Castro,sim,141531
Rodrigo Pacheco,abstenção,178897
Saraiva Felipe,sim,74762
Stefano Aguiar,não,92776
Subtenente Gonzaga,não,177282
Tenente Lúcio,sim,178898
Toninho Pinheiro,sim,160611
Weliton Prado,não,160518
Zé Silva,sim,160632
Afonso Florence,não,160508
Alice Portugal,não,74057
Antonio Brito,não,160553
Antonio Imbassahy,sim,160530
Arthur Oliveira Maia,sim,160600
Bacelar,não,69871
Bebeto,não,178834
Benito Gama,sim,74535
Cacá Leão,sim,93083
Caetano,não,178853
Claudio Cajado,sim,74537
Daniel Almeida,não,74060
Davidson Magalhães,não,101309
Elmar Nascimento,sim,178854
Félix Mendonça Júnior,não,160666
Fernando Torres,não,160676
Irmão Lazaro,não,178855
João Carlos Bacelar,sim,141458
João Gualberto,não,178856
Jorge Solla,não,178857
José Carlos Aleluia,sim,74553
José Nunes,não,160619
José Rocha,sim,74554
Jutahy Junior,não,74570
Lucio Vieira Lima,sim,94931
Mário Negromonte Jr.,sim,178858
Nelson Pellegrino,não,74571
Paulo Azi,sim,178860
Paulo Magalhães,não,74574
Roberto Britto,sim,141529
Ronaldo Carletto,sim,178861
Sérgio Brito,não,73808
Uldurico Junior,não,178863
Valmir Assunção,não,160610
Waldenor Pereira,não,160569
Aguinaldo Ribeiro,sim,160527
André Amaral,sim,195143
Benjamin Maranhão,sim,74040
Damião Feliciano,não,74467
Efraim Filho,sim,141422
Hugo Motta,sim,160674
Luiz Couto,não,74041
Pedro Cunha Lima,não,178912
Rômulo Gouveia,sim,141536
Veneziano Vital do Rêgo,não,178913
Wellington Roberto,não,74043
Wilson Filho,sim,160636
André de Paula,não,74471
Augusto Coutinho,sim,160665
Betinho Gomes,não,178915
Bruno Araújo,sim,141394
Daniel Coelho,não,178916
Danilo Cabral,não,160528
Eduardo da Fonte,sim,141421
Fernando Coelho Filho,sim,141431
Fernando Monteiro,sim,92699
Gonzaga Patriota,não,74419
Jarbas Vasconcelos,não,131943
Jorge Côrte Real,sim,160572
Luciana Santos,não,160628
Luciano Bivar,sim,74478
Marinaldo Rosendo,sim,178919
Mendonça Filho,sim,74428
Pastor Eurico,não,160642
Sebastião Oliveira,sim,178921
Silvio Costa,não,4930
Tadeu Alencar,não,178922
Wolney Queiroz,não,74439
Zeca Cavalcanti,sim,178923
Adelson Barreto,não,178968
Andre Moura,sim,160543
Fábio Mitidieri,não,178969
João Daniel,não,178970
Jony Marcos,não,178971
Valadares Filho,não,141384
Arthur Lira,sim,160541
Cícero Almeida,não,178841
Givaldo Carimbão,não,74558
JHC,não,178842
Marx Beltrão,sim,178843
Maurício Quintella Lessa,sim,74050
Paulão,não,171617
Pedro Vilela,não,178844
Ronaldo Lessa,não,178845
