"Dim_1","Dim_2","novo_nome","destaque_partido"
-0.0901732189111059,-0.296389553152437,"Beto Mansur-prb/SP","outros"
0.0094068890480236,-0.194733452461003,"Beto Rosado-pp/RN","outros"
-0.326783760848064,0.0397759361347538,"Beto Salame-pros/PA","outros"
-0.228776005756691,-0.285414862232891,"Bilac Pinto-pr/MG","outros"
-0.678247555875174,0.370406006910668,"Bohn Gass-pt/RS","pt"
0.33985676546043,-0.119903312509662,"Bonifácio de Andrada-psdb/MG","psdb"
0.512320939002315,-0.0215544226870669,"Bruna Furlan-psdb/SP","psdb"
-0.319605373018507,-0.0457168000342577,"Brunny-ptc/MG","outros"
0.594810771318612,-0.0147530318669878,"Bruno Araújo-psdb/PE","psdb"
0.596494093666824,0.0829678817664936,"Bruno Covas-psdb/SP","psdb"
0.117590754901791,0.725737689748822,"Cabo Daciolo-s.part./RJ","outros"
-0.100290194141774,-0.0435699868862872,"Cabo Sabino-pr/CE","outros"
-0.0817620463325956,-0.381198624961951,"Cabuçu Borges-pmdb/AP","pmdb"
-0.20813924064422,-0.401150131200901,"Cacá Leão-pp/BA","outros"
-0.570716437408953,0.258209294677091,"Caetano-pt/BA","pt"
0.617154678180539,0.0160757517899931,"Caio Narcio-psdb/MG","psdb"
-0.275700583285679,-0.223539063006702,"Capitão Augusto-pr/SP","outros"
-0.00687617238973605,-0.27978195527547,"Carlos Andrade-phs/RR","outros"
-0.274410918771481,-0.207651187230318,"Carlos Bezerra-pmdb/MT","pmdb"
-0.531205108164976,0.395214948209818,"Carlos Eduardo Cadoca-pcdob/PE","outros"
-5.00246947916558e-05,-0.00245975067001532,"Carlos Eduardo Cadoca-psc/PE","outros"
-0.252248199271434,-0.279880324893397,"Carlos Gomes-prb/RS","outros"
-0.189062968699369,-0.448455851024749,"Carlos Henrique Gaguim-pmdb/TO","pmdb"
0.656040830580929,-0.0283644304529798,"Carlos Manato-solidaried/ES","outros"
-0.10628840644693,-0.35218988045209,"Carlos Marun-pmdb/MS","pmdb"
0.479235351109596,-0.068118154837909,"Carlos Melles-dem/MG","outros"
0.236558675803681,0.0102259666214065,"Carlos Sampaio-psdb/SP","psdb"
-0.632033423393062,0.213112089324521,"Carlos Zarattini-pt/SP","pt"
0.585724802938595,0.518673831667224,"Carmen Zanotto-pps/SC","outros"
0.711498289434085,0.0206278303149566,"Célio Silveira-psdb/GO","psdb"
-0.214603789746296,-0.438280983222534,"Celso Jacob-pmdb/RJ","pmdb"
