"Dim.1","Dim.2","nome","partido","uf","id_dep","destaque_partido"
-0.391357413544347,-0.00505086740280383,"Brunny","pr","MG","178999","outros"
0.525747470643209,-0.081726516953258,"Bruno Araújo","psdb","PE","141394","outros"
0.651477804710914,0.0322129149905517,"Bruno Covas","psdb","SP","178976","outros"
0.266324487621439,0.77698441747255,"Cabo Daciolo","ptdob","RJ","178938","outros"
-0.0436952713926645,-0.0664602240961502,"Cabo Sabino","pr","CE","178865","outros"
-0.219952331179622,-0.377861874796968,"Cabuçu Borges","pmdb","AP","105112","pmdb"
-0.267258375720953,-0.384676744208838,"Cacá Leão","pp","BA"," 93083","outros"
-0.567325764785348,0.324264535392893,"Caetano","pt","BA","178853","pt"
0.631457214301161,0.00746625678593051,"Caio Narcio","psdb","MG","178891","outros"
-0.382113578931079,-0.322113474865839,"Capitão Augusto","pr","SP","178829","outros"
-0.120401686195027,-0.327078946580612,"Carlos Andrade","phs","RR","178958","outros"
-0.26385005736127,-0.0799599231294946,"Carlos Bezerra","pmdb","MT","141401","pmdb"
-0.551843766303426,0.364795503824654,"Carlos Eduardo Cadoca","pcdob","PE"," 74474","outros"
-0.3637730839895,-0.246062946355356,"Carlos Gomes","prb","RS","178962","outros"
-0.300852412724708,-0.412760909002376,"Carlos Henrique Gaguim","ptn","TO","178993","outros"
0.786934284784115,-0.0712574517510139,"Carlos Manato","solidaried","ES"," 74163","outros"
-0.153013841589216,-0.346188306033541,"Carlos Marun","pmdb","MS","178900","pmdb"
0.353261475363468,-0.176989000207603,"Carlos Melles","dem","MG"," 74651","outros"
0.241907113457872,-0.0208275366964138,"Carlos Sampaio","psdb","SP"," 74262","outros"
-0.59624390914321,0.298374422817371,"Carlos Zarattini","pt","SP","141398","pt"
0.70241171858041,0.403138607693309,"Carmen Zanotto","pps","SC","164360","outros"
0.77152809291189,-0.0516613862525327,"Célio Silveira","psdb","GO","178876","outros"
-0.313081688135491,-0.400238896012526,"Celso Jacob","pmdb","RJ"," 73568","pmdb"
-0.316821469619315,-0.207376481787254,"Celso Maldaner","pmdb","SC","141405","pmdb"
-0.203590632461632,-0.191167089953074,"Celso Pansera","pmdb","RJ"," 72912","pmdb"
-0.300986397927045,-0.150988994345647,"Celso Russomanno","prb","SP"," 73441","outros"
-0.210118204192471,-0.243174071425452,"César Halum","prb","TO","160576","outros"
0.333735702220276,0.217548857949015,"César Messias","psb","AC","178838","outros"
