"Dim.1","Dim.2","nome","partido","uf","id_dep","destaque_partido"
-0.2861002673613,-0.0239021176884351,"Brunny","pr","MG","178999","outros"
0.513372116856195,-0.093784671151067,"Bruno Araújo","psdb","PE","141394","outros"
0.638201552327569,0.0829610525658697,"Bruno Covas","psdb","SP","178976","outros"
0.276876310519187,0.668057746687716,"Cabo Daciolo","ptdob","RJ","178938","outros"
-0.0600113887635961,-0.0472208866611366,"Cabo Sabino","pr","CE","178865","outros"
-0.204202321126638,-0.331738499871006,"Cabuçu Borges","pmdb","AP","105112","pmdb"
-0.219588767116721,-0.340990498980176,"Cacá Leão","pp","BA"," 93083","outros"
-0.559135905361413,0.28802824537916,"Caetano","pt","BA","178853","pt"
0.630002616097803,-0.0124381423847135,"Caio Narcio","psdb","MG","178891","outros"
-0.330772356452923,-0.210208765029445,"Capitão Augusto","pr","SP","178829","outros"
-0.0880017872698987,-0.248990073313465,"Carlos Andrade","phs","RR","178958","outros"
-0.26207780369927,-0.151358006325457,"Carlos Bezerra","pmdb","MT","141401","pmdb"
-0.505811319178782,0.36170629253957,"Carlos Eduardo Cadoca","pcdob","PE"," 74474","outros"
-0.250714955179691,-0.250541760515708,"Carlos Gomes","prb","RS","178962","outros"
-0.27873917776046,-0.407701821927476,"Carlos Henrique Gaguim","ptn","TO","178993","outros"
0.70220315548659,-0.0664728612305741,"Carlos Manato","solidaried","ES"," 74163","outros"
-0.129326752964565,-0.314402749752181,"Carlos Marun","pmdb","MS","178900","pmdb"
0.394264867216505,-0.142852953461839,"Carlos Melles","dem","MG"," 74651","outros"
0.2473581384406,-0.00731578596491461,"Carlos Sampaio","psdb","SP"," 74262","outros"
-0.587106674399116,0.235119050780675,"Carlos Zarattini","pt","SP","141398","pt"
0.63778850937608,0.417288936888235,"Carmen Zanotto","pps","SC","164360","outros"
0.717968171947758,-0.0402884405760544,"Célio Silveira","psdb","GO","178876","outros"
