"Dim.1";"Dim.2";"nome";"partido";"uf"
-0,0917084310833979;-0,0282960903271631;"Cabo Sabino";"pr";"CE"
-0,127990411959351;-0,377420964406687;"Cabuçu Borges";"pmdb";"AP"
-0,202680957399899;-0,379032867837939;"Cacá Leão";"pp";"BA"
-0,575081247109654;0,260260189472893;"Caetano";"pt";"BA"
0,626209877205576;0,00501277808448423;"Caio Narcio";"psdb";"MG"
-0,306525224607204;-0,215381817629154;"Capitão Augusto";"pr";"SP"
0,00669777684963578;-0,263323833963156;"Carlos Andrade";"phs";"RR"
-0,293113394581763;-0,195283883775975;"Carlos Bezerra";"pmdb";"MT"
-0,531223857894585;0,392865313145575;"Carlos Eduardo Cadoca";"pcdob";"PE"
-0,000106939837952041;-0,00238680557299903;"Carlos Eduardo Cadoca";"psc";"PE"
-0,219498112890943;-0,252065100261641;"Carlos Gomes";"prb";"RS"
-0,206602062814946;-0,442907322537316;"Carlos Henrique Gaguim";"pmdb";"TO"
0,652877148790347;-0,0465192874129568;"Carlos Manato";"solidaried";"ES"
-0,107585025848973;-0,336524840802435;"Carlos Marun";"pmdb";"MS"
0,480069130739091;-0,0756526345097936;"Carlos Melles";"dem";"MG"
0,22956576344561;0,000559584290691447;"Carlos Sampaio";"psdb";"SP"
-0,622717804445262;0,214445269554204;"Carlos Zarattini";"pt";"SP"
0,613062960127356;0,49413002302138;"Carmen Zanotto";"pps";"SC"
0,712152231261012;-0,000350945874410078;"Célio Silveira";"psdb";"GO"
-0,25382121344139;-0,427391092370222;"Celso Jacob";"pmdb";"RJ"
-0,193167117605765;-0,259337382752019;"Celso Maldaner";"pmdb";"SC"
-0,140294178604533;-0,178170680183768;"Celso Pansera";"pmdb";"RJ"
-0,246477701678952;-0,156044680778568;"Celso Russomanno";"prb";"SP"
-0,0760364550847713;-0,23375999256303;"César Halum";"prb";"TO"
0,223270396173465;0,151358929458942;"César Messias";"psb";"AC"
-0,0616482384977793;-0,111836683225675;"Cesar Souza";"psd";"SC"
0,0385547101356873;1,02824815932695;"Chico Alencar";"psol";"RJ"
-0,630492518578783;0,302235315615737;"Chico D Angelo";"pt";"RJ"
-0,55272526201997;0,462775365777274;"Chico Lopes";"pcdob";"CE"
-0,11222129024353;0,335276689251319;"Christiane de Souza Yared";"ptn";"PR"
-0,00916933780736754;-0,1322911211543;"Cícero Almeida";"prtb";"AL"
-0,00104496389141547;-0,00186485031738411;"Cícero Almeida";"psd";"AL"
0,139477681106396;0,276584717700763;"Clarissa Garotinho";"pr";"RJ"
0,285323369322159;-0,126669881445797;"Claudio Cajado";"dem";"BA"
-0,292095185896977;-0,10055902891222;"Cleber Verde";"prb";"MA"
-0,0179745767884953;0,0234474746021458;"Conceição Sampaio";"pp";"AM"
0,586990350971685;0,028575613007635;"Covatti Filho";"pp";"RS"
0,387280111204014;-0,0397422425209415;"Cristiane Brasil";"ptb";"RJ"
-0,166692820660127;0,0469062258462509;"Dagoberto";"pdt";"MS"
-0,184335330253066;0,172191599371791;"Damião Feliciano";"pdt";"PB"
0,092665551428081;-0,159845610911616;"Dâmina Pereira";"pmn";"MG"
-0,592261378283604;0,505423809786796;"Daniel Almeida";"pcdob";"BA"
0,741227533715573;0,199704584901109;"Daniel Coelho";"psdb";"PE"
-0,235696437397793;-0,321067008458345;"Daniel Vilela";"pmdb";"GO"
0,141071251638254;-0,160474305901851;"Danilo Forte";"pmdb";"CE"
0,00343591613752365;0,00792879949483279;"Danilo Forte";"psb";"CE"
-0,0427429253916207;-0,229510443857949;"Danrlei de Deus Hinterholz";"psd";"RS"
-0,119846371658697;-0,0861825264913919;"Darcísio Perondi";"pmdb";"RS"
-0,610948729107644;0,535608213637137;"Davidson Magalhães";"pcdob";"BA"
-0,519887780775546;0,26830837751394;"Décio Lima";"pt";"SC"
-0,112211341431747;-0,214320433584076;"Delegado Éder Mauro";"psd";"PA"
-0,285988271394982;-0,236491777923904;"Delegado Edson Moreira";"ptn";"MG"
0,654511807719826;0,00700902010099097;"Delegado Waldir";"psdb";"GO"
0,000250640245200134;0,00559407556171649;"Deley";"psc";"RJ"
0,210995157469727;0,180064356357196;"Deley";"ptb";"RJ"
-0,114260015359938;-0,216958096061508;"Diego Andrade";"psd";"MG"
-0,19752799760938;-0,166734735318433;"Diego Garcia";"phs";"PR"
-0,070039073672458;-0,388978385339319;"Dilceu Sperafico";"pp";"PR"
0,401247512352695;-0,149545091657703;"Dimas Fabiano";"pp";"MG"
-0,252290165097995;-0,150785148782311;"Domingos Neto";"pros";"CE"
0,638899271886025;0,0241453237669812;"Domingos Sávio";"psdb";"MG"
-0,155373073526688;-0,301241637868741;"Dr. João";"pr";"RJ"
-0,000106939837952041;-0,00238680557299903;"Dr. Jorge Silva";"pdt";"ES"
-0,319237491152487;0,0918849485344299;"Dr. Jorge Silva";"pros";"ES"
0,20368485684991;0,17184097457104;"Dr. Sinval Malheiros";"pv";"SP"
-0,13350212418975;-0,264993204155794;"Dulce Miranda";"pmdb";"TO"
-0,0788551742636656;-0,0318710599103238;"Edinho Araújo";"pmdb";"SP"
-0,167107257571828;-0,356218959048595;"Edinho Bez";"pmdb";"SC"
-0,243230117931348;-0,391417898420217;"Edio Lopes";"pmdb";"RR"
0,0590215174061749;-0,120239914412177;"Edmar Arruda";"psc";"PR"
0,0881936565918089;0,999438126342147;"Edmilson Rodrigues";"psol";"PA"
0,678518515421664;0,161538918011819;"Eduardo Barbosa";"psdb";"MG"
0,726684651663311;0,0258950656053635;"Eduardo Bolsonaro";"psc";"SP"
-0,300356244096425;-0,472626673691037;"Eduardo Cunha";"pmdb";"rj"
0,73323756463358;0,0601979871440008;"Eduardo Cury";"psdb";"SP"
-0,0872728437898387;-0,188119057765051;"Eduardo da Fonte";"pp";"PE"
0,548741903530684;-0,0163718374012861;"Efraim Filho";"dem";"PB"
-0,235937374067436;-0,0865963440859742;"Elcione Barbalho";"pmdb";"PA"
0,055087751960713;-0,0133064949381104;"Eli Correa Filho";"dem";"SP"
0,182735890267662;-0,0971533073292487;"Eli Corrêa Filho";"dem";"SP"
0,225760230973893;-0,177151795129678;"Elizeu Dionizio";"s.part.";"MS"
