id_dep,nome,partido,uf,Cobrança.de.cursos.em.universidades.públicas,Coincidência.reeleição,Cota.para.mulheres.legislativo,Distritao,Financiamento.privado.para.partidos,Financiamento.privado.para.partidos.e.candidatos,Infaticídio.indígena,Maioridade.1,Maioridade.2,Pensão,Reeleição,Seguro.Desemprego,Tempo.Mandato,Terceirização,Terrorismo,Transgênico,Tributação.serviços.de.internet,Voto.Facultativo,Voto.impresso,Impeachment
73772,Hermes Parcianello,pmdb,PR,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,não,sim,não,não,sim,sim,sim,sim,sim
73778,Luiz Carlos Hauly,psdb,PR,não votou,não,sim,não,sim,sim,não votou,sim,sim,não,sim,não,não,sim,sim,sim,não votou,não,sim,sim
73781,Nelson Meurer,pp,PR,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,não,sim,sim
73788,Ricardo Barros,pp,PR,sim,não,não votou,sim,sim,sim,não votou,não,não,sim,sim,sim,não,sim,não votou,não votou,não votou,não votou,não votou,sim
73793,Edinho Bez,pmdb,SC,sim,não votou,não,sim,sim,abstenção,sim,sim,sim,abstenção,sim,sim,sim,sim,sim,sim,não,sim,sim,não votou
73805,Roberto Freire,pps,SP,não votou,não,sim,não,não,não,sim,não,não,não votou,sim,não,não,sim,sim,sim,sim,não,abstenção,não votou
73808,Sérgio Brito,psd,BA,sim,sim,não,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não
73891,Darcísio Perondi,pmdb,RS,sim,não,sim,não,sim,sim,não,não,não,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim
73926,Janete Capiberibe,psb,AP,não,sim,sim,não,não,não,não votou,não,não,não votou,sim,não votou,sim,não,não votou,não votou,não votou,não,sim,não
73930,Wladimir Costa,solidaried,PA,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,sim,não votou,não votou,não votou,não votou,sim
73931,Zé Geraldo,pt,PA,não,não,sim,não,não,não,não,não,não,sim,sim,sim,sim,não,sim,não,não votou,não,sim,não
74010,Valdir Colatto,pmdb,SC,sim,não,sim,não votou,não votou,não votou,sim,sim,sim,sim,não votou,sim,sim,sim,não,sim,sim,não,sim,sim
74017,Paulo Feijó,pr,RJ,sim,não,sim,não votou,não votou,não votou,sim,sim,sim,sim,não votou,não,sim,sim,não,sim,sim,não,sim,sim
74040,Benjamin Maranhão,solidaried,PB,sim,não votou,abstenção,não,sim,sim,sim,sim,sim,não,sim,não,não votou,sim,sim,sim,sim,não votou,sim,sim
74041,Luiz Couto,pt,PB,não,não,sim,não,não,não,não,não,não,sim,sim,sim,sim,não,não,não,sim,não,sim,não
74043,Wellington Roberto,pr,PB,sim,sim,sim,não,sim,sim,sim,sim,não votou,sim,sim,sim,sim,sim,sim,não votou,não votou,não,sim,não
74048,Raul Jungmann,pps,PE,não votou,não,não votou,não votou,não,não votou,sim,não,não,não,não,não,não,sim,sim,não,não votou,não,não votou,não votou
74050,Maurício Quintella Lessa,pr,AL,não votou,sim,abstenção,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,não votou,não,sim,sim
74057,Alice Portugal,pcdob,BA,não,não,sim,sim,não,não,não votou,não,não votou,não votou,sim,sim,não,não,sim,não,não,não,sim,não
74060,Daniel Almeida,pcdob,BA,não,não,sim,sim,não,não,não,não,não,sim,sim,sim,não,não,sim,não,não,não,sim,não
74075,Elcione Barbalho,pmdb,PA,sim,não votou,sim,sim,não,não,não votou,não,não,sim,sim,sim,não votou,sim,não votou,não votou,sim,não votou,não votou,não
74079,José Priante,pmdb,PA,não votou,não,sim,sim,não votou,não votou,sim,não votou,não votou,sim,não votou,sim,sim,não votou,sim,não votou,não votou,não,não votou,sim
74090,Átila Lins,psd,AM,não votou,sim,não,não votou,sim,não votou,sim,sim,sim,sim,sim,sim,não votou,sim,sim,sim,sim,não votou,sim,sim
74095,Pauderney Avelino,dem,AM,não votou,não,abstenção,sim,sim,sim,não votou,sim,sim,não,sim,não,não,sim,não votou,sim,não votou,sim,sim,sim
74103,Ariosto Holanda,pros,CE,sim,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não
74140,José Carlos Araújo,psd,BA,sim,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,não,sim,não votou,não,sim,não
74156,Leonardo Monteiro,pt,MG,não,não,sim,não,não,não,não,não,não,sim,sim,sim,sim,não,não votou,não,sim,não,sim,não
74158,Mário Heringer,pdt,MG,sim,sim,sim,não votou,não votou,não votou,sim,não,não,não,não votou,não,sim,sim,sim,sim,não votou,não,sim,sim
74161,Reginaldo Lopes,pt,MG,não,não,sim,não,não,não,não votou,não,não,sim,sim,sim,sim,não votou,sim,não votou,não votou,não,não,não
74163,Carlos Manato,solidaried,ES,sim,sim,não,sim,sim,sim,sim,sim,sim,não,sim,não,sim,sim,sim,sim,sim,não,sim,sim
74171,Chico Alencar,psol,RJ,não,não,sim,não,obstrução,não,não,não,obstrução,não,sim,não,sim,não,não,não,não,não,sim,não
74172,Deley,ptb,RJ,sim,não votou,sim,sim,sim,sim,sim,não,não votou,não,sim,não,não votou,não,sim,não,abstenção,não votou,sim,sim
74173,Eduardo Cunha,pmdb,RJ,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,sim
74177,Marinha Raupp,pmdb,RO,não votou,sim,sim,não,sim,não,sim,não,não,sim,sim,não votou,sim,não,sim,não votou,não votou,não,sim,sim
74210,Sarney Filho,pv,MA,não votou,sim,sim,não,sim,não,não,não,não,sim,não votou,sim,sim,não votou,sim,não,não votou,sim,não votou,sim
74212,Aníbal Gomes,pmdb,CE,sim,não votou,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,não votou,sim,não votou,não votou,não votou,sim,ausente
74213,Antonio Balhmann,pros,CE,não votou,não votou,não,não,não,sim,não votou,sim,sim,sim,sim,sim,não votou,sim,não votou,não votou,não votou,não votou,sim,não votou
74216,Raimundo Gomes de Matos,psdb,CE,sim,sim,abstenção,não,não votou,sim,sim,sim,sim,não,não votou,não,sim,sim,sim,sim,não votou,não,sim,sim
74235,Marcus Vicente,pp,ES,sim,não votou,não,sim,sim,sim,sim,sim,sim,sim,sim,não,não votou,sim,não,sim,sim,não,sim,sim
74253,Julio Lopes,pp,RJ,sim,não,abstenção,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,não votou,não,sim,sim
74254,Leonardo Picciani,pmdb,RJ,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,não votou,sim,não votou,não
74262,Carlos Sampaio,psdb,SP,não votou,não,sim,não,sim,sim,sim,sim,sim,não,sim,não,sim,não votou,não votou,sim,não votou,não,sim,sim
74270,Gilberto Nascimento,psc,SP,sim,não votou,sim,sim,sim,sim,sim,sim,sim,não,sim,não,não votou,sim,não,sim,não votou,não votou,sim,sim
74273,Jefferson Campos,psd,SP,sim,sim,abstenção,sim,sim,sim,sim,sim,sim,não,sim,não,sim,sim,não votou,sim,não votou,não,sim,sim
74275,José Mentor,pt,SP,não votou,não,sim,não,não,não,não,não,não,sim,sim,sim,sim,não,sim,não,não votou,não,sim,não
74277,Lobbe Neto,psdb,SP,sim,não,sim,não votou,não votou,não votou,sim,sim,sim,não,não votou,não,não,sim,sim,não votou,sim,sim,sim,não votou
74283,Vicentinho,pt,SP,não,não,sim,não,não,não,não,não,não,sim,sim,sim,sim,não,sim,não,sim,não,sim,não
74291,Arnon Bezerra,ptb,CE,sim,não votou,não votou,sim,sim,sim,sim,sim,não,sim,não,sim,não votou,sim,não votou,sim,não votou,não votou,sim,não
74299,Leônidas Cristino,pros,CE,sim,sim,não,não,sim,não,sim,não,não,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,não
74308,Vicente Arruda,pros,CE,sim,não votou,não votou,não votou,não votou,não votou,não,não votou,não votou,não votou,não votou,não votou,não votou,não votou,sim,não votou,sim,não votou,não votou,não
74317,Júlio Cesar,psd,PI,sim,sim,abstenção,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim
74319,Paes Landim,ptb,PI,sim,não,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,não,não votou,não,sim,não
74351,Josué Bengtson,ptb,PA,sim,sim,não,sim,sim,sim,sim,sim,sim,não,sim,não,sim,sim,sim,sim,sim,sim,sim,sim
74352,Nilson Pinto,psdb,PA,sim,não,não,sim,sim,sim,sim,sim,sim,não,sim,não,sim,sim,sim,sim,sim,sim,sim,sim
74356,Silas Câmara,psd,AM,sim,sim,abstenção,não,sim,sim,sim,não votou,não votou,sim,sim,sim,sim,não votou,não,sim,sim,não,sim,sim
74359,Nilton Capixaba,ptb,RO,sim,sim,sim,não votou,não votou,não votou,sim,sim,sim,sim,não votou,não,sim,sim,sim,não votou,sim,não,sim,sim
74366,João Campos,psdb,GO,sim,não,abstenção,não,sim,sim,sim,sim,sim,não,sim,não,sim,sim,sim,sim,sim,sim,sim,sim
74371,Rubens Otoni,pt,GO,sim,não,sim,não,não,não,sim,não,não,sim,sim,sim,sim,não votou,sim,não,sim,não,sim,não
74372,Sandes Júnior,pp,GO,não votou,sim,sim,sim,sim,não,sim,sim,sim,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,não votou
74374,Geraldo Resende,pmdb,MS,sim,sim,sim,não,sim,sim,sim,sim,sim,não votou,sim,sim,sim,sim,sim,sim,não,não,sim,sim
74376,Vander Loubet,pt,MS,não,sim,não votou,não,não,não,sim,não,não votou,sim,sim,sim,sim,não,sim,não votou,não votou,não,não votou,não
74378,Assis do Couto,pt,PR,sim,sim,sim,não,não,não,abstenção,não,não,sim,sim,não votou,sim,não,sim,não,não,não,sim,não
74383,Giacobo,pr,PR,não votou,sim,não votou,não,sim,sim,não votou,sim,sim,sim,não votou,sim,sim,sim,não votou,não votou,não votou,não,sim,sim
74385,Takayama,psc,PR,não votou,não votou,não votou,não votou,não votou,não votou,sim,não votou,sim,não votou,não votou,não votou,não votou,não votou,sim,não votou,sim,não votou,não votou,sim
74388,Jorge Boeira,pp,SC,não votou,não,não votou,não,não,não,não votou,sim,sim,não,sim,não,não,não,não votou,sim,não votou,sim,não votou,sim
