nome,id_dep,partido
Gonzaga Patriota,74419,psb
Gorete Pereira,129618,pr
Goulart,178980,psd
Guilherme Mussi,160667,pp
Heitor Schuch,178964,psb
Helder Salomão,178873,pt
Henrique Fontana,73482,pt
Herculano Passos,178981,psd
Hermes Parcianello,73772,pmdb
Heráclito Fortes,97707,psb
Heuler Cruvinel,160596,psd
Hildo Rocha,178884,pmdb
Hiran Gonçalves,178959,pmn
Hissa Abrahão,178849,pps
Hugo Leal,141450,pros
Hugo Motta,160674,pmdb
Hélio Leite,178909,dem
Indio da Costa,141389,psd
Iracema Portella,67138,pp
Irajá Abreu,81232,psd
Irmão Lazaro,178855,psc
Ivan Valente,73531,psol
Izalci,4931,psdb
JHC,178842,psb
Jaime Martins,74665,psd
Jair Bolsonaro,74847,pp
Jandira Feghali,74848,pcdob
Janete Capiberibe,73926,psb
Jarbas Vasconcelos,131943,pmdb
Jean Wyllys,160672,psol
Jefferson Campos,74273,psd
Jerônimo Goergen,160570,pp
Jhonatan de Jesus,160531,prb
Joaquim Passarinho,178910,psd
Jony Marcos,178971,prb
Jorge Boeira,74388,pp
Jorge Côrte Real,160572,ptb
Jorge Solla,178857,pt
Jorge Tadeu Mudalen,73535,dem
Jorginho Mello,160509,pr
Jose Stédile,160607,psb
Josi Nunes,114941,pmdb
Josué Bengtson,74351,ptb
José Airton Cirilo,141464,pt
José Carlos Aleluia,74553,dem
José Carlos Araújo,74140,psd
José Fogaça,131966,pmdb
José Guimarães,141470,pt
José Mentor,74275,pt
José Nunes,160619,psd
José Otávio Germano,74395,pp
José Priante,74079,pmdb
José Reinaldo,73714,psb
José Rocha,74554,pr
Jovair Arantes,73666,ptb
Jozi  Araújo,178851,ptb
João Arruda,160573,pmdb
João Campos,74366,psdb
João Carlos Bacelar,141458,pr
João Castelo,74445,psdb
João Daniel,178970,pt
João Derly,178965,rede
João Fernando Coutinho,178917,psb
João Gualberto,178856,psdb
João Marcelo Souza,112437,pmdb
João Paulo Papa,178988,psdb
João Rodrigues,160571,psd
Julio Lopes,74253,pp
Junior Marreca,178885,pen
Juscelino Filho,178886,prp
Jutahy Junior,74570,psdb
Jéssica Sales,178839,pmdb
Jô Moraes,141503,pcdob
Júlia Marinho,67312,psc
Júlio Cesar,74317,psd
Júlio Delgado,73586,psb
Kaio Maniçoba,178918,phs
Keiko Ota,160659,psb
Laercio Oliveira,151208,solidaried
Laerte Bessa,141478,pr
Laudivio Carvalho,178894,pmdb
Leandre,178832,pv
Lelo Coimbra,141562,pmdb
Leo de Brito,178825,pt
Leonardo Monteiro,74156,pt
Leonardo Picciani,74254,pmdb
Leonardo Quintão,141482,pmdb
Leopoldo Meyer,160663,psb
Leônidas Cristino,74299,pros
Lincoln Portela,74585,pr
Lindomar Garçon,141483,pmdb
Lobbe Neto,74277,psdb
Lucas Vergilio,178879,solidaried
Luciana Santos,160628,pcdob
Luciano Ducci,178931,psb
Lucio Mosquini,178954,pmdb
Lucio Vieira Lima,94931,pmdb
Luis Carlos Heinze,73483,pp
Luis Tibé,160510,ptdob
Luiz Carlos Busato,141485,ptb
Luiz Carlos Hauly,73778,psdb
Luiz Carlos Ramos,178802,psdc
Luiz Cláudio,178955,pr
Luiz Couto,74041,pt
Luiz Fernando Faria,141487,pp
Luiz Lauro Filho,178982,psb
Luiz Nishimori,162332,pr
Luiz Sérgio,74688,pt
Luiza Erundina,74784,psb
Luizianne Lins,178866,pt
Lázaro Botelho,141480,pp
Lúcio Vale,141484,pr
Macedo,178867,psl
Magda Mofatto,166402,pr
Mainha,151965,solidaried
Major Olimpio,178826,pdt
Mandetta,160633,dem
Manoel Junior,141490,pmdb
Mara Gabrilli,160565,psdb
Marcelo Aguiar,160660,dem
Marcelo Aro,146788,phs
Marcelo Belinati,178932,pp
Marcelo Castro,74460,pmdb
Marcelo Matos,76287,pdt
Marcelo Squassoni,118594,prb
Marcelo Álvaro Antônio,179000,prp
Marcio Alvino,178983,pr
Marco Maia,133373,pt
Marco Tebaldi,160536,psdb
Marcon,160535,pt
Marcos Abrão,178880,pps
Marcos Montes,141500,psd
Marcos Reategui,178852,psc
Marcos Rogério,167722,pdt
Marcos Rotta,178850,pmdb
Marcos Soares,178943,pr
Marcus Pestana,159238,psdb
Marcus Vicente,74235,pp
Margarida Salomão,171619,pt
Maria Helena,64960,psb
Maria do Rosário,74398,pt
Mariana Carvalho,178956,psdb
Marinaldo Rosendo,178919,psb
Marinha Raupp,74177,pmdb
Marquinho Mendes,181315,pmdb
Marx Beltrão,178843,pmdb
Mauro Lopes,74749,pmdb
Mauro Mariani,141507,pmdb
Mauro Pereira,124411,pmdb
Maurício Quintella Lessa,74050,pr
Max Filho,178827,psdb
Mendonça Filho,74428,dem
Merlong Solano,188097,pt
Miguel Haddad,178984,psdb
Miguel Lombardi,178985,pr
Milton Monti,74787,pr
Miro Teixeira,74862,rede
Misael Varella,178895,dem
Missionário José Olimpio,160561,pp
Moema Gramacho,178859,pt
Moroni Torgan,74457,dem
Moses Rodrigues,178997,pps
Márcio Marinho,150418,prb
Mário Heringer,74158,pdt
Mário Negromonte Jr.,178858,pp
Nelson Marchezan Junior,160567,psdb
Nelson Marquezelli,73553,ptb
Nelson Meurer,73781,pp
Newton Cardoso Jr,178896,pmdb
Nilson Leitão,166401,psdb
Nilson Pinto,74352,psdb
Nilto Tatto,178986,pt
Nilton Capixaba,74359,ptb
Odelmo Leão,74752,pp
Odorico Monteiro,178868,pt
Onyx Lorenzoni,74399,dem
Orlando Silva,178987,pcdob
Osmar Bertoldi,180545,dem
Osmar Serraglio,73463,pmdb
Osmar Terra,73692,pmdb
Otavio Leite,141515,psdb
Padre João,160556,pt
Paes Landim,74319,ptb
Pastor Eurico,160642,psb
Pastor Franklin,186775,ptdob
Pauderney Avelino,74095,dem
Paulo Abi-Ackel,141516,psdb
Paulo Azi,178860,dem
Paulo Feijó,74017,pr
Paulo Foletto,160517,psb
Paulo Freire,160558,pr
Paulo Magalhães,74574,psd
Paulo Maluf,132056,pp
Paulo Pereira da Silva,141518,solidaried
Paulo Pimenta,74400,pt
Paulo Teixeira,141488,pt
Paulão,171617,pt
Pedro Chaves,74812,pmdb
Pedro Cunha Lima,178912,psdb
Pedro Fernandes,74449,ptb
Pedro Uczai,160604,pt
Pedro Vilela,178844,psdb
Penna,80920,pv
Pepe Vargas,141445,pt
Pompeo de Mattos,73486,pdt
Pr. Marco Feliciano,160601,psc
Professor Victório Galli,148134,psc
Professora Dorinha Seabra Rezende,160639,dem
Professora Marcivania,160641,pt
Rafael Motta,178951,pros
Raimundo Gomes de Matos,74216,psdb
Raquel Muniz,178998,psc
Raul Jungmann,74048,pps
Reginaldo Lopes,74161,pt
Remídio Monai,178960,pr
Renata Abreu,178989,ptn
Renato Molling,141527,pp
Renzo Braz,160654,pp
Ricardo Barros,73788,pp
Ricardo Izar,160655,psd
Ricardo Teobaldo,178920,ptb
