partido,nome_votacao,orientacao_partido
prp,Distritao,não
psdc,Distritao,não
prtb,Distritao,não
ptc,Distritao,não
psl,Distritao,não
ptdob,Distritao,não
psd,Distritao,liberado
pr,Distritao,não
psb,Distritao,não
dem,Distritao,sim
pdt,Distritao,não
solidaried,Distritao,sim
pcdob,Distritao,sim
pros,Distritao,liberado
pps,Distritao,não
pv,Distritao,não
psol,Distritao,não
pmdb,Financiamento privado para partidos e candidatos,sim
pp,Financiamento privado para partidos e candidatos,sim
ptb,Financiamento privado para partidos e candidatos,sim
psc,Financiamento privado para partidos e candidatos,sim
phs,Financiamento privado para partidos e candidatos,sim
pen,Financiamento privado para partidos e candidatos,sim
pt,Financiamento privado para partidos e candidatos,não
psdb,Financiamento privado para partidos e candidatos,sim
prb,Financiamento privado para partidos e candidatos,não
ptn,Financiamento privado para partidos e candidatos,não
pmn,Financiamento privado para partidos e candidatos,não
prp,Financiamento privado para partidos e candidatos,não
psdc,Financiamento privado para partidos e candidatos,não
prtb,Financiamento privado para partidos e candidatos,não
ptc,Financiamento privado para partidos e candidatos,não
psl,Financiamento privado para partidos e candidatos,não
ptdob,Financiamento privado para partidos e candidatos,não
psd,Financiamento privado para partidos e candidatos,sim
pr,Financiamento privado para partidos e candidatos,sim
psb,Financiamento privado para partidos e candidatos,liberado
dem,Financiamento privado para partidos e candidatos,sim
pdt,Financiamento privado para partidos e candidatos,não
solidaried,Financiamento privado para partidos e candidatos,sim
pcdob,Financiamento privado para partidos e candidatos,não
pros,Financiamento privado para partidos e candidatos,liberado
pps,Financiamento privado para partidos e candidatos,não
pv,Financiamento privado para partidos e candidatos,não
psol,Financiamento privado para partidos e candidatos,não
pmdb,Voto Facultativo,liberado
pp,Voto Facultativo,liberado
ptb,Voto Facultativo,liberado
psc,Voto Facultativo,liberado
phs,Voto Facultativo,liberado
pen,Voto Facultativo,liberado
pt,Voto Facultativo,não
psdb,Voto Facultativo,não
prb,Voto Facultativo,não
ptn,Voto Facultativo,não
pmn,Voto Facultativo,não
prp,Voto Facultativo,não
psdc,Voto Facultativo,não
prtb,Voto Facultativo,não
ptc,Voto Facultativo,não
psl,Voto Facultativo,não
ptdob,Voto Facultativo,não
psd,Voto Facultativo,não
pr,Voto Facultativo,não
psb,Voto Facultativo,não
dem,Voto Facultativo,sim
pdt,Voto Facultativo,não
solidaried,Voto Facultativo,não
pcdob,Voto Facultativo,não
pros,Voto Facultativo,não
pps,Voto Facultativo,sim
pv,Voto Facultativo,sim
psol,Voto Facultativo,não
pmdb,Financiamento privado para partidos,sim
pp,Financiamento privado para partidos,sim
ptb,Financiamento privado para partidos,sim
psc,Financiamento privado para partidos,sim
phs,Financiamento privado para partidos,sim
pen,Financiamento privado para partidos,sim
pt,Financiamento privado para partidos,não
psdb,Financiamento privado para partidos,sim
prb,Financiamento privado para partidos,sim
ptn,Financiamento privado para partidos,sim
pmn,Financiamento privado para partidos,sim
prp,Financiamento privado para partidos,sim
psdc,Financiamento privado para partidos,sim
prtb,Financiamento privado para partidos,sim
ptc,Financiamento privado para partidos,sim
psl,Financiamento privado para partidos,sim
ptdob,Financiamento privado para partidos,sim
psd,Financiamento privado para partidos,sim
pr,Financiamento privado para partidos,sim
psb,Financiamento privado para partidos,liberado
dem,Financiamento privado para partidos,sim
pdt,Financiamento privado para partidos,não
solidaried,Financiamento privado para partidos,sim
pcdob,Financiamento privado para partidos,não
pros,Financiamento privado para partidos,sim
pps,Financiamento privado para partidos,não
pv,Financiamento privado para partidos,sim
psol,Financiamento privado para partidos,obstrução
pmdb,Reeleição,sim
pp,Reeleição,sim
ptb,Reeleição,sim
psc,Reeleição,sim
phs,Reeleição,sim
pen,Reeleição,sim
pt,Reeleição,sim
psdb,Reeleição,sim
prb,Reeleição,sim
ptn,Reeleição,sim
pmn,Reeleição,sim
prp,Reeleição,sim
psdc,Reeleição,sim
prtb,Reeleição,sim
ptc,Reeleição,sim
psl,Reeleição,sim
ptdob,Reeleição,sim
psd,Reeleição,sim
pr,Reeleição,sim
psb,Reeleição,sim
dem,Reeleição,sim
pdt,Reeleição,sim
solidaried,Reeleição,sim
pcdob,Reeleição,sim
pros,Reeleição,sim
pps,Reeleição,sim
pv,Reeleição,sim
psol,Reeleição,sim
pmdb,Tempo Mandato,liberado
pp,Tempo Mandato,liberado
ptb,Tempo Mandato,liberado
psc,Tempo Mandato,liberado
phs,Tempo Mandato,liberado
pen,Tempo Mandato,liberado
pt,Tempo Mandato,sim
psdb,Tempo Mandato,sim
prb,Tempo Mandato,não
ptn,Tempo Mandato,não
pmn,Tempo Mandato,não
prp,Tempo Mandato,não
psdc,Tempo Mandato,não
prtb,Tempo Mandato,não
ptc,Tempo Mandato,não
psl,Tempo Mandato,não
ptdob,Tempo Mandato,não
psd,Tempo Mandato,sim
pr,Tempo Mandato,sim
psb,Tempo Mandato,sim
dem,Tempo Mandato,não
pdt,Tempo Mandato,sim
solidaried,Tempo Mandato,sim
pcdob,Tempo Mandato,não
pros,Tempo Mandato,sim
pps,Tempo Mandato,não
pv,Tempo Mandato,liberado
psol,Tempo Mandato,sim
pmdb,Coincidência reeleição,liberado
pp,Coincidência reeleição,liberado
ptb,Coincidência reeleição,liberado
psc,Coincidência reeleição,liberado
phs,Coincidência reeleição,liberado
pen,Coincidência reeleição,liberado
pt,Coincidência reeleição,não
psdb,Coincidência reeleição,não
prb,Coincidência reeleição,não
ptn,Coincidência reeleição,não
pmn,Coincidência reeleição,não
prp,Coincidência reeleição,não
psdc,Coincidência reeleição,não
prtb,Coincidência reeleição,não
ptc,Coincidência reeleição,não
psl,Coincidência reeleição,não
ptdob,Coincidência reeleição,não
psd,Coincidência reeleição,liberado
pr,Coincidência reeleição,sim
psb,Coincidência reeleição,sim
dem,Coincidência reeleição,liberado
pdt,Coincidência reeleição,liberado
solidaried,Coincidência reeleição,sim
pcdob,Coincidência reeleição,não
pros,Coincidência reeleição,sim
pps,Coincidência reeleição,não
pv,Coincidência reeleição,liberado
psol,Coincidência reeleição,não
pmdb,Cota para mulheres legislativo,liberado
pp,Cota para mulheres legislativo,liberado
ptb,Cota para mulheres legislativo,liberado
psc,Cota para mulheres legislativo,liberado
phs,Cota para mulheres legislativo,liberado
pen,Cota para mulheres legislativo,liberado
pt,Cota para mulheres legislativo,sim
psdb,Cota para mulheres legislativo,liberado
prb,Cota para mulheres legislativo,liberado
ptn,Cota para mulheres legislativo,liberado
pmn,Cota para mulheres legislativo,liberado
prp,Cota para mulheres legislativo,liberado
psdc,Cota para mulheres legislativo,liberado
prtb,Cota para mulheres legislativo,liberado
ptc,Cota para mulheres legislativo,liberado
psl,Cota para mulheres legislativo,liberado
ptdob,Cota para mulheres legislativo,liberado
psd,Cota para mulheres legislativo,sim
pr,Cota para mulheres legislativo,sim
psb,Cota para mulheres legislativo,liberado
dem,Cota para mulheres legislativo,liberado
pdt,Cota para mulheres legislativo,sim
solidaried,Cota para mulheres legislativo,liberado
pcdob,Cota para mulheres legislativo,sim
pros,Cota para mulheres legislativo,liberado
pps,Cota para mulheres legislativo,sim
pv,Cota para mulheres legislativo,sim
psol,Cota para mulheres legislativo,sim
pmdb,Voto impresso,sim
pp,Voto impresso,sim
ptb,Voto impresso,sim
psc,Voto impresso,sim
phs,Voto impresso,sim
pen,Voto impresso,sim
pt,Voto impresso,sim
psdb,Voto impresso,sim
prb,Voto impresso,sim
ptn,Voto impresso,sim
pmn,Voto impresso,sim
prp,Voto impresso,sim
psdc,Voto impresso,sim
