id_dep,nome,partido,uf,Cobrança de cursos em universidades públicas,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Infaticídio indígena,Maioridade 1,Maioridade 2,Pensão,Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Terrorismo,Transgênico,Tributação serviços de internet,Voto Facultativo,Voto impresso
160598,Flávia Morais,pdt,GO,não votou,não votou,sim,não,não,não,sim,não,não,não,sim,não,não votou,sim,sim,sim,não votou,não votou,sim
160666,Félix Mendonça Júnior,pdt,BA,sim,sim,sim,não,não,não,sim,não,não,não,sim,não,sim,sim,sim,sim,sim,não,sim
160673,Giovani Cherini,pdt,RS,sim,sim,sim,não,não votou,não,sim,não,não,não,sim,não,sim,sim,sim,sim,não,não,sim
178826,Major Olimpio,pdt,SP,sim,sim,abstenção,não,não,não,sim,sim,sim,não votou,sim,não,sim,sim,não,não,sim,não,sim
76287,Marcelo Matos,pdt,RJ,não,sim,sim,não,não,não,sim,abstenção,sim,não,sim,não,sim,não,sim,não,não,não,sim
167722,Marcos Rogério,pdt,RO,não,não,abstenção,abstenção,não,não,sim,sim,sim,não,sim,não,sim,não,não votou,sim,não votou,sim,sim
74158,Mário Heringer,pdt,MG,sim,sim,sim,não votou,não votou,não votou,sim,não,não,não,não votou,não,sim,sim,sim,sim,não votou,não,sim
73486,Pompeo de Mattos,pdt,RS,sim,não,sim,não,não,não,sim,não,não,não,sim,não,sim,não votou,sim,sim,não votou,não,sim
178995,Roberto Góes,pdt,AP,não,sim,sim,não,sim,não,sim,não,não,não,não,não,sim,sim,sim,não,não,não,sim
178845,Ronaldo Lessa,pdt,AL,não,sim,sim,não,não votou,não votou,abstenção,não,não,não,não votou,não,sim,não votou,sim,não,não,sim,sim
191684,Rosângela Curado,pdt,MA,sim,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não,não votou,não votou
178874,Sergio Vidigal,pdt,ES,sim,abstenção,sim,não,não,não,sim,não,não,não,sim,não,abstenção,sim,sim,não,não votou,abstenção,sim
177282,Subtenente Gonzaga,pdt,MG,não,sim,sim,não,não,não,sim,não,sim,não,sim,não,sim,não,sim,não votou,não,não,sim
167493,Weverton Rocha,pdt,MA,não votou,sim,sim,não,não,não,sim,não,não,não,sim,não,sim,sim,sim,não,não votou,não,sim
74439,Wolney Queiroz,pdt,PE,não,sim,não votou,não,não,não,sim,não,não,não,sim,não,não,não,sim,não,não votou,não,sim
178882,André Fufuca,pen,MA,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,não,sim
178885,Junior Marreca,pen,MA,sim,sim,não votou,sim,sim,sim,não,sim,sim,não,não votou,não votou,sim,sim,sim,não votou,não votou,sim,não votou
178864,Adail Carneiro,phs,CE,sim,não,não,sim,sim,sim,sim,não,não,sim,sim,não,sim,sim,sim,sim,sim,não,sim
178958,Carlos Andrade,phs,RR,não votou,não,não,sim,sim,sim,não votou,sim,sim,sim,não votou,não,sim,sim,sim,sim,sim,não,não votou
178929,Diego Garcia,phs,PR,não votou,não,não,sim,sim,não,sim,não,não,sim,sim,não,sim,não,sim,sim,sim,não,sim
178918,Kaio Maniçoba,phs,PE,sim,não,não,sim,sim,sim,sim,não,sim,não votou,sim,não,sim,sim,sim,sim,sim,não,sim
146788,Marcelo Aro,phs,MG,não votou,não,não,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,não votou,não votou,não,sim
160582,Alberto Filho,pmdb,MA,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,sim,não,sim
160559,Alceu Moreira,pmdb,RS,sim,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,sim,não,não,sim
74212,Aníbal Gomes,pmdb,CE,sim,não votou,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,não votou,sim,não votou,não votou,não votou,sim
178975,Baleia Rossi,pmdb,SP,sim,sim,sim,sim,sim,não,não votou,sim,sim,sim,sim,sim,não,sim,sim,sim,sim,sim,sim
105112,Cabuçu Borges,pmdb,AP,sim,sim,não votou,sim,sim,sim,sim,não votou,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,não votou
141401,Carlos Bezerra,pmdb,MT,sim,sim,sim,não,sim,sim,não votou,não,não,sim,sim,sim,sim,não votou,sim,sim,sim,não,sim
178993,Carlos Henrique Gaguim,pmdb,TO,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim
178900,Carlos Marun,pmdb,MS,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,não,sim
73568,Celso Jacob,pmdb,RJ,sim,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,sim,sim,não votou,sim
141405,Celso Maldaner,pmdb,SC,sim,sim,sim,não,sim,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim
72912,Celso Pansera,pmdb,RJ,não votou,sim,sim,sim,sim,sim,não votou,não,não,sim,não,sim,não,sim,sim,não votou,não votou,sim,não votou
144523,Daniel Vilela,pmdb,GO,não,sim,não,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim
62881,Danilo Forte,pmdb,CE,não votou,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,não,sim,não votou,não,sim
73891,Darcísio Perondi,pmdb,RS,sim,não,sim,não,sim,sim,não,não,não,sim,sim,sim,sim,sim,sim,sim,não,sim,sim
178994,Dulce Miranda,pmdb,TO,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
73447,Edinho Araújo,pmdb,SP,não,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou
73793,Edinho Bez,pmdb,SC,sim,não votou,não,sim,sim,abstenção,sim,sim,sim,abstenção,sim,sim,sim,sim,sim,sim,não,sim,sim
141417,Edio Lopes,pmdb,RR,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,não,sim
74173,Eduardo Cunha,pmdb,RJ,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17
74075,Elcione Barbalho,pmdb,PA,sim,não votou,sim,sim,não,não,não votou,não,não,sim,sim,sim,não votou,sim,não votou,não votou,sim,não votou,não votou
171623,Fabio Reis,pmdb,SE,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,sim,não votou,sim,sim
163831,Fernando Jordão,pmdb,RJ,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim
141434,Flaviano Melo,pmdb,AC,não votou,não,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,não votou,sim,não votou,não,não votou
74374,Geraldo Resende,pmdb,MS,sim,sim,sim,não,sim,sim,sim,sim,sim,não votou,sim,sim,sim,sim,sim,sim,não,não,sim
73772,Hermes Parcianello,pmdb,PR,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,não,sim,não,não,sim,sim,sim,sim
178884,Hildo Rocha,pmdb,MA,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,não,sim,sim,sim,não,sim,não
160674,Hugo Motta,pmdb,PB,sim,sim,não votou,sim,sim,sim,sim,sim,sim,não votou,sim,sim,sim,sim,sim,sim,não votou,não,não votou
131943,Jarbas Vasconcelos,pmdb,PE,não,não,não,não,sim,sim,sim,não,não,não,sim,não,sim,sim,não votou,sim,sim,sim,sim
114941,Josi Nunes,pmdb,TO,sim,sim,sim,sim,sim,sim,sim,não,não,sim,sim,não,sim,sim,sim,sim,sim,não,sim
131966,José Fogaça,pmdb,RS,sim,não,não votou,não,não,não,sim,não,não,não,sim,não,não,sim,sim,não,sim,não,sim
74079,José Priante,pmdb,PA,não votou,não,sim,sim,não votou,não votou,sim,não votou,não votou,sim,não votou,sim,sim,não votou,sim,não votou,não votou,não,não votou
160573,João Arruda,pmdb,PR,não,não,não,sim,sim,não,não,não,não,não votou,sim,não,sim,não,sim,sim,não votou,sim,sim
112437,João Marcelo Souza,pmdb,MA,sim,não votou,não votou,sim,sim,sim,abstenção,não,não,sim,sim,sim,não votou,sim,sim,sim,sim,não votou,não votou
