tipo,num_pro,ano,id_votacao,resumo,data,hora,objetivo,sessao,partido,orientacao_partido,nome_votacao
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,REDE,não,Cobrança de cursos em universidades públicas
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,Minoria,sim,Cobrança de cursos em universidades públicas
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,GOV.,liberado,Cobrança de cursos em universidades públicas
PL,4148,2008,2,Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Desenvolvimento Econômico. Indústria e Comércio ao Projeto de Lei nº 4.148 de 2008. ressalvados os destaques. Sim: 320; não: 135; abstenção: 2; total: 457.,28/4/2015,20:41,SUBEMENDA SUBSTITUTIVA DA CDEIC,5513,PmdbPpPtbPscPhsPen,sim,Transgênico
PL,4148,2008,2,Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Desenvolvimento Econômico. Indústria e Comércio ao Projeto de Lei nº 4.148 de 2008. ressalvados os destaques. Sim: 320; não: 135; abstenção: 2; total: 457.,28/4/2015,20:41,SUBEMENDA SUBSTITUTIVA DA CDEIC,5513,PT,não,Transgênico
PL,4148,2008,2,Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Desenvolvimento Econômico. Indústria e Comércio ao Projeto de Lei nº 4.148 de 2008. ressalvados os destaques. Sim: 320; não: 135; abstenção: 2; total: 457.,28/4/2015,20:41,SUBEMENDA SUBSTITUTIVA DA CDEIC,5513,PSDB,sim,Transgênico
PL,4148,2008,2,Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Desenvolvimento Econômico. Indústria e Comércio ao Projeto de Lei nº 4.148 de 2008. ressalvados os destaques. Sim: 320; não: 135; abstenção: 2; total: 457.,28/4/2015,20:41,SUBEMENDA SUBSTITUTIVA DA CDEIC,5513,PrbPtnPmnPrpPsdcPrtbPtcPslPtdoB,sim,Transgênico
PL,4148,2008,2,Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Desenvolvimento Econômico. Indústria e Comércio ao Projeto de Lei nº 4.148 de 2008. ressalvados os destaques. Sim: 320; não: 135; abstenção: 2; total: 457.,28/4/2015,20:41,SUBEMENDA SUBSTITUTIVA DA CDEIC,5513,PSD,sim,Transgênico
PL,4148,2008,2,Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Desenvolvimento Econômico. Indústria e Comércio ao Projeto de Lei nº 4.148 de 2008. ressalvados os destaques. Sim: 320; não: 135; abstenção: 2; total: 457.,28/4/2015,20:41,SUBEMENDA SUBSTITUTIVA DA CDEIC,5513,PR,sim,Transgênico
PL,4148,2008,2,Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Desenvolvimento Econômico. Indústria e Comércio ao Projeto de Lei nº 4.148 de 2008. ressalvados os destaques. Sim: 320; não: 135; abstenção: 2; total: 457.,28/4/2015,20:41,SUBEMENDA SUBSTITUTIVA DA CDEIC,5513,PSB,não,Transgênico
PL,4148,2008,2,Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Desenvolvimento Econômico. Indústria e Comércio ao Projeto de Lei nº 4.148 de 2008. ressalvados os destaques. Sim: 320; não: 135; abstenção: 2; total: 457.,28/4/2015,20:41,SUBEMENDA SUBSTITUTIVA DA CDEIC,5513,DEM,sim,Transgênico
PL,4148,2008,2,Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Desenvolvimento Econômico. Indústria e Comércio ao Projeto de Lei nº 4.148 de 2008. ressalvados os destaques. Sim: 320; não: 135; abstenção: 2; total: 457.,28/4/2015,20:41,SUBEMENDA SUBSTITUTIVA DA CDEIC,5513,PDT,liberado,Transgênico
PL,4148,2008,2,Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Desenvolvimento Econômico. Indústria e Comércio ao Projeto de Lei nº 4.148 de 2008. ressalvados os destaques. Sim: 320; não: 135; abstenção: 2; total: 457.,28/4/2015,20:41,SUBEMENDA SUBSTITUTIVA DA CDEIC,5513,Solidaried,sim,Transgênico
PL,4148,2008,2,Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Desenvolvimento Econômico. Indústria e Comércio ao Projeto de Lei nº 4.148 de 2008. ressalvados os destaques. Sim: 320; não: 135; abstenção: 2; total: 457.,28/4/2015,20:41,SUBEMENDA SUBSTITUTIVA DA CDEIC,5513,PCdoB,não,Transgênico
PL,4148,2008,2,Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Desenvolvimento Econômico. Indústria e Comércio ao Projeto de Lei nº 4.148 de 2008. ressalvados os destaques. Sim: 320; não: 135; abstenção: 2; total: 457.,28/4/2015,20:41,SUBEMENDA SUBSTITUTIVA DA CDEIC,5513,PROS,sim,Transgênico
PL,4148,2008,2,Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Desenvolvimento Econômico. Indústria e Comércio ao Projeto de Lei nº 4.148 de 2008. ressalvados os destaques. Sim: 320; não: 135; abstenção: 2; total: 457.,28/4/2015,20:41,SUBEMENDA SUBSTITUTIVA DA CDEIC,5513,PPS,sim,Transgênico
PL,4148,2008,2,Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Desenvolvimento Econômico. Indústria e Comércio ao Projeto de Lei nº 4.148 de 2008. ressalvados os destaques. Sim: 320; não: 135; abstenção: 2; total: 457.,28/4/2015,20:41,SUBEMENDA SUBSTITUTIVA DA CDEIC,5513,PV,não,Transgênico
PL,4148,2008,2,Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Desenvolvimento Econômico. Indústria e Comércio ao Projeto de Lei nº 4.148 de 2008. ressalvados os destaques. Sim: 320; não: 135; abstenção: 2; total: 457.,28/4/2015,20:41,SUBEMENDA SUBSTITUTIVA DA CDEIC,5513,PSOL,não,Transgênico
PL,4148,2008,2,Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Desenvolvimento Econômico. Indústria e Comércio ao Projeto de Lei nº 4.148 de 2008. ressalvados os destaques. Sim: 320; não: 135; abstenção: 2; total: 457.,28/4/2015,20:41,SUBEMENDA SUBSTITUTIVA DA CDEIC,5513,Minoria,sim,Transgênico
PL,4148,2008,2,Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Desenvolvimento Econômico. Indústria e Comércio ao Projeto de Lei nº 4.148 de 2008. ressalvados os destaques. Sim: 320; não: 135; abstenção: 2; total: 457.,28/4/2015,20:41,SUBEMENDA SUBSTITUTIVA DA CDEIC,5513,GOV.,sim,Transgênico
PL,4302,1998,4,Aprovados os dispositivos do Substitutivo do Senado Federal ao Projeto de Lei nº 4.302 de 1998. com parecer pela aprovação. ressalvados os destaques. Sim: 231; não:188; abstenção: 8; total: 427.,22/3/2017,20:24,SUBSTITUTIVO DO SENADO FEDERAL,6148,PpPtnPhs...,sim,Terceirização total 2017
PL,4302,1998,4,Aprovados os dispositivos do Substitutivo do Senado Federal ao Projeto de Lei nº 4.302 de 1998. com parecer pela aprovação. ressalvados os destaques. Sim: 231; não:188; abstenção: 8; total: 427.,22/3/2017,20:24,SUBSTITUTIVO DO SENADO FEDERAL,6148,PMDB,sim,Terceirização total 2017
PL,4302,1998,4,Aprovados os dispositivos do Substitutivo do Senado Federal ao Projeto de Lei nº 4.302 de 1998. com parecer pela aprovação. ressalvados os destaques. Sim: 231; não:188; abstenção: 8; total: 427.,22/3/2017,20:24,SUBSTITUTIVO DO SENADO FEDERAL,6148,PT,não,Terceirização total 2017
PL,4302,1998,4,Aprovados os dispositivos do Substitutivo do Senado Federal ao Projeto de Lei nº 4.302 de 1998. com parecer pela aprovação. ressalvados os destaques. Sim: 231; não:188; abstenção: 8; total: 427.,22/3/2017,20:24,SUBSTITUTIVO DO SENADO FEDERAL,6148,PSDB,sim,Terceirização total 2017
PL,4302,1998,4,Aprovados os dispositivos do Substitutivo do Senado Federal ao Projeto de Lei nº 4.302 de 1998. com parecer pela aprovação. ressalvados os destaques. Sim: 231; não:188; abstenção: 8; total: 427.,22/3/2017,20:24,SUBSTITUTIVO DO SENADO FEDERAL,6148,PR,sim,Terceirização total 2017
PL,4302,1998,4,Aprovados os dispositivos do Substitutivo do Senado Federal ao Projeto de Lei nº 4.302 de 1998. com parecer pela aprovação. ressalvados os destaques. Sim: 231; não:188; abstenção: 8; total: 427.,22/3/2017,20:24,SUBSTITUTIVO DO SENADO FEDERAL,6148,PSD,sim,Terceirização total 2017
PL,4302,1998,4,Aprovados os dispositivos do Substitutivo do Senado Federal ao Projeto de Lei nº 4.302 de 1998. com parecer pela aprovação. ressalvados os destaques. Sim: 231; não:188; abstenção: 8; total: 427.,22/3/2017,20:24,SUBSTITUTIVO DO SENADO FEDERAL,6148,PSB,sim,Terceirização total 2017
