partido,nome_votacao,orientacao_partido
pr,Distritao,não
psb,Distritao,não
solidaried,Distritao,sim
ptn,Distritao,não
pv,Distritao,não
psdc,Distritao,não
pps,Distritao,não
pmn,Distritao,não
phs,Distritao,sim
psol,Distritao,não
psl,Distritao,não
prp,Distritao,não
prtb,Distritao,não
pen,Distritao,sim
ptc,Distritao,não
ptdob,Distritao,não
prb,Financiamento privado para partidos e candidatos,não
pp,Financiamento privado para partidos e candidatos,sim
psd,Financiamento privado para partidos e candidatos,sim
psc,Financiamento privado para partidos e candidatos,sim
pmdb,Financiamento privado para partidos e candidatos,sim
psdb,Financiamento privado para partidos e candidatos,sim
pt,Financiamento privado para partidos e candidatos,não
dem,Financiamento privado para partidos e candidatos,sim
pdt,Financiamento privado para partidos e candidatos,não
pcdob,Financiamento privado para partidos e candidatos,não
ptb,Financiamento privado para partidos e candidatos,sim
pros,Financiamento privado para partidos e candidatos,liberado
pr,Financiamento privado para partidos e candidatos,sim
psb,Financiamento privado para partidos e candidatos,liberado
solidaried,Financiamento privado para partidos e candidatos,sim
ptn,Financiamento privado para partidos e candidatos,não
pv,Financiamento privado para partidos e candidatos,não
psdc,Financiamento privado para partidos e candidatos,não
pps,Financiamento privado para partidos e candidatos,não
pmn,Financiamento privado para partidos e candidatos,não
phs,Financiamento privado para partidos e candidatos,sim
psol,Financiamento privado para partidos e candidatos,não
psl,Financiamento privado para partidos e candidatos,não
prp,Financiamento privado para partidos e candidatos,não
prtb,Financiamento privado para partidos e candidatos,não
pen,Financiamento privado para partidos e candidatos,sim
ptc,Financiamento privado para partidos e candidatos,não
ptdob,Financiamento privado para partidos e candidatos,não
prb,Voto Facultativo,não
psd,Voto Facultativo,não
psc,Voto Facultativo,liberado
psdb,Voto Facultativo,não
pp,Voto Facultativo,liberado
pt,Voto Facultativo,não
dem,Voto Facultativo,sim
pdt,Voto Facultativo,não
pcdob,Voto Facultativo,não
ptb,Voto Facultativo,liberado
pros,Voto Facultativo,não
pmdb,Voto Facultativo,liberado
pr,Voto Facultativo,não
psb,Voto Facultativo,não
ptn,Voto Facultativo,não
solidaried,Voto Facultativo,não
pv,Voto Facultativo,sim
psdc,Voto Facultativo,não
pps,Voto Facultativo,sim
pmn,Voto Facultativo,não
phs,Voto Facultativo,liberado
psol,Voto Facultativo,não
psl,Voto Facultativo,não
prp,Voto Facultativo,não
prtb,Voto Facultativo,não
pen,Voto Facultativo,liberado
ptc,Voto Facultativo,não
ptdob,Voto Facultativo,não
s.part.,Voto Facultativo,
prb,Financiamento privado para partidos,sim
pp,Financiamento privado para partidos,sim
psd,Financiamento privado para partidos,sim
psc,Financiamento privado para partidos,sim
pmdb,Financiamento privado para partidos,sim
psdb,Financiamento privado para partidos,sim
pt,Financiamento privado para partidos,não
dem,Financiamento privado para partidos,sim
pdt,Financiamento privado para partidos,não
pcdob,Financiamento privado para partidos,não
ptb,Financiamento privado para partidos,sim
pros,Financiamento privado para partidos,sim
pr,Financiamento privado para partidos,sim
psb,Financiamento privado para partidos,liberado
ptn,Financiamento privado para partidos,sim
solidaried,Financiamento privado para partidos,sim
pv,Financiamento privado para partidos,sim
psdc,Financiamento privado para partidos,sim
pps,Financiamento privado para partidos,não
pmn,Financiamento privado para partidos,sim
phs,Financiamento privado para partidos,sim
psol,Financiamento privado para partidos,obstrução
psl,Financiamento privado para partidos,sim
prp,Financiamento privado para partidos,sim
prtb,Financiamento privado para partidos,sim
pen,Financiamento privado para partidos,sim
ptc,Financiamento privado para partidos,sim
ptdob,Financiamento privado para partidos,sim
s.part.,Financiamento privado para partidos,
prb,Reeleição,sim
pp,Reeleição,sim
psd,Reeleição,sim
psc,Reeleição,sim
pmdb,Reeleição,sim
psdb,Reeleição,sim
pt,Reeleição,sim
dem,Reeleição,sim
pdt,Reeleição,sim
pcdob,Reeleição,sim
ptb,Reeleição,sim
pros,Reeleição,sim
pr,Reeleição,sim
psb,Reeleição,sim
solidaried,Reeleição,sim
ptn,Reeleição,sim
pv,Reeleição,sim
psdc,Reeleição,sim
pps,Reeleição,sim
pmn,Reeleição,sim
phs,Reeleição,sim
psol,Reeleição,sim
psl,Reeleição,sim
prp,Reeleição,sim
prtb,Reeleição,sim
ptc,Reeleição,sim
ptdob,Reeleição,sim
s.part.,Reeleição,
pen,Reeleição,sim
prb,Tempo Mandato,não
pp,Tempo Mandato,liberado
psd,Tempo Mandato,sim
psc,Tempo Mandato,liberado
pmdb,Tempo Mandato,liberado
psdb,Tempo Mandato,sim
pt,Tempo Mandato,sim
dem,Tempo Mandato,não
pdt,Tempo Mandato,sim
pcdob,Tempo Mandato,não
ptb,Tempo Mandato,liberado
pros,Tempo Mandato,sim
pr,Tempo Mandato,sim
psb,Tempo Mandato,sim
ptn,Tempo Mandato,não
solidaried,Tempo Mandato,sim
pv,Tempo Mandato,liberado
psdc,Tempo Mandato,não
pps,Tempo Mandato,não
pmn,Tempo Mandato,não
phs,Tempo Mandato,liberado
psol,Tempo Mandato,sim
psl,Tempo Mandato,não
prp,Tempo Mandato,não
prtb,Tempo Mandato,não
pen,Tempo Mandato,liberado
ptc,Tempo Mandato,não
ptdob,Tempo Mandato,não
s.part.,Tempo Mandato,
prb,Coincidência reeleição,não
pp,Coincidência reeleição,liberado
psd,Coincidência reeleição,liberado
psc,Coincidência reeleição,liberado
pmdb,Coincidência reeleição,liberado
psdb,Coincidência reeleição,não
pt,Coincidência reeleição,não
dem,Coincidência reeleição,liberado
pdt,Coincidência reeleição,liberado
pcdob,Coincidência reeleição,não
ptb,Coincidência reeleição,liberado
pros,Coincidência reeleição,sim
pr,Coincidência reeleição,sim
psb,Coincidência reeleição,sim
ptn,Coincidência reeleição,não
solidaried,Coincidência reeleição,sim
pv,Coincidência reeleição,liberado
psdc,Coincidência reeleição,não
pps,Coincidência reeleição,não
pmn,Coincidência reeleição,não
phs,Coincidência reeleição,liberado
psol,Coincidência reeleição,não
psl,Coincidência reeleição,não
prp,Coincidência reeleição,não
prtb,Coincidência reeleição,não
pen,Coincidência reeleição,liberado
ptc,Coincidência reeleição,não
ptdob,Coincidência reeleição,não
s.part.,Coincidência reeleição,
prb,Cota para mulheres legislativo,liberado
pp,Cota para mulheres legislativo,liberado
psd,Cota para mulheres legislativo,sim
psc,Cota para mulheres legislativo,liberado
psdb,Cota para mulheres legislativo,liberado
pt,Cota para mulheres legislativo,sim
dem,Cota para mulheres legislativo,liberado
ptb,Cota para mulheres legislativo,liberado
pros,Cota para mulheres legislativo,liberado
