id_dep,nome,partido,uf,Cobrança de cursos em universidades públicas,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Infaticídio indígena,Lei trabalhista,Maioridade 1,Maioridade 2,Pensão,Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Terceirização total 2017,Terrorismo,Transgênico,Tributação serviços de internet,Voto Facultativo,Voto impresso,Impeachment,Prosseguimento da denúncia contra Temer
178929,Diego Garcia,phs,PR,-1,0,0,1,1,0,1,-1,0,0,1,1,0,1,0,-1,1,1,1,0,1,1,1
160643,Dr. Jorge Silva,phs,ES,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1
74558,Givaldo Carimbão,phs,AL,-1,0,0,0,1,1,-1,0,0,0,1,1,1,1,1,0,1,1,-1,-1,1,0,1
146788,Marcelo Aro,phs,MG,-1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,-1,1,-1,-1,0,1,1,0
76287,Marcelo Matos,phs,RJ,0,1,1,0,0,0,1,1,-2,1,0,1,0,1,0,0,1,0,0,0,1,1,1
160642,Pastor Eurico,phs,PE,-1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1
160518,Weliton Prado,pmb,MG,0,-2,-2,-2,-2,-2,1,0,1,1,0,-2,0,-2,0,0,1,0,1,-2,-2,1,1
160582,Alberto Filho,pmdb,MA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,0,1,1,-1
160559,Alceu Moreira,pmdb,RS,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0
178833,Alexandre Serfiotis,pmdb,RJ,0,0,-1,0,1,1,1,1,1,1,1,1,0,0,1,-1,0,0,1,0,1,1,-1
178937,Altineu Côrtes,pmdb,RJ,1,1,-1,0,-1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,0,1,1,0
195143,André Amaral,pmdb,PB,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0
74212,Aníbal Gomes,pmdb,CE,1,-1,0,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,-1,0
178975,Baleia Rossi,pmdb,SP,1,1,1,1,1,0,-1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,0
105112,Cabuçu Borges,pmdb,AP,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,-1,1,-1,1,0
141401,Carlos Bezerra,pmdb,MT,1,1,1,0,1,1,-1,1,0,0,1,1,1,1,-1,1,1,1,1,0,1,1,0
178900,Carlos Marun,pmdb,MS,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,0,0,1,1,0
73568,Celso Jacob,pmdb,RJ,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-2,1,1,1,-1,1,-1,0
141405,Celso Maldaner,pmdb,SC,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,0
72912,Celso Pansera,pmdb,RJ,-1,1,1,1,1,1,-1,0,0,0,1,0,1,0,1,0,1,-1,-1,1,-1,0,1
178841,Cícero Almeida,pmdb,AL,1,1,1,1,1,0,1,0,1,1,0,1,0,1,-1,1,1,1,1,0,1,1,0
144523,Daniel Vilela,pmdb,GO,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,0
73891,Darcísio Perondi,pmdb,RS,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0
178994,Dulce Miranda,pmdb,TO,1,1,1,1,1,1,1,-1,0,1,1,1,1,1,1,-1,1,1,1,0,1,1,0
73447,Edinho Araújo,pmdb,SP,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
73793,Edinho Bez,pmdb,SC,1,-1,0,1,1,-2,1,-1,1,1,-2,1,1,1,1,-1,1,1,0,1,1,-1,-1
74173,Eduardo Cunha,pmdb,RJ,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,1,-1
74075,Elcione Barbalho,pmdb,PA,1,-1,1,1,0,0,-1,1,0,0,1,1,1,-1,1,-1,-1,-1,1,-1,-1,0,0
171623,Fabio Reis,pmdb,SE,1,1,0,1,1,1,1,-1,1,1,1,1,0,1,1,0,1,1,-1,1,1,1,0
163831,Fernando Jordão,pmdb,RJ,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,-1
141434,Flaviano Melo,pmdb,AC,-1,0,-1,1,1,1,1,1,1,1,1,1,1,0,1,1,-1,1,-1,0,-1,1,0
141427,Fábio Ramalho,pmdb,MG,1,1,-1,1,1,1,0,1,0,0,-1,1,1,1,1,1,1,0,1,0,1,1,0
73772,Hermes Parcianello,pmdb,PR,1,1,1,1,1,1,1,-1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0
178884,Hildo Rocha,pmdb,MA,1,1,1,1,1,1,1,1,1,1,-1,1,1,0,1,1,1,1,0,1,0,1,0
160674,Hugo Motta,pmdb,PB,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,-1,0,-1,1,0
131943,Jarbas Vasconcelos,pmdb,PE,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,-1,1,1,1,1,1,1
194262,Jones Martins,pmdb,RS,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
114941,Josi Nunes,pmdb,TO,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0
131966,José Fogaça,pmdb,RS,1,0,-1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0
74079,José Priante,pmdb,PA,-1,0,1,1,-1,-1,1,1,-1,-1,1,-1,1,1,-1,1,1,-1,-1,0,-1,1,0
160573,João Arruda,pmdb,PR,0,0,0,1,1,0,0,1,0,0,-1,1,0,1,0,-1,1,1,-1,1,1,1,0
