nome,id_dep,partido,uf
Zeca Dirceu,160592,pt,PR
Saraiva Felipe,74762,pmdb,MG
Guilherme Mussi,160667,pp,SP
José Carlos Aleluia,74553,dem,BA
Ronaldo Lessa,178845,pdt,AL
Marcelo Belinati,178932,pp,PR
Altineu Côrtes,178937,pr,RJ
Sandes Júnior,74372,pp,GO
Silas Freire,187008,pr,PI
Roberto Freire,73805,pps,SP
José Maia Filho,151965,solidaried,PI
Carlos Eduardo Cadoca,74474,pcdob,PE
José Fogaça,131966,pmdb,RS
Penna,80920,pv,SP
Fernando Torres,160676,psd,BA
Davidson Magalhães,101309,pcdob,BA
Augusto Coutinho,160665,solidaried,PE
Ademir Camilo,133374,pros,MG
Alberto Filho,160582,pmdb,MA
Walney Rocha,160631,ptb,RJ
Marquinho Mendes,181315,pmdb,RJ
Mauro Pereira,124411,pmdb,RS
João Fernando Coutinho,178917,psb,PE
Célio Silveira,178876,psdb,GO
João Paulo Papa,178988,psdb,SP
Antônio Jácome,178950,pmn,RN
Eduardo Barbosa,74655,psdb,MG
Simão Sessim,73424,pp,RJ
Jorge Tadeu Mudalen,73535,dem,SP
Alex Manente,178972,pps,SP
Paulo Magalhães,74574,psd,BA
Ricardo Teobaldo,178920,ptb,PE
Marcelo Squassoni,118594,prb,SP
Carlos Marun,178900,pmdb,MS
Marcelo Aro,146788,phs,MG
José Guimarães,141470,pt,CE
Luiz Carlos Busato,141485,ptb,RS
Domingos Sávio,160758,psdb,MG
Felipe Bornier,141430,psd,RJ
Adail Carneiro,178864,phs,CE
Roberto Balestra,73674,pp,GO
Edmilson Rodrigues,134812,psol,PA
Juscelino Filho,178886,prp,MA
Baleia Rossi,178975,pmdb,SP
Roberto Britto,141529,pp,BA
Antonio Brito,160553,ptb,BA
Luiz Fernando Faria,141487,pp,MG
Gabriel Guimarães,129037,pt,MG
João Arruda,160573,pmdb,PR
Bebeto,178834,psb,BA
André Figueiredo,133439,pdt,CE
Mauro Lopes,74749,pmdb,MG
Paulo Abi-Ackel,141516,psdb,MG
Pedro Uczai,160604,pt,SC
Maurício Quintella Lessa,74050,pr,AL
Afonso Motta,178835,pdt,RS
Ezequiel Teixeira,178941,solidaried,RJ
Jorge Côrte Real,160572,ptb,PE
Carlos Henrique Gaguim,178993,pmdb,TO
Dr. Sinval Malheiros,178830,pv,SP
Mariana Carvalho,178956,psdb,RO
Antonio Bulhões,141383,prb,SP
Zeca Cavalcanti,178923,ptb,PE
Pompeo de Mattos,73486,pdt,RS
Adilton Sachetti,178903,psb,MT
Conceição Sampaio,178848,pp,AM
Carmen Zanotto,164360,pps,SC
Vinicius Carvalho,141555,prb,SP
Josué Bengtson,74351,ptb,PA
Pedro Fernandes,74449,ptb,MA
Marco Maia,133373,pt,RS
Paulo Teixeira,141488,pt,SP
Beto Salame,178906,pros,PA
Heuler Cruvinel,160596,psd,GO
Carlos Manato,74163,solidaried,ES
Vitor Valim,178869,pmdb,CE
Silvio Costa,4930,psc,PE
Fernando Jordão,163831,pmdb,RJ
Mandetta,160633,dem,MS
Zé Carlos,178889,pt,MA
Alfredo Kaefer,141454,psdb,PR
Hiran Gonçalves,178959,pmn,RR
Afonso Hamm,136811,pp,RS
Valtenir Pereira,141552,pros,MT
Evandro Gussi,178828,pv,SP
André Abdon,178831,prb,AP
Dilceu Sperafico,73768,pp,PR
Domingos Neto,143632,pros,CE
Chico Alencar,74171,psol,RJ
Bohn Gass,160538,pt,RS
Hildo Rocha,178884,pmdb,MA
Marinha Raupp,74177,pmdb,RO
Clarissa Garotinho,178939,pr,RJ
Marcelo Castro,74460,pmdb,PI
Benedita da Silva,73701,pt,RJ
Rosangela Gomes,178945,prb,RJ
Moema Gramacho,178859,pt,BA
Arnon Bezerra,74291,ptb,CE
Bruna Furlan,160589,psdb,SP
Elmar Nascimento,178854,dem,BA
Moses Rodrigues,178997,pps,CE
Ivan Valente,73531,psol,SP
Paulo Pimenta,74400,pt,RS
Jorginho Mello,160509,pr,SC
Diego Garcia,178929,phs,PR
Damião Feliciano,74467,pdt,PB
Nilson Leitão,166401,psdb,MT
Leandre,178832,pv,PR
Eros Biondini,160640,ptb,MG
Fernando Coelho Filho,141431,psb,PE
Claudio Cajado,74537,dem,BA
Wadih Damous,189593,pt,RJ
Celso Jacob,73568,pmdb,RJ
Flávia Morais,160598,pdt,GO
Ana Perugini,178973,pt,SP
João Carlos Bacelar,141458,pr,BA
Padre João,160556,pt,MG
Missionário José Olimpio,160561,pp,SP
Laerte Bessa,141478,pr,DF
Leônidas Cristino,74299,pros,CE
Pedro Vilela,178844,psdb,AL
Arthur Oliveira Maia,160600,solidaried,BA
José Rocha,74554,pr,BA
Celso Russomanno,73441,prb,SP
Carlos Bezerra,141401,pmdb,MT
