id_dep,nome,partido,uf,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Maioridade 1,Maioridade 2,Pensão, Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Transgênico,Voto Facultativo,Voto impresso
178929,Diego Garcia,phs,PR,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1
178918,Kaio Maniçoba,phs,PE,0,0,1,1,1,0,1,-1,1,0,1,1,1,0,1
146788,Marcelo Aro,phs,MG,0,0,1,1,1,1,1,1,1,0,1,1,-1,0,1
160582,Alberto Filho,pmdb,MA,1,1,1,1,1,1,1,1,1,1,1,-1,1,0,1
160559,Alceu Moreira,pmdb,RS,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1
74212,Aníbal Gomes,pmdb,CE,-1,0,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1
178975,Baleia Rossi,pmdb,SP,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
105112,Cabuçu Borges,pmdb,AP,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1
141401,Carlos Bezerra,pmdb,MT,1,1,0,1,1,0,0,1,1,1,1,-1,1,0,1
178993,Carlos Henrique Gaguim,pmdb,TO,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
178900,Carlos Marun,pmdb,MS,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
73568,Celso Jacob,pmdb,RJ,-1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1
141405,Celso Maldaner,pmdb,SC,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
72912,Celso Pansera,pmdb,RJ,1,1,1,1,1,0,0,1,0,1,0,1,-1,1,-1
144523,Daniel Vilela,pmdb,GO,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
62881,Danilo Forte,pmdb,CE,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1
73891,Darcísio Perondi,pmdb,RS,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1
178994,Dulce Miranda,pmdb,TO,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
73793,Edinho Bez,pmdb,SC,-1,0,1,1,-2,1,1,-2,1,1,1,1,1,1,1
141417,Edio Lopes,pmdb,RR,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
74173,Eduardo Cunha,pmdb,RJ,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
74075,Elcione Barbalho,pmdb,PA,-1,1,1,0,0,0,0,1,1,1,-1,1,-1,-1,-1
171623,Fabio Reis,pmdb,SE,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
163831,Fernando Jordão,pmdb,RJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
141434,Flaviano Melo,pmdb,AC,0,-1,1,1,1,1,1,1,1,1,0,1,1,0,-1
74374,Geraldo Resende,pmdb,MS,1,1,0,1,1,1,1,-1,1,1,1,1,1,0,1
73772,Hermes Parcianello,pmdb,PR,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
178884,Hildo Rocha,pmdb,MA,1,1,1,1,1,1,1,-1,1,1,0,1,1,1,0
160674,Hugo Motta,pmdb,PB,1,-1,1,1,1,1,1,-1,1,1,1,1,1,0,-1
131943,Jarbas Vasconcelos,pmdb,PE,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1
178839,Jéssica Sales,pmdb,AC,1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,0,-1
160573,João Arruda,pmdb,PR,0,0,1,1,0,0,0,-1,1,0,1,0,1,1,1
112437,João Marcelo Souza,pmdb,MA,-1,-1,1,1,1,0,0,1,1,1,-1,1,1,-1,-1
131966,José Fogaça,pmdb,RS,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,1
74079,José Priante,pmdb,PA,0,1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,0,-1
114941,Josi Nunes,pmdb,TO,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1
178894,Laudivio Carvalho,pmdb,MG,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
141562,Lelo Coimbra,pmdb,ES,1,1,0,1,0,0,0,1,1,0,1,1,-1,1,1
74254,Leonardo Picciani,pmdb,RJ,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-1
141482,Leonardo Quintão,pmdb,MG,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,1
141483,Lindomar Garçon,pmdb,RO,1,-1,1,1,1,-2,1,1,1,1,1,1,1,1,-1
178954,Lucio Mosquini,pmdb,RO,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
94931,Lucio Vieira Lima,pmdb,BA,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1
141490,Manoel Junior,pmdb,PB,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1
74460,Marcelo Castro,pmdb,PI,1,-1,0,0,0,1,-2,1,1,1,1,1,1,0,-1
178850,Marcos Rotta,pmdb,AM,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
74177,Marinha Raupp,pmdb,RO,1,1,0,1,0,0,0,1,1,-1,1,0,-1,0,1
181315,Marquinho Mendes,pmdb,RJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
178843,Marx Beltrão,pmdb,AL,1,-1,1,1,1,1,1,0,0,1,1,1,1,1,1
74749,Mauro Lopes,pmdb,MG,-1,0,1,1,1,1,-1,1,1,1,-1,1,1,-1,1
141507,Mauro Mariani,pmdb,SC,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
124411,Mauro Pereira,pmdb,RS,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1
178896,Newton Cardoso Jr,pmdb,MG,1,1,1,1,1,-1,-1,1,1,1,1,1,1,0,0
73463,Osmar Serraglio,pmdb,PR,1,-1,1,1,1,1,1,-1,1,-1,1,1,1,-1,-1
73692,Osmar Terra,pmdb,RS,1,1,-1,-1,-1,0,0,1,-1,1,-1,0,-1,0,1
74812,Pedro Chaves,pmdb,GO,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
