,genres,idIMDB,ranking,rating,releaseDate,title
142,Drama,tt1291584,142,8.2,20110909,Warrior
143,Drama,tt1205489,143,8.2,20090109,Gran Torino
144,Drama,tt0434409,144,8.2,20060317,V for Vendetta
145,Comedy,tt0118715,145,8.2,19980306,The Big Lebowski
146,Thriller,tt0032976,146,8.2,19400412,Rebecca
147,Drama,tt0055031,147,8.3,19611220,Judgment at Nuremberg
148,Drama,tt0268978,148,8.2,20020104,A Beautiful Mind
149,Drama,tt0061512,149,8.2,19671101,Cool Hand Luke
150,Animation,tt0892769,150,8.2,20100326,How to Train Your Dragon
151,Drama,tt0077416,151,8.2,19790223,The Deer Hunter
152,Drama,tt0031381,152,8.2,19400117,Gone with the Wind
153,Drama,tt0116282,153,8.2,19960405,Fargo
154,Drama,tt0117951,154,8.2,19960619,Trainspotting
155,Comedy,tt0025316,155,8.2,19340223,It Happened One Night
156,Drama,tt0758758,156,8.2,20071019,Into the Wild
157,Thriller,tt0046912,157,8.2,19540529,Dial M for Murder
158,Drama,tt2267998,158,8.2,20141003,Gone Girl
159,Drama,tt0167404,159,8.2,19990806,The Sixth Sense
160,Drama,tt1979320,160,8.2,20130927,Rush
161,Drama,tt0033870,161,8.2,19411018,The Maltese Falcon
162,Animation,tt0266543,162,8.2,20030530,Finding Nemo
163,Animation,tt0978762,163,8.2,20090930,Mary et Max.
164,Sci-Fi,tt0084787,164,8.2,19820625,The Thing
165,Drama,tt0477348,165,8.1,20071121,No Country for Old Men
166,Drama,tt0395169,166,8.2,20050204,Hotel Rwanda
167,Drama,tt1255953,167,8.2,20110112,Incendies
168,Action,tt0266697,168,8.1,20031010,Kill Bill: Vol. 1
169,Comedy,tt0079470,169,8.1,19790817,Life of Brian
170,Drama,tt0091763,170,8.1,19870206,Platoon
171,Drama,tt0046268,171,8.2,19550216,The Wages of Fear
172,Western,tt0064115,172,8.1,19691024,Butch Cassidy and the Sundance Kid
173,Drama,tt0074958,173,"8,2",19770310,Network
174,Drama,tt0469494,174,8.1,20080125,There Will Be Blood
175,Thriller,tt0052311,175,8.2,19580501,Touch of Evil
176,Drama,tt0053198,176,8.2,19591116,The 400 Blows
177,Drama,tt2024544,177,8.1,20131108,12 Years a Slave
178,Drama,tt0092005,178,8.1,19860822,Stand by Me
179,Drama,tt0075686,179,8.1,19770420,Annie Hall
180,Comedy,tt0093779,180,8.2,19871009,The Princess Bride
181,Drama,tt0060827,181,8.2,19670316,Persona
182,Drama,tt2278388,182,8.1,20140328,The Grand Budapest Hotel
183,Drama,tt0245712,183,8.1,20010413,Amores Perros
184,Drama,tt0107207,184,8.1,19940225,Au nom du père
185,Drama,tt0405159,185,8.1,20050128,Million Dollar Baby
186,Drama,tt0052618,186,8.1,19601007,Ben-Hur
187,Drama,tt0032551,187,8.1,19400315,The Grapes of Wrath
188,Drama,tt1028532,188,8.2,20100609,Hachi: A Dog's Tale
189,Animation,tt0087544,189,8.1,20060823,Nausicaä of the Valley of the Wind
190,Drama,tt0046911,190,8.2,19551121,Diabolique
191,Thriller,tt1130884,191,8.1,20100219,Shutter Island
192,Thriller,tt0401792,192,8.1,20050401,Sin City
193,Adventure,tt0032138,193,8.1,19390825,The Wizard of Oz
194,Drama,tt0036868,194,8.2,19471003,The Best Years of Our Lives
