tipo,numero,ano,nome_proposicao,id_proposicao,id_proposicao_principal,nome_proposicao_origem,tipo_proposicao,tema,ementa,explicacao_ementa,autor,ide_cadastro,uf_autor,partido_autor,data_apresentacao,regime_tramitacao,data_ultimo_despacho,ultimo_despacho,apreciacao,indexacao,situacao,link_inteiro_teor,apensadas
PDC,1410,2013,PDC 1410/2013,602599,NA,NA,"Projeto de Decreto Legislativo de Acordos, tratados ou atos internacionais",Relações Internacionais,"Aprova o texto do Acordo de Cooperação Técnica entre o Governo da República Federativa do Brasil e o Governo da República da Guiné, assinado em Brasília, em 21 de novembro de 2011.",NA,Comissão de Relações Exteriores e de Defesa Nacional,NA,NA,NA,28/11/2013,Urgência,02/12/2013,Às Comissões de Finanças e Tributação (Art. 54 RICD) e Constituição e Justiça e de Cidadania (Art. 54 RICD)Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Urgência,Proposição Sujeita à Apreciação do Plenário,"Aprovação, ato internacional, acordo de cooperação técnica, Brasil, Guiné.",Tranformada no(a) Decreto Legislativo 98/2015,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1200480,NA
REQ,8530,2013,REQ 8530/2013 => PL 4330/2004,590796,267841,NA,Requerimento de Urgência (Art. 155 do RICD),NA,"Requeremos, nos termos do art. 155, do Regimento Interno da Câmara dos Deputados, urgência para a tramitação do Projeto de Lei nº 4330 de 2004, de autoria do Sr. Deputado Sandro Mabel - PMDB/GO, que dispõe sobre contrato de prestação de serviço a terceiros e as relações de trabalho dele decorrentes.",NA,Eduardo Cunha,74173,RJ,PMDB,04/09/2013,Ordinária,NA,NA,Requerimento,NA,MESA - Tramitação do Requerimento Finalizada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1126364,NA
REQ,1126,2015,REQ 1126/2015 => PL 3111/2012,1050847,533836,NA,Requerimento de Urgência (Art. 155 do RICD),NA,"Com base no art. 155 do Regimento Interno, requeremos regime de urgência para a apreciação do PL 3111/2012.",NA,Eduardo da Fonte,141421,PE,PP,24/03/2015,.,NA,NA,.,NA,Diversas,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1313087,NA
MPV,708,2015,MPV 708/2015,2076245,NA,NA,Medida Provisória,Viação e Transportes,"Autoriza a União a reincorporar os trechos de rodovias federais transferidos aos Estados e ao Distrito Federal por força da Medida Provisória nº 82, de 7 de dezembro de 2002.",NA,Poder Executivo,NA,NA,NA,31/12/2015,Urgência,02/05/2016,Ao Plenário para leitura. Publique-se.,Proposição Sujeita à Apreciação do Plenário,"Autorização, União, reincorporação, malha rodoviária federal, Estado-membro, Distrito Federal (Brasil), Programa de Aceleração do Crescimento (PAC), investimento, Departamento Nacional de Infraestrutura de Transportes (DNIT).",MESA - Aguardando Sanção,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1427617,NA
PRC,8,2007,PRC 8/2007,340812,NA,NA,Projeto de Resolução de Alteração do Regimento e outros,"Direitos Humanos, Minorias e Cidadania; Processo Legislativo","Cria, no âmbito da Câmara dos Deputados, a Comissão da Mulher, do Idoso, da Criança e do Adolescente, da Juventude e Minorias.",Altera o Regimento Interno.,Elcione Barbalho,74075,PA,PMDB,14/02/2007,Urgência art. 155 RICD,01/03/2007,"Decorrido o prazo regimental previsto no artigo 216, § 1º do RICD, encaminhe-se à Comissão de Constituição e Justiça e de Cidadania e à Mesa Diretora da Câmara dos Deputados.
Proposição Sujeita à Apreciação do Plenário
Regime de Tramitação: Ordinária",Proposição Sujeita à Apreciação do Plenário,"Alteração, Regimento Interno, Câmara dos Deputados, criação, Comissão Permanente, Comissão dos Direitos da Mulher, do Idoso, da Criança e do Adolescente, da Juventude e Minorias.",Tranformada no(a) Resolução da Câmara dos Deputados 8/2007,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=435192,NA
MPV,681,2015,MPV 681/2015,1570898,NA,NA,Medida Provisória,Trabalho e Emprego,"Altera a Lei nº 10.820, de 17 de dezembro de 2003, a Lei nº 8.213, de 24 de julho de 1991, e a Lei nº 8.112, de 11 de dezembro de 1990, para dispor sobre desconto em folha de valores destinados ao pagamento de cartão de crédito.",NA,Poder Executivo,NA,NA,NA,13/07/2015,Urgência,10/09/2015,Ao Plenário para leitura. Publique-se.,Proposição Sujeita à Apreciação do Plenário,"Alteração, Lei do Crédito Consignado, Lei de Benefícios da Previdência Social, Regime Jurídico Único, empregado, autorização, CLT, consignação em folha de pagamento, desconto salarial, pagamento, cartão de crédito, empréstimo, financiamento, arrendamento mercantil, instituição financeira, contrato, verba rescisória, empregador, percentual, beneficiário, aposentadoria, pensão, Regime geral de previdência social, Instituto Nacional do Seguro Social (INSS), Sindicato.",Tranformada no(a) Lei Ordinária 13172/2015,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1360652,NA
REQ,4311,2016,REQ 4311/2016 => PL 4253/2015,2081730,2076250,NA,Requerimento de Urgência (Art. 155 do RICD),NA,"Requeiro a Vossa Excelência, nos termos do art. 155, do RICD, urgência para apreciação do Projeto de LEI Nº 4253,  DE 2015",NA,Erika Kokay,160575,DF,PT,08/04/2016,.,NA,NA,.,NA,MESA - Tramitação do Requerimento Finalizada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1449333,NA
PLN,5,2015,PLN 5/2015 CN,1594497,NA,NA,Projeto de Lei (CN) de Alteração da LDO,NA,"Altera os dispositivos que menciona da Lei nº 13.080, de 2 de janeiro de 2015, que dispõe sobre as diretrizes para a elaboração e execução da Lei Orçamentária de 2015.",NA,Presidente da República,NA,NA,NA,23/07/2015,Ordinária,NA,NA,.,NA,Tranformada no(a) Lei Ordinária 13199/2015,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1365242,NA
MPV,664,2014,MPV 664/2014,865929,NA,NA,Medida Provisória,Administração Pública; Previdência e Assistência Social,"Altera as Leis nº 8.213, de 24 de julho de 1991, nº 10.876, de 2 junho de 2004, nº 8.112, de 11 de dezembro de 1990, e a Lei nº 10.666, de 8 de maio de 2003.

NOVA EMENTA: Altera as Leis nºs 8.213, de 24 de julho de 1991, 10.876, de 2 de junho de 2004, 8.112, de 11 de dezembro de 1990, e 10.666, de 8 de maio de 2003; e dá outras providências.",Estabelece novas regras para concessão do auxílio doença e pensão por morte.,Poder Executivo,NA,NA,NA,30/12/2014,Urgência,05/05/2015,Ao Plenário para leitura. Publique-se.,Proposição Sujeita à Apreciação do Plenário,"Alteração, Lei de Benefícios da Previdência Social, período de carência, pensão por morte, exceção, acidente do trabalho, doença ocupacional.  
_Auxílio-doença, aposentadoria por invalidez, perícia médica, Instituto Nacional do Seguro Social (INSS), critério, concessão, pensão por morte, valor, limite, tempo, expectativa de sobrevida.  
_Alteração, Lei Federal, supervisão, perícia médica.   
_Alteração, Regime Jurídico Único, critério, concessão, pensão por morte, carência, valor, limite, tempo, expectativa de sobrevida, proibição, cumulatividade.  
_Alteração, lei federal, compensação financeira, regime, Previdência Social.",Tranformada no(a) Lei Ordinária 13135/2015,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1295851,NA
MPV,663,2014,MPV 663/2014,860923,NA,NA,Medida Provisória,Política Econômica,"Altera a Lei nº 12.096, de 24 de novembro de 2009.","Fica a União autorizada a conceder subvenção econômica, sob a modalidade de equalização de taxas de juros, nas operações de financiamento contratadas até 31 de dezembro de 2015.",Poder Executivo,NA,NA,NA,19/12/2014,Urgência,05/05/2015,Ao Plenário para leitura. Publique-se.,Proposição Sujeita à Apreciação do Plenário,"Alteração, lei federal, autorização, União, concessão, subvenção econômica, modalidade, equalização de taxas de juros, operação, financiamento",Tranformada no(a) Lei Ordinária 13132/2015,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1295286,NA
