tipo,numero,ano,nome_proposicao,id_proposicao,id_proposicao_principal,nome_proposicao_origem,tipo_proposicao,tema,ementa,explicacao_ementa,autor,ide_cadastro,uf_autor,partido_autor,data_apresentacao,regime_tramitacao,data_ultimo_despacho,ultimo_despacho,apreciacao,indexacao,situacao,link_inteiro_teor,apensadas
REQ,10903,2014,REQ 10903/2014 => PL 1462/2007,818166,358034,NA,Requerimento de Urgência (Art. 155 do RICD),NA,"Requer, nos termos do artigo 155 do Regimento Interno da Câmara dos Deputados, urgência para apreciação do Projeto de Lei nº 1.462, de 2007, que ""obriga, nas hipóteses que especifica, a veiculação de mensagens de advertência sobre o risco de escassez e de incentivo ao consumo moderado de água"".",NA,George Hilton,141441,MG,PRB,09/12/2014,.,NA,NA,.,NA,Diversas,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1291689,NA
PL,4148,2008,PL 4148/2008,412728,NA,NA,Projeto de Lei,"Indústria, Comércio e Defesa do Consumidor (utilizado até a legislatura 53)","Altera e acresce dispositivos à Lei nº 11.105, de 24 de março de 2005.

NOVA EMENTA: Altera a Lei nº 11.105, de 24 de março de 2005.",Estabelece que os rótulos dos alimentos destinados ao consumo humano informem ao consumidor a natureza transgênica do alimento.,Luis Carlos Heinze,73483,RS,PP,16/10/2008,Urgência art. 155 RICD,12/06/2009,"Tendo em vista o arquivamento do PL 5845/05, nos termos do art. 58, § 4º do RICD, revejo o despacho aposto a este projeto, para determinar sua distribuição à Comissão de Desenvolvimento Econômico, Indústria e Comércio; Comissão de Defesa do Consumidor e Comissão de Constituição e Justiça e de Cidadania. 

Esclareço, por oportuno, que a proposição encontra-se Pronta para Ordem do dia, tendo pareceres, quando de sua tramitação conjunta ao PL 5.848/05, originalmente principal, da Comissão de Desenvolvimento Econômico, Indústria e Comércio, pela aprovação do PL 5.848/05, com emenda (Relator: Dep. Fernando de Fabinho); da Comissão de Defesa do Consumidor pela rejeição do PL 5.848/05 (Relator: Dep. Barbosa Neto); e da Comissão de Constituição e Justiça e de Cidadania, pela constitucionalidade, juridicidade e técnica legislativa deste e pela inconstitucionalidade e injuridicidade do PL 5.848/05 e da emenda da Comissão de Desenvolvimento Econômico, Indústria e Comércio (Relator: Dep. Ricardo Barros).",Proposição Sujeita à Apreciação do Plenário,"Alteração, Lei de Biossegurança, obrigatoriedade, colocação, informação, rótulo, embalagem, alimento, alimento in natura, existência, organismo geneticamente modificado, penalidade, infrator.",MESA - Aguardando Apreciação pelo Senado Federal,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=605180,NA
REQ,1121,2015,REQ 1121/2015 => PL 7224/2006,1050840,327895,NA,Requerimento de Urgência (Art. 155 do RICD),NA,"Com base no art. 155 do Regimento Interno, requeremos regime de urgência para a apreciação do PL 7224/2006.",NA,Eduardo da Fonte,141421,PE,PP,24/03/2015,.,NA,NA,.,NA,MESA - Tramitação do Requerimento Finalizada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1313080,NA
MPV,672,2015,MPV 672/2015,1150196,NA,NA,Medida Provisória,Trabalho e Emprego,"Dispõe sobre a política de valorização do salário mínimo para o período de 2016 a 2019.

NOVA EMENTA: Dispõe sobre a política de valorização do salário mínimo e dos benefícios pagos pelo Regime Geral de Previdência Social para o período de 2016 a 2019.",NA,Poder Executivo,NA,NA,NA,25/03/2015,Urgência,18/06/2015,Ao Plenário para leitura. Publique-se.,Proposição Sujeita à Apreciação do Plenário,"Diretrizes, política, valorização, salário mínimo, reajuste, cálculo, percentual, variação, Índice Nacional de Preços ao Consumidor, taxa, crescimento, Produto Interno Bruto.",Tranformada no(a) Lei Ordinária 13152/2015,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1313843,NA
REQ,4412,2016,REQ 4412/2016 => PL 4250/2015,2083179,2076247,NA,Requerimento de Urgência (Art. 155 do RICD),NA,Requer regime de urgência para a apreciação do PL nº  4.250/2015.,NA,Líderes,NA,NA,NA,03/05/2016,.,NA,NA,.,NA,Diversas,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1454571,NA
PL,10,2015,PL 10/2015,944251,NA,NA,Projeto de Lei,Direito Civil e Processual Civil; Trabalho e Emprego,"Altera o art. 2º do Decreto-Lei nº 2.296, de 21 de novembro de 1986, a alínea ""p"" do § 9º do art. 28 da Lei nº 8.212, de 24 de julho de 1991 e o art. 63 da Medida Provisória nº 2.158-35, de 24 de agosto de 2001, e dá outras providências.","Trata da estruturação de seguros de vida com cláusula de cobertura por sobrevivência, incluindo os que contarão com isenção tributária.",Lucas Vergilio,178879,GO,SD,02/02/2015,Urgência art. 155 RICD,06/02/2015,"Às Comissões de Seguridade Social e Família; Finanças e Tributação (Mérito e Art. 54, RICD) e Constituição e Justiça e de Cidadania (Art. 54 RICD) - Art. 24, IIProposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Ordinária",Proposição Sujeita à Apreciação do Plenário,"Alteração, Lei Orgânica da Seguridade Social, seguro de vida, sobrevivência, pagamento, despesa, plano de saúde, seguro saúde, critérios, tributação, rendimento, seguro de vida.",MESA - Aguardando Apreciação pelo Senado Federal,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1296689,NA
PEC,197,2012,PEC 197/2012,551712,NA,PEC 103/2011,Proposta de Emenda à Constituição,Tributação,"Altera o § 2º do art. 155 da Constituição Federal, para modificar a sistemática de cobrança do imposto sobre operações relativas à circulação de mercadorias e sobre prestações de serviços de transporte interestadual e intermunicipal e de comunicação incidente sobre as operações e prestações realizadas de forma não presencial e que destinem bens e serviços a consumidor final localizado em outro Estado.",NA,Senado Federal - Delcídio do Amaral,NA,MS,PT,10/07/2012,Especial,13/08/2012,"À Comissão de Constituição e Justiça e de Cidadania
Proposição Sujeita à Apreciação do Plenário
Regime de Tramitação: Especial",Proposição Sujeita à Apreciação do Plenário,"Normas, cobrança, ICMS, destinação, bens, serviços, aplicação, alíquota interestadual, responsabilidade, Estado, destinatário, pagamento, diferença, alíquota, recolhimento, imposto.",Tranformada no(a) Emenda Constitucional 87/2015,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1012324,NA
REQ,7492,2013,REQ 7492/2013 => PL 4372/2012,571550,554202,NA,Requerimento de Urgência (Art. 155 do RICD),NA,"Requer, nos termos do art. 155 do Regimento Interno da Câmara dos Deputados, urgência para apreciação do Projeto de Lei nº 4.372, de 2012, do Executivo, que ""cria o Instituto Nacional de Supervisão e Avaliação da Educação Superior - INSAES, e dá outras providências"".",NA,Anthony Garotinho,160539,RJ,PR,10/04/2013,Ordinária,NA,NA,Requerimento,NA,MESA - Tramitação do Requerimento Finalizada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1075601,NA
PEC,358,2013,PEC 358/2013,602633,NA,NA,Proposta de Emenda à Constituição,Finanças Públicas e Orçamento,"Altera os arts. 165 e 166 da Constituição Federal, para tornar obrigatória a execução da programação orçamentária que especifica.

NOVA EMENTA: Altera os arts. 165, 166 e 198 da Constituição Federal, para tornar obrigatória a execução da programação orçamentária que especifica.",NA,Senado Federal,NA,NA,NA,28/11/2013,Especial,28/11/2013,À Comissão de Constituição e Justiça e de CidadaniaProposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Especial,Proposição Sujeita à Apreciação do Plenário,"Obrigatoriedade, critérios, execução, programação orçamentária, impedimento legal, técnico, cumprimento, restos a pagar, limitação, emenda individual, projeto de lei orçamentária.",Tranformada no(a) Emenda Constitucional 86/2015,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1200541,NA
REQ,2507,2015,REQ 2507/2015 => PLP 124/2015,1579302,1555340,NA,Requerimento de Urgência (Art. 155 do RICD),NA,Requer regime de urgência para apreciação de proposição.,NA,Miro Teixeira,74862,RJ,PROS,14/07/2015,Ordinária,NA,NA,Requerimento,NA,MESA - Tramitação do Requerimento Finalizada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1361746,NA
REQ,796,2015,REQ 796/2015 CPIPETRO,1280721,NA,NA,Requerimento,NA,"Requer a convocação dos Srs MILTON PASCOWITCH e PEDRO BARUSCO, para acareação a fim de esclarecer fatos referentes a desvio de dinheiro da Petrobras a esta CPI",NA,Júlio Delgado,73586,MG,PSB,22/05/2015,Ordinária,NA,NA,Requerimento,NA,CPIPETRO - Aguardando Providências Internas,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1338736,NA
PL,2960,2015,PL 2960/2015,1715687,NA,NA,Projeto de Lei,Tributação,"Dispõe sobre o Regime Especial de Regularização Cambial e Tributária de recursos, bens ou direitos de origem lícita não declarados, remetidos, mantidos no exterior ou repatriados por residentes ou domiciliados no País, e dá outras providências.

NOVA EMENTA: Dispõe sobre o Regime Especial de Regularização Cambial e Tributária de recursos, bens ou direitos de origem lícita, não declarados ou declarados incorretamente, remetidos, mantidos no exterior ou repatriados por residentes ou domiciliados no País, e dá outras providências.",NA,Poder Executivo,NA,NA,NA,10/09/2015,Urgência art. 64 CF,26/10/2015,"Despacho exarado no Projeto de Lei n. 2.960, de 2015, conforme o seguinte teor: ""Verifico que o substitutivo apresentado como conclusão do parecer do relator, Deputado MANOEL JÚNIOR, aprovado pela Comissão Especial na reunião de 22 de outubro de 2015, não corresponde com exatidão à parte ao voto vencedor que se manifesta pela aprovação parcial da Emenda n. 2 e pela rejeição das Emendas n. 13 e 14. Conquanto conste do parecer aprovado ter-se acatado “parcialmente a Emenda n. 2, de forma a instituir a progressividade para as alíquotas da multa de regularização”, não há no texto do substitutivo qualquer progressão de alíquotas, seja para a incidência do imposto de renda, prevista no caput do art. 6º, seja para a multa fixada no caput do art. 8º. Em ambos os casos são definidos percentuais fixos de 15% e 100%, respectivamente. No que concerne às Emendas n. 13 e 14, que pretendiam proibir os órgãos competentes de instaurarem ou prosseguirem investigações com base unicamente nos elementos constantes da declaração de regularização específica de adesão ao Regime Especial de Regularização Cambial e Tributária, a fim de conferir maior segurança jurídica ao contribuinte que adere ou tenta aderir ao programa, observo que, diferentemente do texto do parecer, que afirma a rejeição integral de ambas, parte do espírito das proposições acessórias foi incorporada ao substitutivo apresentado, sobretudo quando examinados os comandos do § 12 do art. 4º e o § 2º do art. 9º.Dessa forma, decido pela devolução da matéria à Comissão Especial Destinada a Proferir Parecer ao Projeto de Lei n. 2.960/2015, nos termos do parágrafo único do art. 130 do Regimento Interno da Câmara dos Deputados - RICD, para que reformule o parecer exarado à proposição. Publique-se. Oficie-se.""",Proposição Sujeita à Apreciação do Plenário,"Criação, Regime Especial de Regularização Cambial e Tributária (RERCT), caráter provisório, norma, regularização, repatriação, ativo financeiro, recursos, bens, exterior, ausência, declaração, Secretaria da Receita Federal do Brasil, critério, extinção de punibilidade, crime contra a ordem tributária, evasão de divisas, crime conexo, sonegação fiscal, prazo, adesão.",Tranformada no(a) Lei Ordinária 13254/2016,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1384000,NA
PEC,209,2012,PEC 209/2012,553947,NA,NA,Proposta de Emenda à Constituição,Direito e Justiça,"Insere o § 1º ao art. 105, da Constituição Federal, e renumera o parágrafo único.",Para atribuir requisito de admissibilidade ao recurso especial no âmbito do STJ.,Rose de Freitas,73507,ES,PMDB,23/08/2012,Especial,10/09/2012,"À Comissão de 
Constituição e Justiça e de Cidadania
Proposição Sujeita à Apreciação do Plenário
Regime de Tramitação: Especial",Proposição Sujeita à Apreciação do Plenário,"Requisito, admissibilidade, recurso especial, Superior Tribunal de Justiça (STJ).",PLEN - Aguardando Deliberação,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1020915,NA
PL,789,2007,PL 789/2007,348730,NA,PLS 118/2003,Projeto de Lei,"Direito Penal e Processual Penal; Direitos Humanos, Minorias e Cidadania","Altera a Lei nº 8.069, de 13 de julho de 1990, a fim de tipificar como crime o emprego de criança e adolescente para a realização dos delitos que menciona.",NA,Senado Federal - Aloízio Mercadante,NA,SP,PT,19/04/2007,Urgência art. 155 RICD,25/03/2015,"Declarado prejudicado em face da aprovação do Projeto de Lei n. 8077/2014, apensado (Sessão Deliberativa Extraordinária de 25/03/2015 - 19:57).",Proposição Sujeita à Apreciação do Plenário,"Alteração, Estatuto da Criança e do Adolescente, tipicidade, crime, utilização, auxílio, criança, adolescente, participação, menor, crime, homicídio, lesão corporal grave, furto, roubo, extorsão, seqüestro, estupro, atentado violento ao pudor, tráfico, drogas.",MESA - Arquivada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=453097,NA
PRC,11,2015,PRC 11/2015,949149,NA,NA,Projeto de Resolução,Administração Pública,"Altera o Regimento Interno da Câmara dos Deputados, aprovado pela Resolução n° 17, de 21 de setembro de 1989, para dispor sobre a Secretaria de Comunicação Social.",NA,Mesa Diretora da Câmara dos Deputados,NA,NA,NA,26/02/2015,Urgência art. 155 RICD,26/02/2015,"Decorrido o prazo previsto no  §1º do art. 216 do RICD, encaminhe-se à Comissão de Constituição e Justiça e de Cidadania. Proposição Sujeita à Apreciação do Plenário. Regime de Tramitação: Prioridade",Proposição Sujeita à Apreciação do Plenário,"Alteração, Regimento Interno da Câmara dos Deputados, Secretaria de Comunicação Social (Secom), competência, Secretário de Comunicação Social, escolha, Presidente da Câmara dos Deputados, Deputado Federal, criação, Diretoria-Executiva de Comunicação Social, cargo em comissão, cargo de natureza especial (CNE), Assessor de Comunicação da TV Câmara.",Tranformada no(a) Resolução da Câmara dos Deputados 4/2015,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1303600,NA
PEC,4,2015,PEC 4/2015,946734,NA,NA,Proposta de Emenda à Constituição,Finanças Públicas e Orçamento,Altera o art. 76 do Ato das Disposições Constitucionais Transitórias,Prorroga  a vigência da DRU até 31 de dezembro de 2019. Propõe a retirada escalonada da incidência da desvinculação de receita da arrecadação das contribuições sociais destinadas ao financiamento da seguridade social.,André Figueiredo,133439,CE,PDT,11/02/2015,Especial,25/02/2015,À Comissão de Constituição e Justiça e de CidadaniaProposição Sujeita à Apreciação do Plenário. Regime de Tramitação: Especial,Proposição Sujeita à Apreciação do Plenário,"Ato das Disposições Constitucionais Transitórias, prorrogação, vigência, Desvinculação de Receitas da União (DRU), retirada, incidência, arrecadação, contribuição social, destinação, financiamento, seguridade social.",Diversas,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1300563,NA
MPV,687,2015,MPV 687/2015,1671673,NA,NA,Medida Provisória,Arte e Cultura; Meio Ambiente e Desenvolvimento Sustentável; Tributação,"Altera a Medida Provisória nº 2.228-1, de 6 de setembro de 2001, para dispor sobre a Contribuição para o Desenvolvimento da Indústria Cinematográfica Nacional - Condecine, e a Lei nº 12.529, de 30 de novembro de 2011, para dispor sobre as taxas processuais sobre os processos de competência do Conselho Administrativo de Defesa Econômica - Cade, e autoriza o Poder Executivo federal a atualizar monetariamente o valor das taxas e dos preços estabelecidos pela Lei nº 6.938, de 31 de agosto de 1981.

NOVA EMENTA: Altera a Medida Provisória  nº 2.228-1, de 6 de setembro de 2001, para dispor sobre a Contribuição para o Desenvolvimento da Indústria Cinematográfica Nacional - CONDECINE e prorrogar a vigência de incentivo fiscal no âmbito dos Fundos de Financiamento da Indústria Cinematográfica Nacional - FUNCINES, e a Lei nº 12.529, de 30 de novembro de 2011, para dispor sobre as taxas processuais sobre os processos de competência do Conselho Administrativo de Defesa Econômica - CADE; autoriza o Poder Executivo federal a atualizar monetariamente o valor das taxas e dos preços estabelecidos pela Lei nº 6.938, de 31 de agosto de 1981; prorroga a vigência de incentivos fiscais previstos na Lei nº 8.685, de 20 de julho de 1993; altera a Lei nº 12.995, de 18 de junho de 2014; dispõe sobre o processo de investigação de falsa declaração de origem no âmbito da política de defesa comercial; e revoga dispositivos da Lei nº 4.117, de 27 de agosto de 1962, e a Lei nº 5.785, de 23 de junho de 1972, para dispor sobre a renovação de outorga de serviços de radiodifusão.",NA,Poder Executivo,NA,NA,NA,18/08/2015,Urgência,22/10/2015,Ao Plenário para leitura. Publique-se.,Proposição Sujeita à Apreciação do Plenário,"Alteração, Medida Provisória, correção monetária, critério, percentual, Contribuição para o Desenvolvimento da Indústria Cinematográfica Nacional (Condecine), aumento, valor, taxa processual, Conselho Administrativo de Defesa Econômica (Cade), autorização, Poder Executivo, correção monetária, Taxa de Controle e Fiscalização Ambiental (TCFA), preço, serviços, produtos, Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (Ibama).",Tranformada no(a) Lei Ordinária 13196/2015,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1372809,NA
REQ,3101,2015,REQ 3101/2015 => PL 2430/2003,1744988,141030,NA,Requerimento de Urgência (Art. 155 do RICD),NA,"Com base no art. 155 do Regimento Interno, requeremos regime de urgência para a apreciação do PL 2.430/2003.",NA,Maurício Quintella Lessa,74050,AL,PR,23/09/2015,.,NA,NA,.,NA,MESA - Tramitação do Requerimento Finalizada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1390162,NA
PEC,395,2014,PEC 395/2014,611966,NA,NA,Proposta de Emenda à Constituição,Educação,"Altera a redação do inciso IV do art. 206 da Constituição Federal, referente à gratuidade do ensino público em estabelecimentos oficiais.",NA,Alex Canziani,73458,PR,PTB,09/04/2014,Especial,15/04/2014,À Comissão de Constituição e Justiça e de CidadaniaProposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Especial,Proposição Sujeita à Apreciação do Plenário,"Gratuidade, ensino público, educação básica, educação superior, curso de graduação, mestrado, doutorado, exclusão, extensão universitária.",Diversas,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1245688,NA
PEC,11,2015,PEC 11/2015,1063052,NA,NA,Proposta de Emenda à Constituição,Organização Administrativa do Estado,"Altera os arts. 92 e 111-A da Constituição Federal, para explicitar o Tribunal Superior do Trabalho como órgão do Poder Judiciário, alterar os requisitos para o provimento dos cargos de Ministros daquele Tribunal e modificar-lhe a competência.",NA,Senado Federal,NA,NA,NA,24/03/2015,Especial,30/03/2015,À Comissão de Constituição e Justiça e de CidadaniaProposição Sujeita à Apreciação do Plenário. Regime de Tramitação: Especial,Proposição Sujeita à Apreciação do Plenário,"Constituição Federal (1988), explicitação, Tribunal Superior do Trabalho (TST), órgão, Poder Judiciário, alteração, requisito, provimento de cargo público, ministro, competência.",MESA - Aguardando Promulgação,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1313307,NA
REQ,2965,2015,REQ 2965/2015 => PLP 392/2014,1712771,614855,NA,Requerimento de Urgência (Art. 155 do RICD),NA,"Urgência para apreciação do PLP 392/2014, de autoria do deputado Toninho Pinheiro, que altera a Lei 4.320, de 17 de março de 1964, para prever a possibilidade de alteração da destinação de recursos transferidos aos Municípios nas condições que especifica.",NA,Carlos Sampaio,74262,SP,PSDB,08/09/2015,Ordinária,NA,NA,Requerimento,NA,Diversas,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1382546,NA
PEC,457,2005,PEC 457/2005,298878,NA,PEC 42/2003,Proposta de Emenda à Constituição,Administração Pública,"Altera o art. 40 da Constituição Federal, relativo ao limite de idade para a aposentadoria compulsória do servidor público em geral, e acrescenta dispositivo ao Ato das Disposições Constitucionais Transitórias.","Trata da aposentadoria compulsória aos 75 (setenta e cinco) anos de Ministros do Supremo Tribunal Federal, dos demais Tribunais Superiores e do Tribunal de Contas da União.",Senado Federal - Pedro Simon,NA,RS,PMDB,31/08/2005,Especial,06/09/2005,"À Comissão de Constituição e Justiça e de Cidadania (Mérito e Art. 54, RICD). Apense-se a esta a Proposta de Emenda à Constituição n.º 05/03 e suas apensadas.",Proposição Sujeita à Apreciação do Plenário,"Ato das Disposições Constitucionais Transitórias, Administração Pública, aposentadoria compulsória, servidor público civil, regulamentação, lei complementar, aumento, limite de idade, Disposições Constitucionais Transitórias, aposentadoria, magistrado, membros, Judiciário, Ministros, Supremo Tribunal Federal(STF), Tribunais Superiores, Tribunal de Contas da União (TCU).",Tranformada no(a) Emenda Constitucional 88/2015,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=337348,NA
MPV,682,2015,MPV 682/2015,1570899,NA,NA,Medida Provisória,Administração Pública,"Altera a Lei nº 12.712, de 30 de agosto de 2012, para estabelecer que a Agência Brasileira Gestora de Fundos Garantidores e Garantias S.A. - ABGF ficará encarregada da gestão do Fundo de Estabilidade do Seguro Rural - FESR até a completa liquidação das obrigações deste Fundo.

NOVA EMENTA: Altera a Lei nº 12.712, de 30 de agosto de 2012, para estabelecer que a Agência Brasileira Gestora de Fundos Garantidores e Garantias S.A. - ABGF ficará encarregada da gestão do Fundo de Estabilidade do Seguro Rural - FESR até a completa liquidação das obrigações deste Fundo, as Leis nºs 4.829, de 5 de novembro de 1965, e 10.823, de 19 de dezembro de 2003, e o Decreto-Lei nº 73, de 21 de novembro de 1966.",NA,Poder Executivo,NA,NA,NA,13/07/2015,Urgência,15/10/2015,Ao Plenário para leitura. Publique-se.,Proposição Sujeita à Apreciação do Plenário,"Alteração, lei federal, Agência Brasileira de Fundos Garantidores e Garantias (ABGF), administração,  Fundo de Estabilidade do Seguro Rural (FESR), liquidação, obrigações.",Tranformada no(a) Lei Ordinária 13195/2015,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1360656,NA
PL,846,2015,PL 846/2015,1049380,NA,NA,Projeto de Lei,Direito Penal e Processual Penal,"Acrescenta parágrafo ao artigo 121 do Decreto-lei nº 2.848, de 07 de dezembro de 1940 - Código Penal.

NOVA EMENTA: Altera os arts. 121 e 129 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, e o art. 1º da Lei nº 8.072, de 25 de julho de 1990 - Lei dos Crimes Hediondos.",NA,Leonardo Picciani,74254,RJ,PMDB,19/03/2015,Urgência art. 155 RICD,19/03/2015,Apense-se à(ao) PL-3131/2008. Proposição Sujeita à Apreciação do Plenário. Regime de Tramitação: Prioridade,Proposição Sujeita à Apreciação do Plenário,"Alteração, Código Penal, agravação penal, homicídio, vítima, autoridade, agente, segurança pública, exercício profissional.",Tranformada no(a) Lei Ordinária 13142/2015,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1311509,NA
PEC,352,2013,PEC 352/2013,600023,NA,NA,Proposta de Emenda à Constituição,"Organização Política, Partidária e Eleitoral","Altera os arts. 14, 17, 27, 29, 45 e 121 da Constituição Federal, para tornar o voto facultativo, modificar o sistema eleitoral e de coligações, dispor sobre o financiamento de campanhas eleitorais, estabelecer cláusulas de desempenho para candidatos e partidos, prazo mínimo de filiação partidária e critérios para o registro dos estatutos do partido no Tribunal Superior Eleitoral, determinar a coincidência das eleições e a proibição da reeleição para cargos do Poder Executivo, regular as competências da Justiça Eleitoral e submeter a referendo as alterações relativas ao sistema eleitoral.",NA,Cândido Vaccarezza,141396,SP,PT,06/11/2013,Especial,17/06/2015,"Declarada prejudicada em face da aprovação, em primeiro turno, do Substitutivo oferecido à PEC n. 182/2007, principal (Sessão Deliberativa Extraordinária de 17/06/2015 – 14:42).",Proposição Sujeita à Apreciação do Plenário,"Reforma política, Direitos políticos, voto facultativo, prazo mínimo, filiação partidária, proibição, reeleição, obrigatoriedade, vinculação, coligação eleitoral, deputado federal, critérios, registro, partido político, recursos, fundo partidário, financiamento, campanha eleitoral, circunscrição eleitoral, deputado estadual, verador, Câmara dos Deputados, competência, justiça eleitoral.",MESA - Arquivada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1176709,NA
REQ,3117,2015,REQ 3117/2015 => PL 3075/2015,1786206,1738708,NA,Requerimento de Urgência (Art. 155 do RICD),NA,"Requer urgência, nos termos do art. 155 do Regimento Interno da Câmara dos Deputados, para apreciação do Projeto de Lei nº 3.075, de 2015, que ""concede anistia aos condutores de veículos automotores multados pelo não uso de extintor de incêndio ou pelo uso de equipamento vencido"".",NA,Mendonça Filho,74428,PE,DEM,24/09/2015,Ordinária,NA,NA,Requerimento,NA,MESA - Tramitação do Requerimento Finalizada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1390725,NA
REQ,1126,2015,REQ 1126/2015 CPIPETRO,1805872,NA,NA,Requerimento,NA,"Solicita a convocação do Senhor ROGÉRIO ARAÚJO, para prestar depoimento na CPI PETROBRAS.",NA,Onyx Lorenzoni,74399,RS,DEM,30/09/2015,Ordinária,NA,NA,Requerimento,NA,CPIPETRO - Pronta para Pauta,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1393198,NA
REQ,1030,2015,REQ 1030/2015 => PL 644/2015,1049075,994678,NA,Requerimento de Urgência (Art. 155 do RICD),NA,"Com base no art. 155 do Regimento Interno, requeremos regime de urgência para a apreciação do PL 644/2015.",NA,Eduardo da Fonte,141421,PE,PP,18/03/2015,.,NA,NA,.,NA,MESA - Tramitação do Requerimento Finalizada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1310807,NA
MPV,702,2015,MPV 702/2015,2075925,NA,NA,Medida Provisória,Administração Pública; Desenvolvimento Urbano e Trânsito; Saúde; Trabalho e Emprego,"Abre crédito extraordinário, em favor dos Ministérios da Saúde, do Trabalho e Emprego e das Cidades e de Encargos Financeiros da União, no valor de R$ 37.579.334.525,00, para os fins que especifica.",NA,Poder Executivo,NA,NA,NA,18/12/2015,Urgência,23/03/2016,Ao Plenário para leitura. Publique-se.,Proposição Sujeita à Apreciação do Plenário,"Crédito extraordinário, Ministério da Saúde, Ministério do Trabalho e Emprego, Ministério das Cidades, Encargos financeiros da União, Fundo Nacional de Saúde (FNS), correção monetária, recursos, Fundo de Garantia do Tempo de Serviço, subvenção econômica, projeto, interesse social, área urbana, Programa de Sustentação do Investimento, Programa Emergencial de Reconstrução de Muncipios Afetados por Desastres Naturais.",MESA - Aguardando Sanção,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1426144,NA
PL,2505,2000,PL 2505/2000,18216,NA,NA,Projeto de Lei,Defesa e Segurança Nacional,"Determina que o material apreendido pela Polícia Federal, fruto de contrabando e que possa vir a ser usado no combate ao crime, deverá ser repassado às Secretarias de Segurança Pública Estaduais e à Polícia Federal.",NA,Lincoln Portela,74585,MG,PSL,23/02/2000,Urgência art. 155 RICD,30/10/2007,"NOVO DESPACHO: CREDN, CFT (Mérito e art. 54) e CCJC (Mérito e art. 54, RIDC). Proposição sujeita à Apreciação do Plenário. Regime de Tramitação: Ordinário. Oficie-se e, após,  publique-se.",Proposição Sujeita à Apreciação do Plenário,"Destinação, utilização, combate, crime, material, apreensão, polícia federal, contrabando.",MESA - Aguardando Apreciação pelo Senado Federal,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=21472,NA
