Doacao
227.486
531.875
511.550
425.000
250.000
201.580
400
30.000
50.000
400.000
240.925
567
9.837
10.000
770
30.000
19.898
100.000
166.500
100.000
199.000
500.000
190.000
732.000
271.900
100.000
7.423
648.940
211.890
412.000
187.500
285.000
254.125
145.500
4.493
494.407
680.732
350.000
100.000
