ideCadastro,comissão,idParlamentar,nomeParlamentar,partido
191923,,5830848,FLAVIO NOGUEIRA,PDT
160673,,5830766,GIOVANI CHERINI,PDT
76287,,5830762,MARCELO MATOS,PDT
167722,,5830471,MARCOS ROGÉRIO,PDT
74158,,5830467,MÁRIO HERINGER,PDT
73486,,5830627,POMPEO DE MATTOS,PDT
178995,,5830334,ROBERTO GÓES,PDT
178845,,5830580,RONALDO LESSA,PDT
191684,,5830846,ROSÂNGELA CURADO,PDT
178874,,5830682,SERGIO VIDIGAL,PDT
177282,,5830736,SUBTENENTE GONZAGA,PDT
74439,,5830303,WOLNEY QUEIROZ,PDT
178958,,5830456,CARLOS ANDRADE,PHS
178929,,5830672,DIEGO GARCIA,PHS
146788,,5830596,MARCELO ARO,PHS
143632,,5830652,DOMINGOS NETO,PMB
178941,,5830620,EZEQUIEL TEIXEIRA,PMB
178886,,5830606,JUSCELINO FILHO,PMB
186775,,5830835,PASTOR FRANKLIN,PMB
178934,,5830417,TONINHO WANDSCHEER,PMB
178888,,5830507,VICTOR MENDES,PMB
160518,,5830380,WELITON PRADO,PMB
160582,,5830840,ALBERTO FILHO,PMDB
160559,,5830689,ALCEU MOREIRA,PMDB
74212,,5830497,ANÍBAL GOMES,PMDB
178975,,5830607,BALEIA ROSSI,PMDB
105112,,5830572,CABUÇU BORGES,PMDB
141401,,5830791,CARLOS BEZERRA,PMDB
178993,,5830622,CARLOS HENRIQUE GAGUIM,PMDB
73568,,5830828,CELSO JACOB,PMDB
73891,,5830385,DARCÍSIO PERONDI,PMDB
178994,,5830311,DULCE MIRANDA,PMDB
73447,,5830510,EDINHO ARAÚJO,PMDB
73793,,5830818,EDINHO BEZ,PMDB
141417,,5830686,EDIO LOPES,PMDB
74173,,5830533,EDUARDO CUNHA,PMDB
74075,,5830325,ELCIONE BARBALHO,PMDB
171623,,5830680,FABIO REIS,PMDB
163831,,5830642,FERNANDO JORDÃO,PMDB
74374,,5830512,GERALDO RESENDE,PMDB
73772,,5830423,HERMES PARCIANELLO,PMDB
160674,,5830343,HUGO MOTTA,PMDB
131943,,5830323,JARBAS VASCONCELOS,PMDB
178839,,5830403,JÉSSICA SALES,PMDB
112437,,5830331,JOÃO MARCELO SOUZA,PMDB
131966,,5830830,JOSÉ FOGAÇA,PMDB
114941,,5830528,JOSI NUNES,PMDB
178894,,5830484,LAUDIVIO CARVALHO,PMDB
74856,,5830850,LAURA CARNEIRO,PMDB
141482,,5830466,LEONARDO QUINTÃO,PMDB
141483,,5830734,LINDOMAR GARÇON,PMDB
178954,,5830729,LUCIO MOSQUINI,PMDB
178850,,5830431,MARCOS ROTTA,PMDB
74177,,5830657,MARINHA RAUPP,PMDB
181315,,5830827,MARQUINHO MENDES,PMDB
178843,,5830777,MARX BELTRÃO,PMDB
74749,,5830615,MAURO LOPES,PMDB
124411,,5830831,MAURO PEREIRA,PMDB
178896,,5830372,NEWTON CARDOSO JR,PMDB
74812,,5830691,PEDRO CHAVES,PMDB
160651,,5830697,ROGÉRIO PENINHA MENDONÇA,PMDB
160515,,5830753,RONALDO BENEDET,PMDB
178870,,5830310,RONEY NEMER,PMDB
74762,,5830577,SARAIVA FELIPE,PMDB
178933,,5830722,SERGIO SOUZA,PMDB
74765,,5830809,SILAS BRASILEIRO,PMDB
178911,,5830394,SIMONE MORGADO,PMDB
178946,,5830365,SORAYA SANTOS,PMDB
74010,,5830406,VALDIR COLATTO,PMDB
178913,,5830710,VENEZIANO VITAL DO RÊGO,PMDB
178869,,5830640,VITOR VALIM,PMDB
178952,,5830419,WALTER ALVES,PMDB
191945,,5830849,ZÉ AUGUSTO NALIN,PMDB
178892,,5830705,DÂMINA PEREIRA,PMN
178959,,5830646,HIRAN GONÇALVES,PMN
136811,,5830647,AFONSO HAMM,PP
160527,,5830568,AGUINALDO RIBEIRO,PP
160541,,5830321,ARTHUR LIRA,PP
178948,,5830685,BETO ROSADO,PP
93083,,5830296,CACÁ LEÃO,PP
178848,,5830629,CONCEIÇÃO SAMPAIO,PP
178963,,5830523,COVATTI FILHO,PP
73768,,5830651,DILCEU SPERAFICO,PP
160599,,5830297,DIMAS FABIANO,PP
160649,,5830346,ESPERIDIÃO AMIN,PP
178904,,5830745,EZEQUIEL FONSECA,PP
160667,,5830578,GUILHERME MUSSI,PP
74388,,5830500,JORGE BOEIRA,PP
74395,,5830798,JOSÉ OTÁVIO GERMANO,PP
74253,,5830411,JULIO LOPES,PP
141480,,5830290,LÁZARO BOTELHO,PP
141487,,5830610,LUIZ FERNANDO FARIA,PP
